,chain_ERCcv_lasso,chain_ERCcv_lr,chain_ERCcv_mean,chain_ERCcv_rf,global_bag,global_rf,local_lasso,local_lr,local_mean,local_rf
chain_ERCcv_lasso,1.0,7.004729222992445e-06,0.9999999998670042,0.17999663541760713,0.2073094965794403,0.2073094965794403,6.021449759918696e-07,7.004729222992445e-06,0.9924085920247004,0.038858490301482806
chain_ERCcv_lr,7.004729222992445e-06,1.0,3.543294246344253e-06,0.2373059451202839,0.2073094965794403,0.2073094965794403,0.9999910384327733,1.0,1.9420190011665284e-08,0.6008761990444134
chain_ERCcv_mean,0.9999999998670042,3.543294246344253e-06,1.0,0.13326314683542617,0.15533946194850123,0.15533946194850123,2.8840392529705383e-07,3.543294246344253e-06,0.9972162105848303,0.02602803373539342
chain_ERCcv_rf,0.17999663541760713,0.2373059451202839,0.13326314683542617,1.0,0.9999999999997375,0.9999999999997375,0.08125542132644115,0.2373059451202839,0.008750272049473096,0.9999229547518935
global_bag,0.2073094965794403,0.2073094965794403,0.15533946194850123,0.9999999999997375,1.0,1.0,0.06812646580918502,0.2073094965794403,0.010989135415148787,0.9998136695517509
global_rf,0.2073094965794403,0.2073094965794403,0.15533946194850123,0.9999999999997375,1.0,1.0,0.06812646580918502,0.2073094965794403,0.010989135415148787,0.9998136695517509
local_lasso,6.021449759918696e-07,0.9999910384327733,2.8840392529705383e-07,0.08125542132644115,0.06812646580918502,0.06812646580918502,1.0,0.9999910384327733,1.083277911817504e-09,0.30517539928047166
local_lr,7.004729222992445e-06,1.0,3.543294246344253e-06,0.2373059451202839,0.2073094965794403,0.2073094965794403,0.9999910384327733,1.0,1.9420190011665284e-08,0.6008761990444134
local_mean,0.9924085920247004,1.9420190011665284e-08,0.9972162105848303,0.008750272049473096,0.010989135415148787,0.010989135415148787,1.083277911817504e-09,1.9420190011665284e-08,1.0,0.0009141974894980587
local_rf,0.038858490301482806,0.6008761990444134,0.02602803373539342,0.9999229547518935,0.9998136695517509,0.9998136695517509,0.30517539928047166,0.6008761990444134,0.0009141974894980587,1.0
