,chain_ERCcv_lasso,chain_ERCcv_lr,chain_ERCcv_mean,chain_ERCcv_rf,global_bag,global_rf,local_lasso,local_lr,local_mean,local_rf
chain_ERCcv_lasso,1.0,1.9844077070452215e-07,0.9999976587430488,0.03188524307671281,0.03885849030148292,0.03885849030148292,1.3007042221069298e-08,1.9844077070452215e-07,0.9999976587430488,0.004293912228446994
chain_ERCcv_lr,1.9844077070452215e-07,1.0,1.7644395959859338e-06,0.2373059451202839,0.2073094965794403,0.2073094965794403,0.9999910384327733,1.0,1.7644395959859338e-06,0.6008761990444134
chain_ERCcv_mean,0.9999976587430488,1.7644395959859338e-06,1.0,0.09637315772279109,0.11365495686357685,0.11365495686357685,1.3601398141105392e-07,1.7644395959859338e-06,1.0,0.01708118632508826
chain_ERCcv_rf,0.03188524307671281,0.2373059451202839,0.09637315772279109,1.0,0.9999999999997375,0.9999999999997375,0.08125542132644115,0.2373059451202839,0.09637315772279109,0.9999229547518935
global_bag,0.03885849030148292,0.2073094965794403,0.11365495686357685,0.9999999999997375,1.0,1.0,0.06812646580918502,0.2073094965794403,0.11365495686357685,0.9998136695517509
global_rf,0.03885849030148292,0.2073094965794403,0.11365495686357685,0.9999999999997375,1.0,1.0,0.06812646580918502,0.2073094965794403,0.11365495686357685,0.9998136695517509
local_lasso,1.3007042221069298e-08,0.9999910384327733,1.3601398141105392e-07,0.08125542132644115,0.06812646580918502,0.06812646580918502,1.0,0.9999910384327733,1.3601398141105392e-07,0.30517539928047166
local_lr,1.9844077070452215e-07,1.0,1.7644395959859338e-06,0.2373059451202839,0.2073094965794403,0.2073094965794403,0.9999910384327733,1.0,1.7644395959859338e-06,0.6008761990444134
local_mean,0.9999976587430488,1.7644395959859338e-06,1.0,0.09637315772279109,0.11365495686357685,0.11365495686357685,1.3601398141105392e-07,1.7644395959859338e-06,1.0,0.01708118632508826
local_rf,0.004293912228446994,0.6008761990444134,0.01708118632508826,0.9999229547518935,0.9998136695517509,0.9998136695517509,0.30517539928047166,0.6008761990444134,0.01708118632508826,1.0
