,chain_ERCcv_lasso,chain_ERCcv_lr,chain_ERCcv_mean,chain_ERCcv_rf,global_bag,global_rf,local_lasso,local_lr,local_mean,local_rf
chain_ERCcv_lasso,1.0,0.644942711840115,0.6878371242490148,0.1799966354176069,0.9644373147971921,0.8934254909006814,0.01708118632508826,0.2699582738133185,0.1553394619485009,0.6878371242490148
chain_ERCcv_lr,0.644942711840115,1.0,0.005469422674253099,0.9991721523621555,0.9995910023079225,0.9999910384327733,0.8671051310279261,0.9999229547518935,0.00012349640093400893,0.9999999999997375
chain_ERCcv_mean,0.6878371242490148,0.005469422674253099,1.0,0.00022344756813508226,0.056804751301265166,0.02602803373539342,3.543294246344253e-06,0.000527032905317304,0.9972162105848303,0.006934349391787498
chain_ERCcv_rf,0.1799966354176069,0.9991721523621555,0.00022344756813508226,1.0,0.9162050440588281,0.9746295701224076,0.9984360488471341,0.9999999949758329,2.505282414966281e-06,0.9984360488471341
global_bag,0.9644373147971921,0.9995910023079225,0.056804751301265166,0.9162050440588281,1.0,0.9999999347040592,0.4242390960450755,0.9644373147971922,0.0026103326016286843,0.9998136695517509
global_rf,0.8934254909006814,0.9999910384327733,0.02602803373539342,0.9746295701224076,0.9999999347040592,1.0,0.6008761990444134,0.9924085920247004,0.0009141974894980587,0.9999976587430488
local_lasso,0.01708118632508826,0.8671051310279261,3.543294246344253e-06,0.9984360488471341,0.4242390960450755,0.6008761990444134,1.0,0.9924085920247004,1.9420190011665284e-08,0.8372895434451066
local_lr,0.2699582738133185,0.9999229547518935,0.000527032905317304,0.9999999949758329,0.9644373147971922,0.9924085920247004,0.9924085920247004,1.0,7.004729222992445e-06,0.9998136695517509
local_mean,0.1553394619485009,0.00012349640093400893,0.9972162105848303,2.505282414966281e-06,0.0026103326016286843,0.0009141974894980587,1.9420190011665284e-08,7.004729222992445e-06,1.0,0.00016646182513613272
local_rf,0.6878371242490148,0.9999999999997375,0.006934349391787498,0.9984360488471341,0.9998136695517509,0.9999976587430488,0.8372895434451066,0.9998136695517509,0.00016646182513613272,1.0
