,chain_ERCcv_lasso,chain_ERCcv_lr,chain_ERCcv_mean,chain_ERCcv_rf,global_bag,global_rf,local_lasso,local_lr,local_mean,local_rf
chain_ERCcv_lasso,1.0,0.38093684016436424,1.0,0.9490667836108557,0.9490667836108557,0.9997021657055984,0.2807369938768003,0.49400447843187145,1.0,0.9490667836108557
chain_ERCcv_lr,0.38093684016436424,1.0,0.38093684016436424,0.9928344010849488,0.9928344010849488,0.8225224708956798,0.9999999983671227,0.9999999983671227,0.38093684016436424,0.9928344010849488
chain_ERCcv_mean,1.0,0.38093684016436424,1.0,0.9490667836108557,0.9490667836108557,0.9997021657055984,0.2807369938768003,0.49400447843187145,1.0,0.9490667836108557
chain_ERCcv_rf,0.9490667836108557,0.9928344010849488,0.9490667836108557,1.0,1.0,0.9997021657055984,0.9786499746970924,0.9982066768140755,0.9490667836108557,1.0
global_bag,0.9490667836108557,0.9928344010849488,0.9490667836108557,1.0,1.0,0.9997021657055984,0.9786499746970924,0.9982066768140755,0.9490667836108557,1.0
global_rf,0.9997021657055984,0.8225224708956798,0.9997021657055984,0.9997021657055984,0.9997021657055984,1.0,0.7248462032150467,0.8979835078952878,0.9997021657055984,0.9997021657055984
local_lasso,0.2807369938768003,0.9999999983671227,0.2807369938768003,0.9786499746970924,0.9786499746970924,0.7248462032150467,1.0,0.9999992230661688,0.2807369938768003,0.9786499746970924
local_lr,0.49400447843187145,0.9999999983671227,0.49400447843187145,0.9982066768140755,0.9982066768140755,0.8979835078952878,0.9999992230661688,1.0,0.49400447843187145,0.9982066768140755
local_mean,1.0,0.38093684016436424,1.0,0.9490667836108557,0.9490667836108557,0.9997021657055984,0.2807369938768003,0.49400447843187145,1.0,0.9490667836108557
local_rf,0.9490667836108557,0.9928344010849488,0.9490667836108557,1.0,1.0,0.9997021657055984,0.9786499746970924,0.9982066768140755,0.9490667836108557,1.0
