,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,1.0,1.0,0.6518883233775328,0.9056211754424595,0.8880818706906026,0.995387005856079,0.979257963496349,0.9999849057175433,0.8686039418562637,0.9998466968637888,1.0,1.0,0.9999999999875956,0.9997454257355707,1.0,1.0,1.0,0.7438835773205629,0.8880818706906023,0.7721346186060913,0.9999996276297075,0.9911628964857532,0.9999981453254253
bert_max,1.0,1.0,0.9999999999999993,0.7142895489838853,0.9349916963840346,0.9212408065165023,0.9911628964857532,0.9659464016341234,0.9999488549437133,0.9056211754424596,0.9999488549437133,0.9999999999999926,1.0,0.9999999997815406,0.9993494022827405,1.0,1.0,1.0,0.6835520306937685,0.8472025991675559,0.7142895489838851,0.9999999386499789,0.995387005856079,0.9999996276297075
bert_mean,1.0,0.9999999999999993,1.0,0.42381990559593496,0.7438835773205629,0.7142895489838853,0.9997454257355707,0.9977604105665995,0.9999999386499789,0.683552030693769,0.9967550993804042,1.0,1.0,1.0,0.9999961222661272,1.0,0.9999999999875956,1.0,0.9056211754424595,0.9732397818364599,0.9212408065165021,0.9999488549437133,0.9469534999293394,0.9998466968637888
deberta_cls,0.6518883233775328,0.7142895489838853,0.42381990559593496,1.0,0.9999999999999926,0.9999999999999993,0.0070464439532237355,0.0029768007017418885,0.04416321892120967,1.0,0.9999488549437133,0.39295839362168894,0.4878472142401885,0.2323904751182143,0.021437388547265512,0.6518883233775328,0.847202599167556,0.5867081757208286,0.00020330305467120002,0.0006731648683526714,0.0002493811200667828,0.9967550993804042,0.9999999771251004,0.9984847878685458
deberta_max,0.9056211754424595,0.9349916963840346,0.7438835773205629,0.9999999999999926,1.0,1.0,0.03332552998889804,0.015781928627401354,0.15339395841224712,1.0,0.9999999771251004,0.7142895489838845,0.7988659836616019,0.5206375153141529,0.08525149234706819,0.9056211754424595,0.9792579634963489,0.8686039418562633,0.0014385961384888457,0.004228966259767986,0.0017307118780819364,0.9999717596894658,0.9999999999999926,0.9999922067465524
deberta_mean,0.8880818706906026,0.9212408065165023,0.7142895489838853,0.9999999999999993,1.0,1.0,0.02883921988723437,0.013493182265752912,0.1371982830508196,1.0,0.9999999386499789,0.683552030693769,0.7721346186060913,0.4878472142401885,0.07515175883837366,0.8880818706906026,0.9732397818364599,0.847202599167556,0.001193377871540613,0.003551823565441925,0.0014385961384888457,0.9999488549437133,0.9999999999999376,0.9999849057175433
e5_base,0.995387005856079,0.9911628964857532,0.9997454257355707,0.0070464439532237355,0.03332552998889804,0.02883921988723437,1.0,1.0,0.9999999999995729,0.02489487930900114,0.33432468104953705,0.9998466968637888,0.9993494022827405,0.9999961222661272,1.0,0.995387005856079,0.9659464016341235,0.9977604105665995,0.9999999919966781,0.9999999999975275,0.9999999973889979,0.6195281573761222,0.1223454401896592,0.5536664916766033
e5_large,0.979257963496349,0.9659464016341234,0.9977604105665995,0.0029768007017418885,0.015781928627401354,0.013493182265752912,1.0,1.0,0.9999999992115634,0.011509593847741417,0.21046091816273527,0.9984847878685458,0.995387005856079,0.9999101650865152,0.9999999999995729,0.979257963496349,0.9056211754424596,0.9880722088756011,0.9999999999875956,1.0,0.9999999999975275,0.45550893888554256,0.06606554154010902,0.3929583936216884
labse,0.9999849057175433,0.9999488549437133,0.9999999386499789,0.04416321892120967,0.15339395841224712,0.1371982830508196,0.9999999999995729,0.9999999992115634,1.0,0.1223454401896592,0.7142895489838851,0.9999999771251004,0.9999996276297075,0.9999999999875956,1.0,0.9999849057175433,0.9993494022827405,0.9999961222661272,0.9999101650865152,0.9999981453254253,0.9999488549437133,0.9212408065165021,0.3929583936216884,0.8880818706906022
rembert_cls,0.8686039418562637,0.9056211754424596,0.683552030693769,1.0,1.0,1.0,0.02489487930900114,0.011509593847741417,0.1223454401896592,1.0,0.9999998447607935,0.6518883233775326,0.7438835773205629,0.45550893888554234,0.06606554154010902,0.8686039418562637,0.9659464016341234,0.8239281979968213,0.0009879838095033788,0.0029768007017418885,0.001193377871540613,0.9999101650865152,0.9999999999995729,0.9999717596894658
rembert_max,0.9998466968637888,0.9999488549437133,0.9967550993804042,0.9999488549437133,0.9999999771251004,0.9999999386499789,0.33432468104953705,0.21046091816273527,0.7142895489838851,0.9999998447607935,1.0,0.995387005856079,0.9984847878685458,0.9732397818364599,0.5536664916766038,0.9998466968637888,0.9999981453254253,0.999588023423158,0.038412706405399955,0.08525149234706819,0.04416321892120978,0.9999999999999993,0.9999999999999926,1.0
