,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,0.9999999919966781,0.9999922067465524,0.9880722088756011,0.999588023423158,0.9989961287355222,0.8239281979968217,0.7142895489838851,0.9911628964857532,0.9935598167133549,0.9999999771251004,0.9999999919966781,0.9999999999450312,0.9999996276297075,0.9935598167133549,1.0,1.0,1.0,0.6195281573761222,0.8239281979968217,0.7142895489838851,0.9999998447607935,0.9999999771251004,1.0
bert_max,0.9999999919966781,1.0,1.0,0.6518883233775328,0.8880818706906026,0.8472025991675559,0.9984847878685458,0.9935598167133549,0.9999996276297075,0.7142895489838851,0.9967550993804042,1.0,1.0,1.0,0.9999998447607935,0.9999999999995729,0.9999999771251004,0.9999999999995729,0.9841520987182973,0.9984847878685458,0.9935598167133549,0.993559816713355,0.9967550993804042,0.9999999386499789
bert_mean,0.9999922067465524,1.0,1.0,0.39295839362168894,0.683552030693769,0.6195281573761221,0.9999717596894658,0.9997454257355707,0.9999999999450312,0.45550893888554234,0.9659464016341234,1.0,0.9999999999995729,1.0,0.9999999999875956,0.9999999771251004,0.9999849057175433,0.9999999771251004,0.9989961287355222,0.9999717596894658,0.9997454257355707,0.9469534999293394,0.9659464016341234,0.9999717596894658
deberta_cls,0.9880722088756011,0.6518883233775328,0.39295839362168894,1.0,0.9999999999999993,1.0,0.011509593847741417,0.005956675133047762,0.0852514923470683,1.0,0.9999996276297075,0.6518883233775328,0.7721346186060913,0.5206375153141535,0.09643712054774467,0.9349916963840346,0.9911628964857532,0.9349916963840346,0.003551823565441925,0.011509593847741417,0.005956675133047762,0.9999999386499789,0.9999996276297075,0.993559816713355
deberta_max,0.999588023423158,0.8880818706906026,0.683552030693769,0.9999999999999993,1.0,1.0,0.04416321892120967,0.02489487930900125,0.23239047511821498,1.0,0.9999999999875956,0.8880818706906026,0.9469534999293394,0.7988659836616026,0.25577658962351557,0.993559816713355,0.9997454257355707,0.993559816713355,0.015781928627401576,0.04416321892120967,0.02489487930900125,0.9999999999995729,0.9999999999875956,0.9998466968637888
deberta_mean,0.9989961287355222,0.8472025991675559,0.6195281573761221,1.0,1.0,1.0,0.03332552998889804,0.018415512832793968,0.18999423520868342,1.0,0.9999999997815406,0.8472025991675559,0.921240806516502,0.7438835773205629,0.2104609181627347,0.9880722088756011,0.9993494022827405,0.9880722088756011,0.011509593847741417,0.03332552998889804,0.018415512832793968,0.9999999999875956,0.9999999997815406,0.999588023423158
e5_base,0.8239281979968217,0.9984847878685458,0.9999717596894658,0.011509593847741417,0.04416321892120967,0.03332552998889804,1.0,1.0,0.9999999999875956,0.015781928627401354,0.2323904751182143,0.9984847878685458,0.9935598167133549,0.9997454257355707,0.9999999999450312,0.9469534999293393,0.7988659836616021,0.9469534999293393,1.0,1.0,1.0,0.18999423520868342,0.2323904751182143,0.772134618606091
e5_large,0.7142895489838851,0.9935598167133549,0.9997454257355707,0.005956675133047762,0.02489487930900125,0.018415512832793968,1.0,1.0,0.9999999973889979,0.008317172865022981,0.15339395841224734,0.9935598167133549,0.979257963496349,0.9984847878685458,0.9999999919966781,0.8880818706906026,0.6835520306937685,0.8880818706906026,1.0,1.0,1.0,0.12234544018965954,0.15339395841224734,0.6518883233775328
labse,0.9911628964857532,0.9999996276297075,0.9999999999450312,0.0852514923470683,0.23239047511821498,0.18999423520868342,0.9999999999875956,0.9999999973889979,1.0,0.10877928162902484,0.6518883233775328,0.9999996276297075,0.9999922067465524,0.9999999919966781,1.0,0.9993494022827405,0.9880722088756011,0.9993494022827405,0.9999999386499789,0.9999999999875956,0.9999999973889979,0.5867081757208289,0.6518883233775328,0.9841520987182973
rembert_cls,0.9935598167133549,0.7142895489838851,0.45550893888554234,1.0,1.0,1.0,0.015781928627401354,0.008317172865022981,0.10877928162902484,1.0,0.9999999386499789,0.7142895489838851,0.8239281979968213,0.5867081757208286,0.1223454401896592,0.9572304282941798,0.995387005856079,0.9572304282941798,0.005024449203719028,0.015781928627401354,0.008317172865022981,0.9999999919966781,0.9999999386499789,0.9967550993804042
rembert_max,0.9999999771251004,0.9967550993804042,0.9659464016341234,0.9999996276297075,0.9999999999875956,0.9999999997815406,0.2323904751182143,0.15339395841224734,0.6518883233775328,0.9999999386499789,1.0,0.9967550993804042,0.9993494022827405,0.9880722088756011,0.6835520306937685,0.9999922067465524,0.9999999919966781,0.9999922067465524,0.10877928162902484,0.2323904751182143,0.15339395841224734,1.0,1.0,0.9999999973889979
rembert_mean,0.9999999919966781,1.0,1.0,0.6518883233775328,0.8880818706906026,0.8472025991675559,0.9984847878685458,0.9935598167133549,0.9999996276297075,0.7142895489838851,0.9967550993804042,1.0,1.0,1.0,0.9999998447607935,0.9999999999995729,0.9999999771251004,0.9999999999995729,0.9841520987182973,0.9984847878685458,0.9935598167133549,0.993559816713355,0.9967550993804042,0.9999999386499789
robbert2023_cls,0.9999999999450312,1.0,0.9999999999995729,0.7721346186060913,0.9469534999293394,0.921240806516502,0.9935598167133549,0.979257963496349,0.9999922067465524,0.8239281979968213,0.9993494022827405,1.0,1.0,1.0,0.9999961222661272,1.0,0.9999999997815406,1.0,0.9572304282941798,0.9935598167133549,0.979257963496349,0.9984847878685458,0.9993494022827405,0.9999999992115634
robbert2023_max,0.9999996276297075,1.0,1.0,0.5206375153141535,0.7988659836616026,0.7438835773205629,0.9997454257355707,0.9984847878685458,0.9999999919966781,0.5867081757208286,0.9880722088756011,1.0,1.0,1.0,0.9999999973889979,0.9999999997815406,0.9999991497723406,0.9999999997815406,0.995387005856079,0.9997454257355707,0.9984847878685458,0.9792579634963491,0.9880722088756011,0.9999981453254253
robbert2023_mean,0.9935598167133549,0.9999998447607935,0.9999999999875956,0.09643712054774467,0.25577658962351557,0.2104609181627347,0.9999999999450312,0.9999999919966781,1.0,0.1223454401896592,0.6835520306937685,0.9999998447607935,0.9999961222661272,0.9999999973889979,1.0,0.999588023423158,0.9911628964857532,0.999588023423158,0.9999998447607935,0.9999999999450312,0.9999999919966781,0.6195281573761222,0.6835520306937685,0.9880722088756011
robbert_v2_cls,1.0,0.9999999999995729,0.9999999771251004,0.9349916963840346,0.993559816713355,0.9880722088756011,0.9469534999293393,0.8880818706906026,0.9993494022827405,0.9572304282941798,0.9999922067465524,0.9999999999995729,1.0,0.9999999997815406,0.999588023423158,1.0,1.0,1.0,0.8239281979968213,0.9469534999293393,0.8880818706906026,0.9999717596894658,0.9999922067465524,0.9999999999999993
robbert_v2_max,1.0,0.9999999771251004,0.9999849057175433,0.9911628964857532,0.9997454257355707,0.9993494022827405,0.7988659836616021,0.6835520306937685,0.9880722088756011,0.995387005856079,0.9999999919966781,0.9999999771251004,0.9999999997815406,0.9999991497723406,0.9911628964857532,1.0,1.0,1.0,0.5867081757208283,0.7988659836616021,0.6835520306937685,0.9999999386499789,0.9999999919966781,1.0
robbert_v2_mean,1.0,0.9999999999995729,0.9999999771251004,0.9349916963840346,0.993559816713355,0.9880722088756011,0.9469534999293393,0.8880818706906026,0.9993494022827405,0.9572304282941798,0.9999922067465524,0.9999999999995729,1.0,0.9999999997815406,0.999588023423158,1.0,1.0,1.0,0.8239281979968213,0.9469534999293393,0.8880818706906026,0.9999717596894658,0.9999922067465524,0.9999999999999993
sbert_bert,0.6195281573761222,0.9841520987182973,0.9989961287355222,0.003551823565441925,0.015781928627401576,0.011509593847741417,1.0,1.0,0.9999999386499789,0.005024449203719028,0.10877928162902484,0.9841520987182973,0.9572304282941798,0.995387005856079,0.9999998447607935,0.8239281979968213,0.5867081757208283,0.8239281979968213,1.0,1.0,1.0,0.08525149234706819,0.10877928162902484,0.5536664916766035
sbert_roberta,0.8239281979968217,0.9984847878685458,0.9999717596894658,0.011509593847741417,0.04416321892120967,0.03332552998889804,1.0,1.0,0.9999999999875956,0.015781928627401354,0.2323904751182143,0.9984847878685458,0.9935598167133549,0.9997454257355707,0.9999999999450312,0.9469534999293393,0.7988659836616021,0.9469534999293393,1.0,1.0,1.0,0.18999423520868342,0.2323904751182143,0.772134618606091
simcse_xlmr_base,0.7142895489838851,0.9935598167133549,0.9997454257355707,0.005956675133047762,0.02489487930900125,0.018415512832793968,1.0,1.0,0.9999999973889979,0.008317172865022981,0.15339395841224734,0.9935598167133549,0.979257963496349,0.9984847878685458,0.9999999919966781,0.8880818706906026,0.6835520306937685,0.8880818706906026,1.0,1.0,1.0,0.12234544018965954,0.15339395841224734,0.6518883233775328
xlmr_large_cls,0.9999998447607935,0.993559816713355,0.9469534999293394,0.9999999386499789,0.9999999999995729,0.9999999999875956,0.18999423520868342,0.12234544018965954,0.5867081757208289,0.9999999919966781,1.0,0.993559816713355,0.9984847878685458,0.9792579634963491,0.6195281573761222,0.9999717596894658,0.9999999386499789,0.9999717596894658,0.08525149234706819,0.18999423520868342,0.12234544018965954,1.0,1.0,0.9999999771251004
xlmr_large_max,0.9999999771251004,0.9967550993804042,0.9659464016341234,0.9999996276297075,0.9999999999875956,0.9999999997815406,0.2323904751182143,0.15339395841224734,0.6518883233775328,0.9999999386499789,1.0,0.9967550993804042,0.9993494022827405,0.9880722088756011,0.6835520306937685,0.9999922067465524,0.9999999919966781,0.9999922067465524,0.10877928162902484,0.2323904751182143,0.15339395841224734,1.0,1.0,0.9999999973889979
xlmr_large_mean,1.0,0.9999999386499789,0.9999717596894658,0.993559816713355,0.9998466968637888,0.999588023423158,0.772134618606091,0.6518883233775328,0.9841520987182973,0.9967550993804042,0.9999999973889979,0.9999999386499789,0.9999999992115634,0.9999981453254253,0.9880722088756011,0.9999999999999993,1.0,0.9999999999999993,0.5536664916766035,0.772134618606091,0.6518883233775328,0.9999999771251004,0.9999999973889979,1.0
