embedding,regressor,median_rrmse
e5_base,chain_ERCcv_lr,0.6815699714287151
e5_large,local_lasso,0.6819935526556229
e5_large,chain_ERCcv_lr,0.6957585191292126
e5_base,local_lasso,0.7046550520754471
simcse_xlmr_base,chain_ERCcv_lr,0.7354910183540948
sbert_bert,local_lasso,0.7359021790796512
sbert_roberta,local_lasso,0.7408946282373099
sbert_bert,chain_ERCcv_lr,0.740976691659745
simcse_xlmr_base,local_lasso,0.7443459975917083
robbert2023_mean,local_lasso,0.7527659508715315
sbert_roberta,chain_ERCcv_lr,0.7562076892106837
labse,chain_ERCcv_lr,0.7580231656892906
robbert2023_mean,chain_ERCcv_lr,0.763903497092749
labse,local_lasso,0.7663618972113972
sbert_bert,chain_ERCcv_rf,0.7833444452561392
simcse_xlmr_base,chain_ERCcv_rf,0.784000285615255
rembert_mean,local_lasso,0.794209751807285
e5_large,chain_ERCcv_rf,0.7973566997907899
simcse_xlmr_base,local_rf,0.7980482441809427
robbert2023_max,local_lasso,0.8031268313381978
bert_mean,local_lasso,0.8055548625825076
sbert_bert,local_rf,0.8078873362277804
sbert_bert,global_rf,0.81223421077362
rembert_mean,chain_ERCcv_lr,0.8127351612421809
bert_max,local_lasso,0.8130099102719834
bert_mean,chain_ERCcv_lr,0.8157120453072193
sbert_roberta,chain_ERCcv_rf,0.8172705933582293
robbert2023_max,chain_ERCcv_lr,0.8188192388585787
sbert_roberta,local_rf,0.8253780769011966
e5_base,chain_ERCcv_rf,0.8263189244934741
e5_large,local_rf,0.8283199569029319
bert_max,chain_ERCcv_lr,0.8304135460891455
sbert_roberta,global_rf,0.8342381812521934
labse,chain_ERCcv_rf,0.8407615939838032
simcse_xlmr_base,global_rf,0.8446403807267875
e5_base,local_rf,0.8459190850375101
labse,local_rf,0.8513164756600555
robbert2023_mean,chain_ERCcv_rf,0.8534669896686533
robbert_v2_max,chain_ERCcv_lr,0.8627067005952962
robbert_v2_mean,local_lasso,0.8654134681047392
xlmr_large_mean,local_lasso,0.8677010844560473
e5_large,global_rf,0.8686932466662212
robbert2023_mean,local_rf,0.8692673361042687
robbert_v2_max,local_lasso,0.8699152062732196
bert_cls,local_lasso,0.8709018049712243
robbert2023_cls,chain_ERCcv_rf,0.8718219595764154
robbert2023_cls,local_rf,0.8765309881822925
bert_mean,local_rf,0.8777290238380905
e5_base,global_rf,0.8784118039289663
bert_mean,chain_ERCcv_rf,0.8801948226568321
robbert_v2_cls,local_lasso,0.8853026776988231
robbert2023_mean,global_rf,0.8855517822855121
bert_cls,chain_ERCcv_lr,0.8869198704366293
bert_max,local_rf,0.8905192245919185
robbert2023_max,chain_ERCcv_rf,0.890823090628545
xlmr_large_mean,chain_ERCcv_lr,0.8940931010412414
robbert_v2_mean,chain_ERCcv_lr,0.8942179399357139
labse,global_rf,0.8944459300157585
robbert2023_cls,local_lasso,0.8949530043603593
bert_max,chain_ERCcv_rf,0.8966352744988514
rembert_mean,chain_ERCcv_rf,0.8973035501951245
robbert2023_cls,global_rf,0.8995152989579792
robbert2023_max,local_rf,0.8997137523969592
robbert_v2_cls,chain_ERCcv_lr,0.9101709311820216
robbert_v2_mean,local_rf,0.9123357613222913
robbert_v2_cls,chain_ERCcv_rf,0.9127331240098877
robbert_v2_mean,chain_ERCcv_rf,0.9148878794867963
robbert_v2_cls,local_rf,0.9171010462301062
bert_cls,chain_ERCcv_rf,0.9178064645788933
rembert_mean,local_rf,0.9210688404230492
robbert_v2_cls,global_rf,0.9225549520386005
bert_cls,local_rf,0.9258395887173746
bert_mean,global_rf,0.9258523622579216
xlmr_large_mean,local_rf,0.9269232856822798
robbert2023_max,global_rf,0.928528992288515
bert_max,global_rf,0.9286413062560605
xlmr_large_mean,chain_ERCcv_rf,0.9294337001391473
robbert_v2_max,local_rf,0.9303049710500937
rembert_mean,global_rf,0.9321788039163035
robbert_v2_mean,global_rf,0.9340743894515846
robbert_v2_max,chain_ERCcv_rf,0.9365420545175582
rembert_max,chain_ERCcv_rf,0.9390351626915572
robbert_v2_max,global_rf,0.942135463524679
bert_cls,global_rf,0.9500938177714613
xlmr_large_max,chain_ERCcv_lr,0.9531430955244184
rembert_max,local_rf,0.9537761662578068
rembert_max,local_lasso,0.955681144018224
xlmr_large_cls,chain_ERCcv_rf,0.9588362233227719
xlmr_large_mean,global_rf,0.9636755495864203
xlmr_large_max,local_lasso,0.9642366843451208
robbert2023_cls,chain_ERCcv_lr,0.965874415599276
xlmr_large_cls,local_rf,0.9693990096045002
xlmr_large_max,global_rf,0.9718082635010481
xlmr_large_cls,global_rf,0.9756655117231533
xlmr_large_cls,local_lasso,0.9768344938257676
xlmr_large_max,chain_ERCcv_rf,0.9814646793490465
rembert_max,global_rf,0.9837649961066866
xlmr_large_max,local_rf,0.9841041661807342
deberta_mean,local_rf,0.9850896471237589
deberta_max,chain_ERCcv_rf,0.9854988747036499
deberta_mean,chain_ERCcv_rf,0.985592943850647
xlmr_large_cls,chain_ERCcv_lr,0.9863822515901448
deberta_mean,global_rf,0.9890365053340806
rembert_max,chain_ERCcv_lr,0.9893953273214227
deberta_max,chain_ERCcv_lr,0.9947712614017894
deberta_max,global_rf,0.995209136132538
deberta_max,local_rf,0.9957406951258483
deberta_cls,chain_ERCcv_lr,0.9978807685052751
rembert_cls,local_lasso,0.9999999995274282
xlmr_large_max,local_mean,0.9999999999992564
xlmr_large_mean,local_mean,0.9999999999992564
xlmr_large_cls,local_mean,0.9999999999992564
deberta_cls,local_mean,0.9999999999992564
deberta_max,local_mean,0.9999999999992564
bert_mean,local_mean,0.9999999999992564
bert_max,local_mean,0.9999999999992564
simcse_xlmr_base,local_mean,0.9999999999992564
robbert2023_max,local_mean,0.9999999999992564
deberta_mean,local_mean,0.9999999999992564
robbert_v2_cls,local_mean,0.9999999999992564
robbert2023_cls,local_mean,0.9999999999992564
rembert_mean,local_mean,0.9999999999992564
robbert_v2_max,local_mean,0.9999999999992564
rembert_max,local_mean,0.9999999999992564
robbert_v2_mean,local_mean,0.9999999999992564
robbert2023_mean,local_mean,0.9999999999992564
labse,local_mean,0.9999999999992564
rembert_cls,local_mean,0.9999999999992564
e5_base,local_mean,0.9999999999992564
sbert_bert,local_mean,0.9999999999992564
sbert_roberta,local_mean,0.9999999999992564
e5_large,local_mean,0.9999999999992564
bert_cls,local_mean,0.9999999999992564
deberta_max,local_lasso,1.0000000000728009
deberta_mean,local_lasso,1.0000000005454663
deberta_cls,local_lasso,1.0000000062002967
deberta_mean,chain_ERCcv_lr,1.0090582825050787
rembert_cls,global_rf,1.0108946191690946
deberta_cls,global_rf,1.0148540357436777
rembert_cls,chain_ERCcv_lr,1.0159715297769858
rembert_cls,local_rf,1.0249401742526847
deberta_cls,chain_ERCcv_rf,1.0284469346157818
rembert_cls,chain_ERCcv_rf,1.0333196317350979
deberta_cls,local_rf,1.0516410057490657
