,local_lr,local_lasso,local_rf,local_mean,global_bag,global_rf,chain_ERCcv_lr,chain_ERCcv_lasso,chain_ERCcv_rf,chain_ERCcv_mean
local_lr,1.0,0.5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
local_lasso,-0.5,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
local_rf,1.0,1.0,1.0,-1.0,-0.5,-1.0,1.0,-1.0,0.0,-1.0
local_mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
global_bag,1.0,1.0,0.5,-1.0,1.0,-0.5,1.0,-1.0,0.0,-1.0
global_rf,1.0,1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,0.5,-1.0
chain_ERCcv_lr,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
chain_ERCcv_lasso,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0
chain_ERCcv_rf,1.0,1.0,-0.0,-1.0,-0.0,-0.5,1.0,-1.0,1.0,-1.0
chain_ERCcv_mean,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0
