,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,-0.306,0.083,-0.75,0.139,-0.694,-0.694,-0.472,-0.694,-0.694,-0.917,-0.417,-0.361,-0.917,-0.361,-0.806,-0.694,-0.694,-0.694,-0.361,-0.083,0.306,-0.694,-0.694
bert_max,0.306,1.0,0.306,-0.75,0.361,-0.583,-0.694,-0.361,-0.528,-0.583,-0.917,-0.361,-0.25,-0.917,-0.361,-0.806,-0.639,-0.639,-0.694,0.028,0.25,0.361,-0.583,-0.694
bert_mean,-0.083,-0.306,1.0,-0.75,-0.028,-0.639,-0.694,-0.528,-0.639,-0.639,-0.917,-0.472,-0.472,-0.917,-0.417,-0.806,-0.694,-0.694,-0.694,-0.25,-0.083,0.028,-0.694,-0.694
deberta_cls,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,-0.806,0.75,0.75,-0.806,0.75,-0.028,0.75,0.75,0.694,0.75,0.75,0.75,0.75,0.694
deberta_max,-0.139,-0.361,0.028,-0.75,1.0,-0.694,-0.694,-0.583,-0.694,-0.694,-0.917,-0.583,-0.583,-0.917,-0.528,-0.806,-0.694,-0.694,-0.694,-0.306,-0.083,0.028,-0.694,-0.694
deberta_mean,0.694,0.583,0.639,-0.75,0.694,1.0,-0.694,0.306,-0.139,-0.139,-0.917,0.306,0.361,-0.917,0.139,-0.806,-0.083,-0.139,-0.694,0.583,0.639,0.694,0.083,-0.694
e5_base,0.694,0.694,0.694,-0.75,0.694,0.694,1.0,0.694,0.694,0.639,-0.917,0.694,0.694,-0.917,0.694,-0.806,0.694,0.694,-0.083,0.694,0.694,0.694,0.583,0.083
e5_large,0.472,0.361,0.528,-0.75,0.583,-0.306,-0.694,1.0,-0.361,-0.361,-0.917,0.028,0.194,-0.917,-0.028,-0.806,-0.306,-0.25,-0.694,0.306,0.417,0.694,-0.194,-0.694
labse,0.694,0.528,0.639,-0.75,0.694,0.139,-0.694,0.361,1.0,0.028,-0.917,0.361,0.361,-0.917,0.306,-0.806,0.139,-0.028,-0.694,0.583,0.583,0.694,-0.028,-0.639
rembert_cls,0.694,0.583,0.639,-0.75,0.694,0.139,-0.639,0.361,-0.028,1.0,-0.917,0.361,0.472,-0.917,0.25,-0.806,0.194,0.139,-0.639,0.583,0.639,0.694,0.083,-0.528
rembert_max,0.917,0.917,0.917,0.806,0.917,0.917,0.917,0.917,0.917,0.917,1.0,0.917,0.917,0.028,0.917,0.694,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
rembert_mean,0.417,0.361,0.472,-0.75,0.583,-0.306,-0.694,-0.028,-0.361,-0.361,-0.917,1.0,0.139,-0.917,-0.028,-0.806,-0.306,-0.25,-0.694,0.306,0.361,0.583,-0.139,-0.694
robbert2023_cls,0.361,0.25,0.472,-0.75,0.583,-0.361,-0.694,-0.194,-0.361,-0.472,-0.917,-0.139,1.0,-0.917,-0.083,-0.806,-0.417,-0.361,-0.694,0.25,0.306,0.583,-0.25,-0.694
