,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,1.0,1.0,5.893354001446017e-10,1.0,0.0012303828506512332,2.7430936057823703e-07,0.04966770553827692,0.0002792911836161977,0.0002792911836161977,5.893354001446017e-10,0.298527804075382,0.81942267456007,8.507667052826823e-10,0.24317109449244614,2.3078843002358097e-08,0.024422609060021003,0.0049833617589341095,8.309490483186167e-06,1.0,1.0,1.0,0.002857304995736489,2.3078843002358097e-08
bert_max,1.0,1.0,1.0,0.00015155155063476832,1.0,1.0,0.018874351107782576,1.0,1.0,1.0,0.00015155155063476832,1.0,1.0,0.00020599318738383798,1.0,0.002857304995736489,1.0,1.0,0.19724297068792013,1.0,1.0,0.4441169535168406,1.0,0.002857304995736489
bert_mean,1.0,1.0,1.0,1.9389404538344568e-07,1.0,0.08104179905955401,5.849103829888708e-05,1.0,0.024422609060021003,0.024422609060021003,1.9389404538344568e-07,1.0,1.0,2.7430936057823703e-07,1.0,5.9790958388543534e-06,0.81942267456007,0.24317109449244614,0.0012303828506512332,1.0,1.0,1.0,0.16122131498493084,5.9790958388543534e-06
deberta_cls,5.893354001446017e-10,0.00015155155063476832,1.9389404538344568e-07,1.0,9.605176022803577e-08,0.364913669596262,1.0,0.014685162199680888,0.994823581736005,0.994823581736005,1.0,0.0016416678004993145,0.0003777052632587756,1.0,0.002174164775293804,1.0,0.03100789763655782,0.12891462047022575,1.0,2.7430936057823703e-07,1.231480844044829e-09,6.184002440823119e-11,0.19724297068792013,1.0
deberta_max,1.0,1.0,1.0,9.605176022803577e-08,1.0,0.04966770553827692,3.0869761694157304e-05,0.994823581736005,0.014685162199680888,0.014685162199680888,9.605176022803577e-08,1.0,1.0,1.3630834640185336e-07,1.0,3.0526527557216414e-06,0.541851772698125,0.16122131498493084,0.0006792963758519915,1.0,1.0,1.0,0.10210810765153813,3.0526527557216414e-06
deberta_mean,0.0012303828506512332,1.0,0.08104179905955401,0.364913669596262,0.04966770553827692,1.0,1.0,1.0,1.0,1.0,0.364913669596262,1.0,1.0,0.4441169535168406,1.0,1.0,1.0,1.0,1.0,0.10210810765153813,0.002174164775293804,0.00020599318738383798,1.0,1.0
e5_base,2.7430936057823703e-07,0.018874351107782576,5.849103829888708e-05,1.0,3.0869761694157304e-05,1.0,1.0,0.6676134861622968,1.0,1.0,1.0,0.12891462047022575,0.03900216708386204,1.0,0.16122131498493084,1.0,1.0,1.0,1.0,8.040939015311715e-05,5.441641048978902e-07,3.293770568666257e-08,1.0,1.0
e5_large,0.04966770553827692,1.0,1.0,0.014685162199680888,0.994823581736005,1.0,0.6676134861622968,1.0,1.0,1.0,0.014685162199680888,1.0,1.0,0.018874351107782576,1.0,0.16122131498493084,1.0,1.0,1.0,1.0,0.08104179905955401,0.01121911354354995,1.0,0.16122131498493084
labse,0.0002792911836161977,1.0,0.024422609060021003,0.994823581736005,0.014685162199680888,1.0,1.0,1.0,1.0,1.0,0.994823581736005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03100789763655782,0.0005094713769924974,4.262929062347149e-05,1.0,1.0
rembert_cls,0.0002792911836161977,1.0,0.024422609060021003,0.994823581736005,0.014685162199680888,1.0,1.0,1.0,1.0,1.0,0.994823581736005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03100789763655782,0.0005094713769924974,4.262929062347149e-05,1.0,1.0
rembert_max,5.893354001446017e-10,0.00015155155063476832,1.9389404538344568e-07,1.0,9.605176022803577e-08,0.364913669596262,1.0,0.014685162199680888,0.994823581736005,0.994823581736005,1.0,0.0016416678004993145,0.0003777052632587756,1.0,0.002174164775293804,1.0,0.03100789763655782,0.12891462047022575,1.0,2.7430936057823703e-07,1.231480844044829e-09,6.184002440823119e-11,0.19724297068792013,1.0
rembert_mean,0.298527804075382,1.0,1.0,0.0016416678004993145,1.0,1.0,0.12891462047022575,1.0,1.0,1.0,0.0016416678004993145,1.0,1.0,0.002174164775293804,1.0,0.024422609060021003,1.0,1.0,0.994823581736005,1.0,0.4441169535168406,0.08104179905955401,1.0,0.024422609060021003
robbert2023_cls,0.81942267456007,1.0,1.0,0.0003777052632587756,1.0,1.0,0.03900216708386204,1.0,1.0,1.0,0.0003777052632587756,1.0,1.0,0.0005094713769924974,1.0,0.006519733012198782,1.0,1.0,0.364913669596262,1.0,1.0,0.24317109449244614,1.0,0.006519733012198782
robbert2023_max,8.507667052826823e-10,0.00020599318738383798,2.7430936057823703e-07,1.0,1.3630834640185336e-07,0.4441169535168406,1.0,0.018874351107782576,1.0,1.0,1.0,0.002174164775293804,0.0005094713769924974,1.0,0.002857304995736489,1.0,0.03900216708386204,0.16122131498493084,1.0,3.843848323390531e-07,1.7741407154663895e-09,8.973586832783807e-11,0.24317109449244614,1.0
robbert2023_mean,0.24317109449244614,1.0,1.0,0.002174164775293804,1.0,1.0,0.16122131498493084,1.0,1.0,1.0,0.002174164775293804,1.0,1.0,0.002857304995736489,1.0,0.03100789763655782,1.0,1.0,1.0,1.0,0.364913669596262,0.0633763593701243,1.0,0.03100789763655782
robbert_v2_cls,2.3078843002358097e-08,0.002857304995736489,5.9790958388543534e-06,1.0,3.0526527557216414e-06,1.0,1.0,0.16122131498493084,1.0,1.0,1.0,0.024422609060021003,0.006519733012198782,1.0,0.03100789763655782,1.0,0.298527804075382,0.994823581736005,1.0,8.309490483186167e-06,4.7123093241595116e-08,2.562746547346243e-09,1.0,1.0
robbert_v2_max,0.024422609060021003,1.0,0.81942267456007,0.03100789763655782,0.541851772698125,1.0,1.0,1.0,1.0,1.0,0.03100789763655782,1.0,1.0,0.03900216708386204,1.0,0.298527804075382,1.0,1.0,1.0,0.994823581736005,0.03900216708386204,0.0049833617589341095,1.0,0.298527804075382
robbert_v2_mean,0.0049833617589341095,1.0,0.24317109449244614,0.12891462047022575,0.16122131498493084,1.0,1.0,1.0,1.0,1.0,0.12891462047022575,1.0,1.0,0.16122131498493084,1.0,0.994823581736005,1.0,1.0,1.0,0.298527804075382,0.008544654613121845,0.0009154446282115638,1.0,0.994823581736005
sbert_bert,8.309490483186167e-06,0.19724297068792013,0.0012303828506512332,1.0,0.0006792963758519915,1.0,1.0,1.0,1.0,1.0,1.0,0.994823581736005,0.364913669596262,1.0,1.0,1.0,1.0,1.0,1.0,0.0016416678004993145,1.601653555977034e-05,1.0895025542680415e-06,1.0,1.0
sbert_roberta,1.0,1.0,1.0,2.7430936057823703e-07,1.0,0.10210810765153813,8.040939015311715e-05,1.0,0.03100789763655782,0.03100789763655782,2.7430936057823703e-07,1.0,1.0,3.843848323390531e-07,1.0,8.309490483186167e-06,0.994823581736005,0.298527804075382,0.0016416678004993145,1.0,1.0,1.0,0.19724297068792013,8.309490483186167e-06
simcse_xlmr_base,1.0,1.0,1.0,1.231480844044829e-09,1.0,0.002174164775293804,5.441641048978902e-07,0.08104179905955401,0.0005094713769924974,0.0005094713769924974,1.231480844044829e-09,0.4441169535168406,1.0,1.7741407154663895e-09,0.364913669596262,4.7123093241595116e-08,0.03900216708386204,0.008544654613121845,1.601653555977034e-05,1.0,1.0,1.0,0.0049833617589341095,4.7123093241595116e-08
xlmr_large_cls,1.0,0.4441169535168406,1.0,6.184002440823119e-11,1.0,0.00020599318738383798,3.293770568666257e-08,0.01121911354354995,4.262929062347149e-05,4.262929062347149e-05,6.184002440823119e-11,0.08104179905955401,0.24317109449244614,8.973586832783807e-11,0.0633763593701243,2.562746547346243e-09,0.0049833617589341095,0.0009154446282115638,1.0895025542680415e-06,1.0,1.0,1.0,0.0005094713769924974,2.562746547346243e-09
xlmr_large_max,0.002857304995736489,1.0,0.16122131498493084,0.19724297068792013,0.10210810765153813,1.0,1.0,1.0,1.0,1.0,0.19724297068792013,1.0,1.0,0.24317109449244614,1.0,1.0,1.0,1.0,1.0,0.19724297068792013,0.0049833617589341095,0.0005094713769924974,1.0,1.0
xlmr_large_mean,2.3078843002358097e-08,0.002857304995736489,5.9790958388543534e-06,1.0,3.0526527557216414e-06,1.0,1.0,0.16122131498493084,1.0,1.0,1.0,0.024422609060021003,0.006519733012198782,1.0,0.03100789763655782,1.0,0.298527804075382,0.994823581736005,1.0,8.309490483186167e-06,4.7123093241595116e-08,2.562746547346243e-09,1.0,1.0
