,median_rrmse
bert_cls,0.8213243351297129
bert_max,0.861367162886461
bert_mean,0.812838328346861
deberta_cls,0.9954749156291931
deberta_max,0.7910242648980989
deberta_mean,0.9136118204045438
e5_base,0.9766364714250473
e5_large,0.8935772495453849
labse,0.933423512783826
rembert_cls,0.9281784929107135
rembert_max,1.0134330744730402
rembert_mean,0.8952684215127521
robbert2023_cls,0.8789619232474613
robbert2023_max,1.007427020971987
robbert2023_mean,0.9091861953090868
robbert_v2_cls,0.9945182526666685
robbert_v2_max,0.914917085119997
robbert_v2_mean,0.921823026648134
sbert_bert,0.9762500027744605
sbert_roberta,0.8460390348219293
simcse_xlmr_base,0.8361190047654921
xlmr_large_cls,0.7956158907419598
xlmr_large_max,0.8972341516591693
xlmr_large_mean,0.9697230700624553
