,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,0.296,0.469,-0.918,-0.714,-0.74,0.745,0.888,0.653,-0.939,-0.602,0.209,0.071,0.357,0.704,-0.056,-0.102,0.071,0.806,0.776,0.776,-0.612,-0.663,-0.051
bert_max,-0.296,1.0,0.01,-0.98,-0.867,-0.847,0.469,0.714,0.276,-0.98,-0.694,-0.071,-0.224,0.031,0.347,-0.306,-0.347,-0.24,0.612,0.51,0.5,-0.765,-0.755,-0.357
bert_mean,-0.469,-0.01,1.0,-0.99,-0.949,-0.949,0.469,0.735,0.357,-1.0,-0.898,-0.194,-0.327,-0.051,0.378,-0.398,-0.444,-0.316,0.602,0.541,0.592,-0.898,-0.867,-0.367
deberta_cls,0.918,0.98,0.99,1.0,0.316,0.286,1.0,1.0,1.0,0.051,0.714,0.969,0.908,1.0,1.0,0.908,0.878,0.888,1.0,1.0,1.0,0.714,0.673,0.847
deberta_max,0.714,0.867,0.949,-0.316,1.0,-0.056,0.98,1.0,0.969,-0.296,0.398,0.816,0.704,0.898,0.99,0.704,0.694,0.709,0.99,0.974,0.969,0.347,0.301,0.673
deberta_mean,0.74,0.847,0.949,-0.286,0.056,1.0,0.98,1.0,0.969,-0.306,0.388,0.837,0.724,0.898,0.99,0.724,0.663,0.704,0.99,0.98,0.969,0.362,0.337,0.653
e5_base,-0.745,-0.469,-0.469,-1.0,-0.98,-0.98,1.0,0.235,-0.265,-1.0,-0.959,-0.541,-0.643,-0.531,-0.194,-0.684,-0.663,-0.673,0.128,0.071,0.102,-0.959,-0.959,-0.745
e5_large,-0.888,-0.714,-0.735,-1.0,-1.0,-1.0,-0.235,1.0,-0.551,-1.0,-1.0,-0.704,-0.786,-0.755,-0.52,-0.847,-0.796,-0.847,-0.143,-0.214,-0.163,-1.0,-1.0,-0.929
labse,-0.653,-0.276,-0.357,-1.0,-0.969,-0.969,0.265,0.551,1.0,-1.0,-0.959,-0.388,-0.48,-0.306,0.041,-0.633,-0.633,-0.51,0.398,0.357,0.367,-0.969,-0.949,-0.684
rembert_cls,0.939,0.98,1.0,-0.051,0.296,0.306,1.0,1.0,1.0,1.0,0.724,0.98,0.929,1.0,1.0,0.929,0.918,0.908,1.0,1.0,1.0,0.714,0.694,0.888
rembert_max,0.602,0.694,0.898,-0.714,-0.398,-0.388,0.959,1.0,0.959,-0.724,1.0,0.724,0.541,0.827,0.98,0.485,0.408,0.51,0.98,0.959,0.949,-0.082,-0.133,0.459
rembert_mean,-0.209,0.071,0.194,-0.969,-0.816,-0.837,0.541,0.704,0.388,-0.98,-0.724,1.0,-0.143,0.102,0.449,-0.224,-0.265,-0.133,0.633,0.551,0.561,-0.724,-0.781,-0.276
