,median_rrmse
bert_cls,0.9999999999957894
bert_max,0.9899436011060089
bert_mean,0.9999999999735881
deberta_cls,0.9999999999994313
deberta_max,0.9999999999992053
deberta_mean,0.9999999999993268
e5_base,0.9339550802195471
e5_large,0.9269390365190041
labse,0.975856976163799
rembert_cls,0.9999999999994418
rembert_max,0.9999999999986395
rembert_mean,0.9999999999901776
robbert2023_cls,0.999999999997059
robbert2023_max,0.990749506438141
robbert2023_mean,0.9708718625160058
robbert_v2_cls,0.999999999995743
robbert_v2_max,0.9999999999962041
robbert_v2_mean,0.9999999999945572
sbert_bert,0.9304410451432475
sbert_roberta,0.9302725499550148
simcse_xlmr_base,0.9269217294405161
xlmr_large_cls,0.9999999999988247
xlmr_large_max,0.9999999999988234
xlmr_large_mean,0.9999999999907082
