,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,0.9998869678732851,0.9954905139853633,0.20522529400416478,0.8323871993823475,0.8616205079101574,0.19189996313197832,0.008571795657374537,0.6031145723661709,0.2191774362096649,0.9930338742852353,0.999998985018793,1.0,0.9999453781404559,0.6245230547160538,1.0,1.0,1.0,0.026351041715210632,0.10696621607092294,0.12475337243019491,0.9895495288024253,0.974375910895745,1.0
bert_max,0.9998869678732851,1.0,0.9999999999999998,0.002205148468538254,0.06547464466386799,0.07748414434716788,0.9699043454115436,0.41157448131656793,0.9998403549040026,0.00248167428750401,0.31583462137984275,1.0,0.9999930086581623,1.0,0.9998869678732851,0.9999209310523445,0.9999627548172709,0.9999627548172709,0.6457187867971981,0.9102243943546318,0.9295979984281028,0.2812108499156558,0.20522529400416478,0.9977859302851366
bert_mean,0.9954905139853633,0.9999999999999998,1.0,0.0004389211468321941,0.019636452355558665,0.023915127751827914,0.9977859302851366,0.6872069700761383,0.9999994016005921,0.0004994647066557389,0.13447218681327033,0.9999999998517097,0.9992403627482634,0.999999999999995,0.99999965426208,0.9964134701935542,0.9977859302851366,0.9977859302851366,0.875015831500527,0.9873329642593122,0.991437406443804,0.11559040090291461,0.07748414434716788,0.9699043454115437
deberta_cls,0.20522529400416478,0.002205148468538254,0.0004389211468321941,1.0,0.9999998918436668,0.99999965426208,6.563227827882656e-08,9.953904367421273e-11,2.4863462132485026e-06,1.0,0.9989936014056412,0.0076941106716319485,0.12475337243019491,0.0027903968537408286,2.9086957289425897e-06,0.19189996313197855,0.16711403557209614,0.16711403557209614,8.403384654798174e-10,1.6065456076574947e-08,2.29375713978186e-08,0.9994321895854856,0.9998869678732851,0.3718557906423048
deberta_max,0.8323871993823475,0.06547464466386799,0.019636452355558665,0.9999998918436668,1.0,1.0,1.3411493551940268e-05,4.6361884553647315e-08,0.0002964151727343767,0.9999999415803095,0.9999999999771013,0.15563906219442813,0.7073702556824039,0.07748414434716788,0.0003381291549485743,0.8165871510837425,0.7827623371613385,0.7827623371613385,3.0276081153246537e-07,3.972076314084916e-06,5.4082979323855085e-06,0.9999999999971106,0.999999999999995,0.9458460131808742
deberta_mean,0.8616205079101574,0.07748414434716788,0.023915127751827914,0.99999965426208,1.0,1.0,1.8045052803783435e-05,6.563227827882656e-08,0.0003854001412346708,0.999999804445958,0.9999999999971106,0.1791981961382232,0.7462293191328937,0.09126099958129796,0.0004389211468321941,0.8474057129766736,0.8165871510837419,0.8165871510837419,4.219231075630603e-07,5.4082979323855085e-06,7.34212995989747e-06,0.9999999999997139,0.9999999999999998,0.9591883956668986
e5_base,0.19189996313197832,0.9699043454115436,0.9977859302851366,6.563227827882656e-08,1.3411493551940268e-05,1.8045052803783435e-05,1.0,0.99999965426208,0.9999999999771013,7.800678203384592e-08,0.0002964151727343767,0.875015831500527,0.29823445105570767,0.9591883956668984,0.9999999999403638,0.20522529400416423,0.233756683721016,0.233756683721016,0.9999999998517097,1.0,1.0,0.00022723944608571411,0.0001153120201642377,0.09126099958129785
e5_large,0.008571795657374537,0.41157448131656793,0.6872069700761383,9.953904367421273e-11,4.6361884553647315e-08,6.563227827882656e-08,0.99999965426208,1.0,0.9982823595197757,1.212679956452689e-10,1.8127463643491382e-06,0.21917743620966557,0.01776587437028143,0.3718557906423048,0.9977859302851366,0.009540426853663186,0.01178404141962297,0.01178404141962297,1.0,0.9999999982135916,0.9999999921261962,1.3177950907161673e-06,5.86297989491058e-07,0.0027903968537408286
labse,0.6031145723661709,0.9998403549040026,0.9999994016005921,2.4863462132485026e-06,0.0002964151727343767,0.0003854001412346708,0.9999999999771013,0.9982823595197757,1.0,2.9086957289425897e-06,0.004420197149928362,0.9964134701935542,0.7462293191328933,0.9996923288684207,1.0,0.6245230547160538,0.6666352427468921,0.6666352427468921,0.9999453781404559,0.9999999842126713,0.999999996189049,0.003518365189636108,0.0019577065882672162,0.39150238191691034
rembert_cls,0.2191774362096649,0.00248167428750401,0.0004994647066557389,1.0,0.9999999415803095,0.999999804445958,7.800678203384592e-08,1.212679956452689e-10,2.9086957289425897e-06,1.0,0.9992403627482634,0.008571795657374426,0.13447218681327033,0.0031347209254557473,3.400299373068627e-06,0.20522529400416478,0.17919819613822296,0.17919819613822296,1.0158800467507945e-09,1.9203220347208116e-08,2.7378710409919904e-08,0.9995798398844978,0.9999209310523445,0.39150238191691034
rembert_max,0.9930338742852353,0.31583462137984275,0.13447218681327033,0.9989936014056412,0.9999999999771013,0.9999999999971106,0.0002964151727343767,1.8127463643491382e-06,0.004420197149928362,0.9992403627482634,1.0,0.5382803343458341,0.974375910895745,0.3526733735361611,0.00494760259853777,0.991437406443804,0.9873329642593122,0.9873329642593122,9.937937860193813e-06,0.00010044402613407222,0.00013227689854278246,1.0,1.0,0.9994321895854856
rembert_mean,0.999998985018793,1.0,0.9999999998517097,0.0076941106716319485,0.15563906219442813,0.1791981961382232,0.875015831500527,0.21917743620966557,0.9964134701935542,0.008571795657374426,0.5382803343458341,1.0,0.9999999842126713,1.0,0.9971703472809962,0.9999994016005921,0.999999804445958,0.999999804445958,0.41157448131656793,0.7462293191328933,0.7827623371613385,0.49520362940535045,0.39150238191691034,0.9999209310523445
robbert2023_cls,1.0,0.9999930086581623,0.9992403627482634,0.12475337243019491,0.7073702556824039,0.7462293191328937,0.29823445105570767,0.01776587437028143,0.7462293191328933,0.13447218681327033,0.974375910895745,0.9999999842126713,1.0,0.9999972411938798,0.7648122691321462,1.0,1.0,1.0,0.05041731539320937,0.17919819613822296,0.20522529400416478,0.9648554545605372,0.9295979984281028,0.9999999999999192
robbert2023_max,0.9999453781404559,1.0,0.999999999999995,0.0027903968537408286,0.07748414434716788,0.09126099958129796,0.9591883956668984,0.3718557906423048,0.9996923288684207,0.0031347209254557473,0.3526733735361611,1.0,0.9999972411938798,1.0,0.9997771271323658,0.9999627548172709,0.9999833817172686,0.9999833817172686,0.6031145723661709,0.8875824178509135,0.9102243943546319,0.31583462137984275,0.23375668372101566,0.9986792084580919
robbert2023_mean,0.6245230547160538,0.9998869678732851,0.99999965426208,2.9086957289425897e-06,0.0003381291549485743,0.0004389211468321941,0.9999999999403638,0.9977859302851366,1.0,3.400299373068627e-06,0.00494760259853777,0.9971703472809962,0.7648122691321462,0.9997771271323658,1.0,0.6457187867971981,0.6872069700761383,0.6872069700761383,0.9999209310523445,0.9999999692252134,0.9999999921261962,0.003945385190688544,0.002205148468538254,0.41157448131656793
robbert_v2_cls,1.0,0.9999209310523445,0.9964134701935542,0.19189996313197855,0.8165871510837425,0.8474057129766736,0.20522529400416423,0.009540426853663186,0.6245230547160538,0.20522529400416478,0.991437406443804,0.9999994016005921,1.0,0.9999627548172709,0.6457187867971981,1.0,1.0,1.0,0.029004414937869982,0.11559040090291461,0.13447218681327033,0.9873329642593122,0.9699043454115437,1.0
