,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,1.0,0.7705,0.0276,1.0,0.6726,0.0276,0.0276,0.7705,0.0276,0.0276,1.0,1.0,0.9265,0.0984,1.0,1.0,1.0,0.0276,0.0676,0.038,0.0984,0.6726,1.0
bert_max,1.0,1.0,1.0,0.0276,0.4216,0.2482,0.1422,0.038,1.0,0.0276,0.038,1.0,1.0,1.0,1.0,0.7705,1.0,1.0,0.0276,1.0,0.038,0.0984,0.0276,1.0
bert_mean,0.7705,1.0,1.0,0.0276,0.0276,0.0276,0.624,0.038,1.0,0.0276,0.038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0676,0.2482,0.038,0.038,0.0276,1.0
deberta_cls,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0276,1.0,0.038,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.038,0.0276,0.0276,0.0276,0.508,1.0,0.1422
deberta_max,1.0,0.4216,0.0276,1.0,1.0,1.0,0.0676,0.0276,0.0276,1.0,1.0,0.9265,1.0,0.1788,0.038,1.0,1.0,0.6726,0.0276,0.165,0.038,1.0,1.0,0.508
deberta_mean,0.6726,0.2482,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0276,1.0,1.0,0.322,0.4216,0.1422,0.0276,0.7705,1.0,0.624,0.0276,0.0276,0.038,1.0,1.0,0.508
e5_base,0.0276,0.1422,0.624,0.0276,0.0676,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.1422,0.0276,0.4216,1.0,0.0276,0.038,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.508
e5_large,0.0276,0.038,0.038,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0676,0.0276,0.0276,0.1422,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.038
labse,0.7705,1.0,1.0,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,1.0,0.9265,1.0,1.0,0.508,0.508,1.0,1.0,1.0,1.0,0.0276,0.0276,0.4216
rembert_cls,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0276,1.0,1.0,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,1.0,0.322,0.0276
rembert_max,0.0276,0.038,0.038,0.038,1.0,1.0,0.0276,0.0276,0.0276,1.0,1.0,0.0276,1.0,0.0276,0.0276,1.0,1.0,0.322,0.0276,0.038,0.0276,1.0,1.0,1.0
rembert_mean,1.0,1.0,1.0,0.0276,0.9265,0.322,0.1422,0.0676,1.0,0.0276,0.0276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0984,0.4216,0.4216,0.322,0.4992,1.0
robbert2023_cls,1.0,1.0,1.0,0.0276,1.0,0.4216,0.0276,0.0276,0.9265,0.0276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0276,0.0276,0.1422,1.0,0.7705,1.0
robbert2023_max,0.9265,1.0,1.0,0.0276,0.1788,0.1422,0.4216,0.0276,1.0,0.0276,0.0276,1.0,1.0,1.0,0.4216,1.0,1.0,1.0,0.0276,0.0984,0.1422,0.038,0.038,1.0
robbert2023_mean,0.0984,1.0,1.0,0.0276,0.038,0.0276,1.0,0.1422,1.0,0.0276,0.0276,1.0,1.0,0.4216,1.0,1.0,0.7705,0.508,1.0,1.0,1.0,0.0276,0.0276,1.0
robbert_v2_cls,1.0,0.7705,1.0,0.0276,1.0,0.7705,0.0276,0.0276,0.508,0.0276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0276,0.1788,0.0276,0.9265,0.2482,1.0
robbert_v2_max,1.0,1.0,1.0,0.0276,1.0,1.0,0.038,0.0276,0.508,0.0276,1.0,1.0,1.0,1.0,0.7705,1.0,1.0,1.0,0.0276,0.1788,0.0984,1.0,0.2482,1.0
robbert_v2_mean,1.0,1.0,1.0,0.038,0.6726,0.624,0.0276,0.0276,1.0,0.0276,0.322,1.0,1.0,1.0,0.508,1.0,1.0,1.0,0.0276,0.2482,0.038,0.4216,0.2482,1.0
sbert_bert,0.0276,0.0276,0.0676,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0984,0.0276,0.0276,1.0,0.0276,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.1422
sbert_roberta,0.0676,1.0,0.2482,0.0276,0.165,0.0276,1.0,1.0,1.0,0.0276,0.038,0.4216,0.0276,0.0984,1.0,0.1788,0.1788,0.2482,1.0,1.0,1.0,0.038,0.0276,0.0676
simcse_xlmr_base,0.038,0.038,0.038,0.0276,0.038,0.038,1.0,1.0,1.0,0.0276,0.0276,0.4216,0.1422,0.1422,1.0,0.0276,0.0984,0.038,1.0,1.0,1.0,0.0276,0.0276,0.038
xlmr_large_cls,0.0984,0.0984,0.038,0.508,1.0,1.0,0.0276,0.0276,0.0276,1.0,1.0,0.322,1.0,0.038,0.0276,0.9265,1.0,0.4216,0.0276,0.038,0.0276,1.0,1.0,1.0
xlmr_large_max,0.6726,0.0276,0.0276,1.0,1.0,1.0,0.0276,0.0276,0.0276,0.322,1.0,0.4992,0.7705,0.038,0.0276,0.2482,0.2482,0.2482,0.0276,0.0276,0.0276,1.0,1.0,1.0
xlmr_large_mean,1.0,1.0,1.0,0.1422,0.508,0.508,0.508,0.038,0.4216,0.0276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1422,0.0676,0.038,1.0,1.0,1.0
