,bert_cls,bert_max,bert_mean,deberta_cls,deberta_max,deberta_mean,e5_base,e5_large,labse,rembert_cls,rembert_max,rembert_mean,robbert2023_cls,robbert2023_max,robbert2023_mean,robbert_v2_cls,robbert_v2_max,robbert_v2_mean,sbert_bert,sbert_roberta,simcse_xlmr_base,xlmr_large_cls,xlmr_large_max,xlmr_large_mean
bert_cls,1.0,0.0107,0.0067,0.0001,0.0134,0.0057,0.0001,0.0001,0.0067,0.0001,0.0001,0.0901,0.2412,0.0085,0.0006,0.7536,0.7609,0.7148,0.0001,0.0004,0.0002,0.0006,0.0057,0.8077
bert_max,0.0107,1.0,0.7609,0.0001,0.0031,0.0017,0.0009,0.0002,0.1726,0.0001,0.0002,0.5016,0.1937,0.9032,0.0906,0.0067,0.0353,0.0687,0.0001,0.0107,0.0002,0.0006,0.0001,0.058
bert_mean,0.0067,0.7609,1.0,0.0001,0.0001,0.0001,0.0052,0.0002,0.058,0.0001,0.0002,0.5416,0.0906,0.5416,0.0245,0.0419,0.1166,0.0494,0.0004,0.0017,0.0002,0.0002,0.0001,0.0676
deberta_cls,0.0001,0.0001,0.0001,1.0,0.0107,0.0295,0.0001,0.0001,0.0001,0.8552,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.004,0.0134,0.0009
deberta_max,0.0134,0.0031,0.0001,0.0107,1.0,1.0,0.0004,0.0001,0.0001,1.0,1.0,0.0085,0.0134,0.0012,0.0002,0.0134,0.0166,0.0057,0.0001,0.0011,0.0002,1.0,0.3795,0.004
deberta_mean,0.0057,0.0017,0.0001,0.0295,1.0,1.0,0.0001,0.0001,0.0001,1.0,1.0,0.0023,0.0031,0.0009,0.0001,0.0067,0.0134,0.0052,0.0001,0.0001,0.0002,1.0,0.4263,0.004
e5_base,0.0001,0.0009,0.0052,0.0001,0.0004,0.0001,1.0,0.058,0.2676,0.0001,0.0001,0.0009,0.0001,0.0031,0.2166,0.0001,0.0002,0.0001,0.233,0.8552,0.3258,0.0001,0.0001,0.004
e5_large,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.058,1.0,0.0107,0.0001,0.0001,0.0004,0.0001,0.0001,0.0009,0.0001,0.0001,0.0001,0.7148,0.0676,0.3575,0.0001,0.0001,0.0002
labse,0.0067,0.1726,0.058,0.0001,0.0001,0.0001,0.2676,0.0107,1.0,0.0001,0.0001,0.104,0.0085,0.1189,0.9515,0.004,0.004,0.0203,0.0245,0.2412,0.0785,0.0001,0.0001,0.0031
rembert_cls,0.0001,0.0001,0.0001,0.8552,1.0,1.0,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0023,0.0001
rembert_max,0.0001,0.0002,0.0002,0.0002,1.0,1.0,0.0001,0.0001,0.0001,1.0,1.0,0.0001,0.0203,0.0001,0.0001,0.0171,0.0134,0.0023,0.0001,0.0002,0.0001,1.0,0.8077,0.0353
rembert_mean,0.0901,0.5016,0.5416,0.0001,0.0085,0.0023,0.0009,0.0004,0.104,0.0001,0.0001,1.0,0.5016,0.6257,0.0785,0.4631,0.583,0.2412,0.0006,0.0031,0.0031,0.0023,0.0039,0.104
robbert2023_cls,0.2412,0.1937,0.0906,0.0001,0.0134,0.0031,0.0001,0.0001,0.0085,0.0001,0.0203,0.5016,1.0,0.5416,0.0245,0.6698,0.8552,0.8552,0.0001,0.0001,0.0009,0.0245,0.0067,0.233
robbert2023_max,0.0085,0.9032,0.5416,0.0001,0.0012,0.0009,0.0031,0.0001,0.1189,0.0001,0.0001,0.6257,0.5416,1.0,0.0031,0.1189,0.1531,0.0419,0.0001,0.0006,0.0009,0.0002,0.0002,0.0785
robbert2023_mean,0.0006,0.0906,0.0245,0.0001,0.0002,0.0001,0.2166,0.0009,0.9515,0.0001,0.0001,0.0785,0.0245,0.0031,1.0,0.0107,0.0067,0.004,0.0419,0.0353,0.0906,0.0001,0.0001,0.0107
robbert_v2_cls,0.7536,0.0067,0.0419,0.0001,0.0134,0.0067,0.0001,0.0001,0.004,0.0001,0.0171,0.4631,0.6698,0.1189,0.0107,1.0,0.391,0.5416,0.0001,0.0012,0.0001,0.0085,0.0017,0.5016
robbert_v2_max,0.7609,0.0353,0.1166,0.0001,0.0166,0.0134,0.0002,0.0001,0.004,0.0001,0.0134,0.583,0.8552,0.1531,0.0067,0.391,1.0,0.7148,0.0001,0.0012,0.0006,0.0353,0.0017,0.3795
robbert_v2_mean,0.7148,0.0687,0.0494,0.0002,0.0057,0.0052,0.0001,0.0001,0.0203,0.0001,0.0023,0.2412,0.8552,0.0419,0.004,0.5416,0.7148,1.0,0.0001,0.0017,0.0002,0.0032,0.0017,0.3258
sbert_bert,0.0001,0.0001,0.0004,0.0001,0.0001,0.0001,0.233,0.7148,0.0245,0.0001,0.0001,0.0006,0.0001,0.0001,0.0419,0.0001,0.0001,0.0001,1.0,0.5416,0.4263,0.0001,0.0001,0.0009
sbert_roberta,0.0004,0.0107,0.0017,0.0001,0.0011,0.0001,0.8552,0.0676,0.2412,0.0001,0.0002,0.0031,0.0001,0.0006,0.0353,0.0012,0.0012,0.0017,0.5416,1.0,0.8552,0.0002,0.0001,0.0004
simcse_xlmr_base,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.3258,0.3575,0.0785,0.0001,0.0001,0.0031,0.0009,0.0009,0.0906,0.0001,0.0006,0.0002,0.4263,0.8552,1.0,0.0001,0.0001,0.0002
xlmr_large_cls,0.0006,0.0006,0.0002,0.004,1.0,1.0,0.0001,0.0001,0.0001,1.0,1.0,0.0023,0.0245,0.0002,0.0001,0.0085,0.0353,0.0032,0.0001,0.0002,0.0001,1.0,0.7609,0.0419
xlmr_large_max,0.0057,0.0001,0.0001,0.0134,0.3795,0.4263,0.0001,0.0001,0.0001,0.0023,0.8077,0.0039,0.0067,0.0002,0.0001,0.0017,0.0017,0.0017,0.0001,0.0001,0.0001,0.7609,1.0,0.0419
xlmr_large_mean,0.8077,0.058,0.0676,0.0009,0.004,0.004,0.004,0.0002,0.0031,0.0001,0.0353,0.104,0.233,0.0785,0.0107,0.5016,0.3795,0.3258,0.0009,0.0004,0.0002,0.0419,0.0419,1.0
