method,facet_id,domain_id,subdomain_id,pool_count_pre,pool_count_post,selected_count,fail_lang,fail_len,warn_len,mean_pairwise_dist,min_pairwise_dist
gemma,1.1.1,1,1.1,25,25,25,0,0,0,0.46662184596061707,0.1753334403038025
gemma,1.1.2,1,1.1,25,25,25,0,0,0,0.4489060044288635,0.13191217184066772
gemma,1.1.3,1,1.1,25,25,25,0,0,0,0.47594431042671204,0.1474965214729309
gemma,1.1.4,1,1.1,25,25,25,0,0,0,0.5078639984130859,0.1217796802520752
gemma,1.1.5,1,1.1,25,25,25,0,0,0,0.4704585373401642,0.14612650871276855
gemma,1.1.6,1,1.1,25,25,25,0,0,0,0.4694524109363556,0.11233103275299072
gemma,1.1.7,1,1.1,41,41,25,0,0,0,0.6216211915016174,0.03705400228500366
gemma,1.2.1,1,1.2,25,25,25,0,0,0,0.7372157573699951,0.28286969661712646
gemma,1.2.2,1,1.2,25,25,25,0,0,0,0.5381717681884766,0.17038863897323608
gemma,1.2.3,1,1.2,37,37,25,1,0,0,0.5164922475814819,0.2226545214653015
gemma,1.2.4,1,1.2,31,30,25,0,0,0,0.6305119395256042,0.16101187467575073
gemma,1.3.1,1,1.3,25,25,25,0,0,0,0.4244630038738251,0.10150623321533203
gemma,1.3.2,1,1.3,25,25,25,0,0,0,0.6145161390304565,0.06291627883911133
gemma,1.3.3,1,1.3,41,40,25,0,0,0,0.6662746071815491,0.2011333703994751
gemma,1.3.4,1,1.3,25,25,25,0,0,0,0.4557948708534241,0.18582850694656372
gemma,2.1.1,2,2.1,25,25,25,0,0,0,0.656553328037262,0.21621829271316528
gemma,2.1.2,2,2.1,25,25,25,0,0,0,0.6470540165901184,0.1509186029434204
gemma,2.1.3,2,2.1,25,25,25,0,0,0,0.6546139121055603,0.21999144554138184
gemma,2.1.4,2,2.1,25,25,25,0,0,0,0.6294763684272766,0.27497196197509766
gemma,2.1.5,2,2.1,40,40,25,0,0,0,0.6931018233299255,0.19647431373596191
gemma,2.2.1,2,2.2,41,41,25,0,0,0,0.6410195231437683,0.16909217834472656
gemma,2.2.2,2,2.2,25,25,25,0,0,0,0.6909746527671814,0.3190767765045166
gemma,2.2.3,2,2.2,40,40,25,0,0,0,0.620616614818573,0.20004266500473022
gemma,2.2.4,2,2.2,40,40,25,0,0,0,0.7201300263404846,0.3616407513618469
gemma,2.3.1,2,2.3,25,25,25,0,0,0,0.5453659892082214,0.18905723094940186
gemma,2.3.2,2,2.3,25,25,25,0,0,0,0.6520559787750244,0.16738373041152954
gemma,2.3.3,2,2.3,25,25,25,0,0,0,0.5628936886787415,0.17927157878875732
gemma,2.3.4,2,2.3,25,24,24,0,0,0,0.6835547089576721,0.23553991317749023
gemma,3.1.1,3,3.1,25,25,25,0,0,0,0.6671510934829712,0.22661429643630981
gemma,3.1.2,3,3.1,25,25,25,0,0,0,0.5476419925689697,0.12940174341201782
gemma,3.1.3,3,3.1,25,25,25,0,0,0,0.5615270733833313,0.17993909120559692
gemma,3.1.4,3,3.1,39,39,25,0,0,0,0.6415658593177795,0.21799904108047485
gemma,3.2.1,3,3.2,25,25,25,0,0,0,0.7132608294487,0.2515971064567566
gemma,3.2.2,3,3.2,40,40,25,0,0,0,0.6210620403289795,0.1987076997756958
gemma,3.2.3,3,3.2,41,41,25,0,0,0,0.6056841015815735,0.1984938383102417
gemma,3.2.4,3,3.2,25,25,25,0,0,0,0.5999864935874939,0.12281578779220581
gemma,3.3.1,3,3.3,25,25,25,0,0,0,0.5508612394332886,0.16823238134384155
gemma,3.3.2,3,3.3,25,25,25,0,0,0,0.5416967868804932,0.11414307355880737
gemma,3.3.3,3,3.3,25,25,25,0,0,0,0.5710693597793579,0.24661332368850708
gemma,3.3.4,3,3.3,25,25,25,0,0,0,0.4771888852119446,0.162824809551239
gemma,4.1.1,4,4.1,32,32,25,0,0,0,0.5608367919921875,0.1591055989265442
gemma,4.1.2,4,4.1,25,25,25,0,0,0,0.5701116919517517,0.1632528305053711
gemma,4.1.3,4,4.1,25,25,25,0,0,0,0.6582448482513428,0.27366000413894653
gemma,4.1.4,4,4.1,25,25,25,0,0,0,0.4033620059490204,0.09949570894241333
gemma,4.2.1,4,4.2,25,25,25,0,0,0,0.5379872918128967,0.17830902338027954
gemma,4.2.2,4,4.2,25,25,25,0,0,0,0.5805470943450928,0.21718746423721313
gemma,4.2.3,4,4.2,40,40,25,0,0,0,0.6383503079414368,0.22736608982086182
gemma,4.2.4,4,4.2,41,41,25,0,0,0,0.6212237477302551,0.24766170978546143
gemma,4.2.5,4,4.2,25,25,25,0,0,0,0.6403433680534363,0.26776814460754395
gemma,4.3.1,4,4.3,25,25,25,0,0,0,0.7044476270675659,0.06593060493469238
gemma,4.3.2,4,4.3,32,32,25,0,0,0,0.6290902495384216,0.22087937593460083
gemma,4.3.3,4,4.3,32,31,25,0,0,0,0.6769692897796631,0.13620907068252563
gemma,4.3.4,4,4.3,25,25,25,0,0,0,0.7001838088035583,0.28191041946411133
gemma,4.3.5,4,4.3,25,25,25,0,0,0,0.6925139427185059,0.40442657470703125
gemma,5.1.1,5,5.1,25,25,25,0,0,0,0.5410189628601074,0.15032392740249634
gemma,5.1.2,5,5.1,25,25,25,0,0,0,0.5588220953941345,0.20077139139175415
gemma,5.1.3,5,5.1,25,25,25,0,0,0,0.5225604176521301,0.1482430100440979
gemma,5.1.4,5,5.1,32,32,25,0,0,0,0.48482614755630493,0.147089421749115
gemma,5.1.5,5,5.1,41,41,25,0,0,0,0.6306100487709045,0.20800244808197021
gemma,5.2.1,5,5.2,25,25,25,0,0,0,0.565823495388031,0.25291913747787476
gemma,5.2.2,5,5.2,25,25,25,0,0,0,0.6037144064903259,0.09029293060302734
gemma,5.2.3,5,5.2,41,41,25,0,0,0,0.4721265733242035,0.1766400933265686
gemma,5.2.4,5,5.2,39,39,25,0,0,0,0.5888814330101013,0.23159360885620117
gemma,5.3.1,5,5.3,25,25,25,0,0,0,0.46968480944633484,0.14481568336486816
gemma,5.3.2,5,5.3,25,25,25,0,0,0,0.5438405275344849,0.20383375883102417
gemma,5.3.3,5,5.3,25,25,25,0,0,0,0.5497170090675354,0.21540087461471558
gemma,5.3.4,5,5.3,25,25,25,0,0,0,0.5306870341300964,0.14667701721191406
gemma,6.1.1,6,6.1,25,25,25,0,0,0,0.5290234088897705,0.10904783010482788
gemma,6.1.2,6,6.1,25,25,25,0,0,0,0.6297464370727539,0.25595295429229736
gemma,6.1.3,6,6.1,25,25,25,0,0,0,0.5243505835533142,0.24345529079437256
gemma,6.2.1,6,6.2,25,25,25,0,0,2,0.46817800402641296,0.2332252860069275
gemma,6.2.2,6,6.2,25,25,25,0,0,0,0.52644282579422,0.1890348196029663
gemma,6.2.3,6,6.2,25,23,23,0,0,0,0.5216012597084045,0.2702169418334961
gemma,6.2.4,6,6.2,25,24,24,0,0,0,0.6491241455078125,0.18479007482528687
gemma,6.2.5,6,6.2,25,25,25,0,0,0,0.5526939630508423,0.2280740737915039
gemma,6.3.1,6,6.3,25,25,25,0,0,0,0.6108896732330322,0.2748108506202698
gemma,6.3.2,6,6.3,25,25,25,0,0,0,0.5521067380905151,0.22058004140853882
gemma,6.3.3,6,6.3,25,25,25,0,0,0,0.5572545528411865,0.09230834245681763
gemma,6.3.4,6,6.3,25,25,25,0,0,0,0.5807802081108093,0.13007980585098267
gemma,7.1.1,7,7.1,25,25,25,0,0,0,0.5016328692436218,0.16435682773590088
gemma,7.1.2,7,7.1,25,25,25,0,0,0,0.5348594188690186,0.1898953914642334
gemma,7.1.3,7,7.1,41,41,25,0,0,0,0.5433443188667297,0.24687039852142334
gemma,7.1.4,7,7.1,25,25,25,0,0,0,0.503754198551178,0.19741684198379517
gemma,7.2.1,7,7.2,25,24,24,0,0,0,0.6112789511680603,0.25332212448120117
gemma,7.2.2,7,7.2,25,25,25,0,0,0,0.5138716697692871,0.12245327234268188
gemma,7.2.3,7,7.2,33,33,25,0,0,0,0.5786117315292358,0.2243686318397522
gemma,7.2.4,7,7.2,41,40,25,0,0,0,0.6624674201011658,0.17149490118026733
gemma,7.3.1,7,7.3,25,25,25,0,0,0,0.46559107303619385,0.13222360610961914
gemma,7.3.2,7,7.3,25,25,25,0,0,0,0.5626387596130371,0.11517071723937988
gemma,7.3.3,7,7.3,25,25,25,0,0,0,0.503905177116394,0.20202606916427612
gemma,8.1.1,8,8.1,25,25,25,0,0,0,0.583412766456604,0.17805629968643188
gemma,8.1.2,8,8.1,25,25,25,0,0,0,0.6127095818519592,0.07204413414001465
gemma,8.1.3,8,8.1,25,25,25,0,0,0,0.5463579893112183,0.10636025667190552
gemma,8.1.4,8,8.1,41,41,25,0,0,0,0.6301941275596619,0.26220864057540894
gemma,8.1.5,8,8.1,25,25,25,0,0,0,0.5147555470466614,0.22935724258422852
gemma,8.2.1,8,8.2,45,45,25,0,0,1,0.6064824461936951,0.16688799858093262
gemma,8.2.2,8,8.2,25,25,25,0,0,0,0.6421752572059631,0.18520164489746094
gemma,8.2.3,8,8.2,41,41,25,0,0,0,0.6025165915489197,0.196194589138031
gemma,8.2.4,8,8.2,25,25,25,0,0,0,0.7059301733970642,0.2506396174430847
gemma,8.2.5,8,8.2,25,25,25,0,0,0,0.5724146366119385,0.15009623765945435
gemma,9.1.1,9,9.1,32,32,25,0,0,0,0.5224615335464478,0.16045033931732178
gemma,9.1.2,9,9.1,41,39,25,0,0,0,0.4993913173675537,0.09930533170700073
gemma,9.1.3,9,9.1,25,25,25,0,0,0,0.5004558563232422,0.2249932885169983
gemma,9.1.4,9,9.1,25,25,25,0,0,0,0.5096006393432617,0.14500170946121216
gemma,9.2.1,9,9.2,25,25,25,0,0,0,0.6872055530548096,0.18060839176177979
gemma,9.2.2,9,9.2,25,25,25,0,0,0,0.663718044757843,0.3426553010940552
gemma,9.2.3,9,9.2,25,24,24,0,0,0,0.7218616604804993,0.3568272590637207
gemma,9.2.4,9,9.2,41,41,25,0,0,0,0.5740966796875,0.19795942306518555
gemma,9.2.5,9,9.2,25,25,25,0,0,0,0.5963939428329468,0.24245065450668335
gemma,9.3.1,9,9.3,25,25,25,0,0,0,0.5233731865882874,0.2096419334411621
gemma,9.3.2,9,9.3,25,25,25,0,0,0,0.597360372543335,0.17334473133087158
gemma,9.3.3,9,9.3,25,25,25,0,0,0,0.4776059091091156,0.0984157919883728
gemma,9.3.4,9,9.3,25,25,25,0,0,0,0.4885653555393219,0.09860110282897949
gemma,9.3.5,9,9.3,25,25,25,0,0,1,0.4586632251739502,0.17579537630081177
gemma,1.1.1,1,1.1,40,40,25,0,0,0,0.48167577385902405,0.1843324899673462
gemma,1.1.2,1,1.1,40,40,25,0,0,0,0.49168819189071655,0.20707732439041138
gemma,1.1.3,1,1.1,41,41,25,0,0,0,0.4988543689250946,0.14610826969146729
gemma,1.1.4,1,1.1,40,40,25,0,0,0,0.5232563018798828,0.12778770923614502
gemma,1.1.5,1,1.1,54,54,25,0,0,0,0.49300095438957214,0.17189770936965942
gemma,1.1.6,1,1.1,53,53,25,0,0,0,0.49054884910583496,0.13383299112319946
gemma,1.1.7,1,1.1,41,41,25,0,0,0,0.6216211915016174,0.03705400228500366
gemma,1.2.1,1,1.2,41,41,25,0,0,0,0.7562175393104553,0.35701656341552734
gemma,1.2.2,1,1.2,41,41,25,0,0,0,0.5231229662895203,0.229406476020813
gemma,1.2.3,1,1.2,53,53,25,0,0,0,0.5298218131065369,0.2302672266960144
gemma,1.2.4,1,1.2,47,46,25,0,0,0,0.6440861821174622,0.24029934406280518
gemma,1.3.1,1,1.3,40,40,25,0,0,0,0.4336501955986023,0.07360577583312988
gemma,1.3.2,1,1.3,40,40,25,0,0,0,0.6379645466804504,0.30097711086273193
gemma,1.3.3,1,1.3,41,40,25,0,0,0,0.6662746071815491,0.2011333703994751
gemma,1.3.4,1,1.3,41,41,25,0,0,0,0.5008342266082764,0.14834308624267578
gemma,2.1.1,2,2.1,41,41,25,0,0,0,0.6799076795578003,0.158983051776886
gemma,2.1.2,2,2.1,41,41,25,0,0,0,0.6555614471435547,0.1499205231666565
