fold,method,SPS,M_total,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,1.0853309631347656,0.2177610546350479,0.5848168730735779,485.437255859375,0.9805362224578857,0.9043635129928589,0.01456990372389555,0.07493185251951218,2.660447120666504,1.0747438669204712,1.8802180290222168,4.263505935668945,5.007524490356445,1.0959179401397705,1.9623088836669922
1,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.7036802768707275,0.6498866081237793,2.6874520778656006,0.916360080242157,1.213002324104309,0.2617693543434143,0.961087703704834,0.5732381939888,0.8692386746406555,0.757473886013031,0.3755356967449188,3.703519582748413,0.5884014368057251,0.36054491996765137,0.08262087404727936
2,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.8071795105934143,0.22240915894508362,6.4780354499816895,1.4073255062103271,0.7570658326148987,0.17328675091266632,556.70263671875,5.596747875213623,1.1593012809753418,0.2710859179496765,0.8572931885719299,2.241734266281128,0.11700782924890518,0.4943545460700989,0.10958471894264221
3,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.6984144449234009,0.4880766272544861,0.4908590018749237,9.194991111755371,0.4516114890575409,0.6807029247283936,0.34119245409965515,0.39261746406555176,0.2410857379436493,1.475489616394043,1.0156505107879639,1.2423598766326904,0.716126024723053,0.8323044180870056,0.8913867473602295
4,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.4542526602745056,0.4230121672153473,0.4944148361682892,0.05669707804918289,0.4893939793109894,21.083709716796875,0.48549312353134155,0.707939088344574,0.08577144891023636,0.7441378235816956,1.5534780025482178,0.20464947819709778,0.4097382128238678,0.11497072875499725,0.19088511168956757
5,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.45982274413108826,0.30816832184791565,0.9044145345687866,0.4025561213493347,0.626909077167511,0.625675618648529,2.768364667892456,0.5017877817153931,0.08609061688184738,0.41785770654678345,2.9125356674194336,0.04765309393405914,0.05640542879700661,0.1738559752702713,0.9573522806167603
6,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.7220449447631836,0.8574768900871277,0.3743128776550293,1.070981740951538,1.0863726139068604,2.5103330612182617,1.175861120223999,0.060216546058654785,7.321237087249756,0.05350508540868759,0.3914017677307129,0.5866129398345947,0.014697559177875519,0.22104646265506744,2.3444855213165283
7,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,1.0931565761566162,1.187407374382019,0.9638335704803467,18.070972442626953,16.33391761779785,21.25006103515625,1.010876178741455,1.0084909200668335,1.175437092781067,0.43470367789268494,0.9979292154312134,11.536478042602539,0.9163835644721985,13.904139518737793,0.20718494057655334
8,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.6788303852081299,0.7737419605255127,0.5839188098907471,0.2607523500919342,0.3773956596851349,1.5283801555633545,4.116873264312744,1.1619155406951904,1.1585652828216553,1.468733549118042,0.0020260638557374477,0.01982903853058815,0.4865287244319916,1.0578113794326782,0.49772322177886963
9,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.8453212976455688,1.0459624528884888,0.2674674093723297,2.6525626182556152,1.193616271018982,0.040883537381887436,9.556381225585938,0.5037763118743896,0.3921491205692291,0.860237181186676,0.11645517498254776,2.906179189682007,0.8304054141044617,0.2130710780620575,1.61381995677948
