fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.0163148641586304,0.2158878743648529,0.4702582359313965,400.9573974609375,1.0079737901687622,1.0992976427078247,0.134155124425888,0.0944237262010574,2.982759714126587,1.0246559381484983,0.0232254862785339,4.217763900756836,2.7314159870147705,0.8886922001838684,1.7187553644180298
1,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.6653634309768677,0.6273819804191589,2.7543957233428955,0.7840259671211243,0.9305793642997742,0.2101422697305679,0.7859224677085876,0.5720667243003845,0.7033449411392212,0.9878106117248536,0.0123270582407712,4.282399654388428,0.2910594046115875,0.3071843981742859,0.0701236352324485
2,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8050419092178345,0.3401034474372864,8.284420013427734,1.3805257081985474,0.6892205476760864,0.1338580548763275,470.9527893066406,6.176995277404785,1.080320119857788,0.0995536893606185,0.9208633303642272,2.002115488052368,0.1843075156211853,0.506691038608551,0.0453835614025592
3,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5361753106117249,0.4530612826347351,0.4260005950927734,10.014787673950195,0.4526717960834503,0.3790298104286194,0.3223250806331634,0.3381917774677276,0.1180376559495925,1.9444843530654907,0.6192893385887146,1.2077183723449707,0.6842910051345825,0.8194743394851685,0.9307860732078552
4,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4682201743125915,0.4424558579921722,0.4939845204353332,0.0019557562191039,0.434792548418045,18.950044631958008,0.5599272847175598,0.764417827129364,0.1875450909137725,0.7450922727584839,1.1488269567489624,0.0760224908590316,0.3837116658687591,0.73969566822052,0.2714400589466095
5,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.63541579246521,0.3681070506572723,0.9385831356048584,1.2769646644592283,0.8113104104995728,0.5971001982688904,2.662517786026001,0.6737313270568848,0.0165435932576656,0.5442416071891785,2.268418312072754,0.0393689014017581,0.489986389875412,0.0797798335552215,0.8333593606948853
6,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5554423928260803,0.5490387678146362,0.4585824310779571,1.0103248357772827,0.787364661693573,2.6815364360809326,1.1900646686553955,0.0453846491873264,3.6028106212615967,0.0369383879005909,0.3613265752792358,0.5618460178375244,0.0054276837036013,0.0270125176757574,2.5329930782318115
7,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.189237117767334,1.2649011611938477,0.8553962707519531,27.31524085998535,11.564870834350586,18.86592483520508,1.1488211154937744,0.9800565242767334,1.2296531200408936,0.8725525736808777,0.6302317976951599,13.488715171813965,0.923945426940918,7.561069965362549,0.0939959213137626
8,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8776119947433472,0.9031745195388794,0.5145829916000366,0.3493946492671966,0.1122089475393295,1.655009388923645,4.937128067016602,1.3601391315460205,1.0978540182113647,1.4751697778701782,0.0265872068703174,0.0137504814192652,0.8520494103431702,1.3422245979309082,0.6015403866767883
9,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7463604211807251,1.1218249797821045,0.4509509801864624,3.0130186080932617,1.203346610069275,0.0283892769366502,2.282969236373902,0.6985279321670532,0.3241446912288666,0.9170125722885132,0.1902123838663101,0.2405218780040741,0.794192910194397,0.2898517549037933,1.6041655540466309
10,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8859385251998901,21.608646392822266,0.2229341715574264,0.565386176109314,0.9115065932273864,3.926202774047851,0.6701781153678894,0.8440542817115784,0.9401586651802064,0.0623829811811447,1.5423094034194946,0.0968429669737815,3.985088348388672,0.860370397567749,1.6069717407226562
11,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.612869381904602,0.299835741519928,2.102311611175537,1.414128661155701,0.6610016822814941,0.5647370219230652,1.0339723825454712,0.4194747805595398,0.4181822538375854,3.331080913543701,1.2786117792129517,0.4058599472045898,0.2122305035591125,0.5415693521499634,3.772337675094605
12,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.0577800273895264,5.801877498626709,0.9002765417098999,43.4471549987793,0.5979976058006287,1.9963254928588867,4.2035651206970215,2.799198627471924,48.47923278808594,0.5928629040718079,0.1615814268589019,1.1403167247772217,0.9340863227844238,0.3547500669956207,0.9752434492111206
13,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.802646279335022,0.40850630402565,0.7179460525512695,0.4060970842838287,34.12363052368164,0.6614617109298706,0.1723563522100448,3.095115423202514,0.066120259463787,1.7734923362731934,1.0234673023223877,0.8873465061187744,29.490129470825195,0.5945374965667725,2.2093873023986816
14,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.770129382610321,0.6637200713157654,0.526692271232605,0.8198177218437195,1.9878350496292112,1.0833756923675537,2.054424524307251,0.6379982233047485,0.9331563711166382,0.0665466785430908,0.7204410433769226,0.5832571387290955,0.4099916219711303,20.529233932495117,1.3693079948425293
15,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.037176251411438,3.5215601921081543,0.3296765685081482,1.1477665901184082,0.067936934530735,1.3030017614364624,0.8399916887283325,3.1313538551330566,0.8576152920722961,3.29197096824646,4.423747539520264,0.9265859723091124,0.6602640151977539,0.4127780795097351,1.1928642988204956
16,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.9436465501785278,2.1514601707458496,0.2318280339241027,0.0895906090736389,0.8366660475730896,1.509027123451233,1.244828701019287,1.1510822772979736,2.2482759952545166,0.8783031105995178,0.916308581829071,0.9709845185279846,0.769355297088623,1.129928708076477,0.1900254040956497
17,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5463626384735107,1.5804263353347778,70.88491821289062,0.5811558961868286,1.0546308755874634,0.4520689249038696,0.917555809020996,0.3374578952789306,0.8120028376579285,0.0528410114347934,1.0488590002059937,0.3501468598842621,0.5115693807601929,0.273604542016983,0.3072654604911804
18,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4236071109771728,0.4424943625926971,1.692234992980957,0.1269563436508178,0.4047198295593261,0.0411948412656784,0.3948999047279358,6.922698974609375,2.146186113357544,0.2284305691719055,0.2693100273609161,0.1941766589879989,1.3528273105621338,0.58609938621521,7.371872425079346
19,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.356008231639862,0.9362275004386902,0.1069209948182106,0.0448876544833183,0.4979159832000732,0.8193403482437134,0.0361443236470222,0.9577247500419616,0.9919065833091736,0.0108910100534558,0.207410916686058,0.1087870821356773,0.2211947739124298,0.5098965764045715,0.4908217191696167
20,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.3880133926868438,0.3514447510242462,1.076871633529663,0.2036088705062866,0.4245820343494415,0.1841669231653213,0.6073726415634155,1.4800163507461548,0.8852503895759583,0.1432863473892212,0.293066531419754,0.1796852052211761,0.2361554354429245,0.533001184463501,1.1754326820373535
21,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5981031060218811,1.0326098203659058,0.7609372138977051,0.0901280716061592,5.55752420425415,0.0480735450983047,0.0641014799475669,0.4015161693096161,0.2235664129257202,1.833267092704773,3.67522644996643,0.5077807307243347,1.8311808109283447,0.423687607049942,0.6884254813194275
22,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4871137738227844,0.270643800497055,0.640544056892395,0.4426087141036987,0.2913821935653686,0.6545144319534302,0.6227765679359436,0.4905931949615478,0.5889596939086914,0.4605481624603271,0.5956766605377197,0.3682118654251098,0.0791491419076919,0.4836343824863434,4.006514072418213
23,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5842241048812866,0.3122940063476562,0.215084969997406,0.4756933152675628,3.516603469848633,0.1813843548297882,0.7261163592338562,0.163899153470993,2.8600876331329346,0.5668845176696777,0.6015636324882507,0.6634914875030518,11.568252563476562,0.368266761302948,0.8618109822273254
24,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.3908726572990417,0.024428229779005,0.4553985893726349,0.3557264506816864,0.4838925004005432,0.3809798061847687,15.651596069335938,1.008621096611023,0.3633055984973907,0.1796807646751403,0.5118146538734436,0.4007655382156372,0.3774016201496124,0.5756692886352539,0.0622377097606658
25,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8924022316932678,1.1724525690078735,0.914794147014618,0.6721932291984558,0.313361793756485,0.858047604560852,2.112138271331787,0.0292728934437036,0.8700103163719177,2.3002328872680664,4.3693084716796875,0.5489974021911621,0.8097084164619446,42.34967422485352,0.9176688194274902
26,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5333476662635803,1.2097452878952026,0.659824013710022,0.4748607575893402,0.403333306312561,0.591834545135498,0.1534335911273956,0.1565504819154739,0.0860484912991523,0.3042518198490143,3.970562219619751,5.234929084777832,0.4149595201015472,0.7243161797523499,0.6345975399017334
27,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7050812244415283,12.835479736328123,0.4330669939517975,0.3714971840381622,0.1004673168063163,0.6413158178329468,0.994910478591919,1.34998881816864,0.5493282079696655,0.232661172747612,1.638298273086548,0.7688465714454651,1.631560444831848,12.243427276611328,0.5703328847885132
28,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.2480580806732178,115.7558822631836,0.2787166535854339,2.3442962169647217,0.6781566143035889,5.107912540435791,1.69828999042511,2.4214746952056885,0.9089813828468324,6.423988342285156,1.3723055124282837,1.1238107681274414,0.4280607402324676,0.4598605334758758,0.30417400598526
29,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7143492102622986,0.0550449192523956,0.7020077109336853,20.632070541381836,0.5675504803657532,0.0368551462888717,0.3098222315311432,1.0225257873535156,1.158149480819702,0.4449562430381775,1.3044742345809937,0.975853443145752,0.5710394382476807,0.7266907095909119,1.6938635110855105
30,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.5759750008583069,0.1397372484207153,2.326697826385498,0.4137121140956878,0.0770020335912704,0.5673253536224365,1.8796378374099731,0.8912733197212219,1.2978256940841677,0.2452661395072937,0.5846246480941772,0.5927135348320007,0.5474820137023926,0.6462783813476562,0.5270878076553345
31,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4695485234260559,0.2305762469768524,0.1064954847097396,0.0635153204202652,0.0361995138227939,0.4714784622192383,0.6634370684623718,0.2333565056324005,0.5601646304130554,0.4676186144351959,52.55260467529297,0.6837456226348877,0.0469522438943386,1.2195870876312256,0.7566432356834412
32,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.6411970853805542,5.290036201477051,0.7020431160926819,0.7123765349388123,0.4963266253471374,1.0625460147857666,0.5803510546684265,0.0451936274766922,2.015167713165283,1.1671098470687866,0.1518520265817642,0.8851993680000305,0.1733664870262146,0.1534594297409057,0.0851407349109649
33,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.2994471788406372,0.5147327184677124,0.0947379618883133,0.2696848809719085,0.3657654225826263,0.306812971830368,0.5769858360290527,0.1259187012910843,0.2555217444896698,0.7843139171600342,0.5590997338294983,0.1285818517208099,0.292081356048584,0.0617753341794014,0.3876359760761261
34,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4660681188106537,2.4364280700683594,0.9548760056495668,0.1784024536609649,0.3017314076423645,0.06423881649971,0.5706615447998047,0.1949101537466049,0.7655689716339111,3.981862545013428,0.0145466495305299,1.2407180070877075,0.3614746928215027,0.0425618849694728,0.8339401483535767
35,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7087421417236328,1.3309646844863892,0.4945079088211059,0.7625772356987,0.7111512422561646,0.8731182217597961,0.2543239295482635,0.6026251912117004,0.1835239380598068,2.07583999633789,0.7063331007957458,0.5214419364929199,0.9410324096679688,0.5193882584571838,1.9308933019638064
36,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8951067924499512,1.90543532371521,4.128274917602539,0.4754311144351959,0.2418573796749115,1.348003387451172,0.1499360054731369,4.754909992218018,0.3194368779659271,0.0865553170442581,0.165095254778862,1.2246707677841189,0.5655428171157837,1.630304932594299,4.0339226722717285
37,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.6778150796890259,0.4890074133872986,0.4700833261013031,0.4068964421749115,0.5225518345832825,0.6633762121200562,0.6922539472579956,1.4925607442855835,6.4062981605529785,0.70489901304245,0.322898805141449,0.8650377988815308,0.4674698710441589,0.8697232604026794,1.2551125288009644
38,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.2393518090248108,0.736522912979126,0.9101508259773254,0.1219827905297279,0.1939460039138794,28.035993576049805,0.0856645181775093,1.6463232040405271,1.2149914503097534,0.1256379634141922,0.1027859821915626,0.2652382850646972,0.2134653478860855,0.0971812531352043,0.6389197111129761
39,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8181414604187012,5.981685638427734,1.1010994911193848,0.0979182049632072,0.2009594440460205,0.2384140193462371,1.880062699317932,23.037677764892575,0.3969734907150268,0.598508894443512,1.0787041187286377,1.165712833404541,0.0501742511987686,0.0475678965449333,1.0377740859985352
40,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7829121351242065,2.1714768409729004,1.3490954637527466,0.7380948066711426,0.7864548563957214,0.4766889214515686,0.8755591511726379,0.9746344089508056,1.9173537492752075,1.2234593629837036,0.6919086575508118,0.6027132272720337,0.5865594744682312,0.2884713113307953,0.7793694734573364
41,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7806638479232788,0.7382596731185913,0.6542500853538513,0.8673650026321411,0.2083402723073959,0.8230680823326111,0.5635780096054077,1.3535059690475464,6.095863342285156,0.2082267999649047,1.295252799987793,0.2454328685998916,0.5682334899902344,1.028280258178711,1.012287139892578
42,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.6807515621185303,0.7368337512016296,0.2939246296882629,0.8096804618835449,0.0486436933279037,4.261144161224365,0.6246693730354309,0.9917070865631104,2.0395572185516357,1.840928554534912,0.2588129341602325,0.8073182702064514,0.3795180022716522,0.2935639917850494,0.2222292870283126
43,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.3615399003028869,0.2171972543001175,1.6204882860183716,0.2381778061389923,0.120735689997673,0.4191576540470123,1.5281919240951538,1.5224710702896118,0.1339683830738067,0.4178976118564605,0.5198623538017273,0.3051821589469909,0.2099444717168808,0.2888473570346832,0.7104692459106445
44,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.2597493231296539,0.4869387447834015,0.4580285847187042,0.0523342974483966,0.2719197273254394,0.422053724527359,0.3636114299297333,0.2139358073472976,0.6997072100639343,0.102372832596302,0.1771245002746582,0.218262031674385,0.016231020912528,0.2800211906433105,0.2475789338350296
45,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.4147952198982239,0.5214440226554871,1.495477557182312,0.0257494617253541,2.3272109031677246,0.1154943481087684,0.4705736935138702,1.5109505653381348,2.456918478012085,0.2225651443004608,0.1051313281059265,0.2901493012905121,0.3590167164802551,1.227892518043518,0.3546295762062073
46,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7205950617790222,1.2073014974594116,0.1943993866443634,0.4404492676258087,3.416607618331909,0.8186441659927368,0.6979501843452454,0.9530659317970276,1.7532241344451904,0.0708241462707519,0.3220930695533752,0.7432399392127991,0.2964686453342438,0.9936019778251648,0.0210361052304506
47,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.7882022857666016,0.9561061263084412,0.4099951982498169,3.5557775497436523,0.8934358358383179,0.4120282232761383,0.0227196868509054,2.4385244846343994,1.1241525411605835,1.0676966905593872,0.1585131883621215,0.8727570176124573,0.2938170135021209,0.7036476135253906,0.5797306299209595
48,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.6439036130905151,0.177964448928833,0.18793585896492,0.3505212068557739,15.725046157836914,0.7034813761711121,0.9243186116218568,0.4589955508708954,17.474079132080078,0.1183606311678886,1.691720485687256,0.1407253593206405,0.6644740104675293,0.6233332753181458,0.7483106851577759
49,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,1.0476036071777344,0.8797630071640015,1.2649903297424316,1.090601921081543,1.1322543621063232,0.474288672208786,0.3845568299293518,1.2925249338150024,0.6465286016464233,1.004605412483215,1.6809369325637815,1.471147894859314,0.3299676477909088,0.33168426156044,7.607207298278809
50,gemma,100,96,3072,S1,e5_base,chain_ERCcv_lr,full,0.8485655784606934,0.0151641080155968,3.3640151023864746,0.8566577434539795,2.171203136444092,0.2384401261806488,0.960835576057434,0.3429195284843445,10.344359397888184,0.8404734134674072,3.0640933513641357,1.679759860038757,0.4052962064743042,0.1730971187353134,0.4709045588970184
