fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,1.085330605506897,0.21776098012924194,0.5848177671432495,485.4371643066406,0.9805402159690857,0.9043652415275574,0.014570373110473156,0.07492736726999283,2.6604461669921875,1.0747441053390503,1.8802051544189453,4.263505458831787,5.007529258728027,1.0959171056747437,1.962313175201416
1,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.7036802768707275,0.6498866081237793,2.6874520778656006,0.916360080242157,1.213002324104309,0.2617693543434143,0.961087703704834,0.5732381939888,0.8692386746406555,0.757473886013031,0.3755356967449188,3.703519582748413,0.5884014368057251,0.3605449199676513,0.0826208740472793
2,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.8071795105934143,0.2224091589450836,6.4780354499816895,1.4073255062103271,0.7570658326148987,0.1732867509126663,556.70263671875,5.596747875213623,1.1593012809753418,0.2710859179496765,0.8572931885719299,2.241734266281128,0.1170078292489051,0.4943545460700989,0.1095847189426422
3,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6984189748764038,0.48807790875434875,0.49085870385169983,9.195013999938965,0.4516119360923767,0.6807133555412292,0.34119200706481934,0.392617404460907,0.24108336865901947,1.4754999876022339,1.015641689300537,1.2423583269119263,0.7161246538162231,0.8323050737380981,0.8913882970809937
4,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.45424559712409973,0.4230102002620697,0.4944142997264862,0.05669868364930153,0.48939236998558044,21.08370018005371,0.48548099398612976,0.707939624786377,0.08577538281679153,0.7441368699073792,1.5534864664077759,0.20465196669101715,0.4097406268119812,0.11497679352760315,0.1908833533525467
5,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.4598227441310882,0.3081683218479156,0.9044145345687866,0.4025561213493347,0.626909077167511,0.625675618648529,2.768364667892456,0.5017877817153931,0.0860906168818473,0.4178577065467834,2.9125356674194336,0.0476530939340591,0.0564054287970066,0.1738559752702713,0.9573522806167604
6,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.7220472097396851,0.8574829697608948,0.3743119239807129,1.0709820985794067,1.0863807201385498,2.5103228092193604,1.1758631467819214,0.06022053584456444,7.321253776550293,0.05350485071539879,0.39140164852142334,0.5866113901138306,0.014695690013468266,0.22103604674339294,2.3445017337799072
7,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,1.0931565761566162,1.187407374382019,0.9638335704803468,18.070972442626953,16.33391761779785,21.25006103515625,1.010876178741455,1.0084909200668335,1.175437092781067,0.4347036778926849,0.9979292154312134,11.53647804260254,0.9163835644721984,13.904139518737791,0.2071849405765533
8,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6788303852081299,0.7737419605255127,0.5839188098907471,0.2607523500919342,0.3773956596851349,1.5283801555633545,4.116873264312744,1.1619155406951904,1.1585652828216553,1.468733549118042,0.0020260638557374,0.0198290385305881,0.4865287244319916,1.0578113794326782,0.4977232217788696
9,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.8453220725059509,1.0459632873535156,0.2674662172794342,2.652567148208618,1.193617820739746,0.04088374972343445,9.55637264251709,0.5037746429443359,0.39213982224464417,0.860238254070282,0.11646051704883575,2.90620756149292,0.8304058909416199,0.2130701094865799,1.6138231754302979
10,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.8391591310501099,7.81035041809082,0.23670046031475067,0.6535593271255493,0.8488414883613586,3.1380457878112793,0.7360904812812805,0.28844115138053894,1.0279546976089478,0.012229841202497482,1.6236064434051514,0.1319279670715332,4.802778244018555,0.8294768333435059,0.9066412448883057
11,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.9313313364982604,0.218509554862976,1.3421772718429563,1.2462568283081057,2.1302506923675537,0.9349581003189088,0.9030218720436096,0.9277045726776124,0.1435692012310028,2.514309883117676,1.236900806427002,0.3703353106975555,0.136547714471817,0.5266176462173462,4.0590434074401855
12,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,1.2551205158233645,3.755401849746704,0.991698443889618,22.244760513305664,0.7807721495628357,1.6204699277877808,4.241614818572998,2.2076940536499023,60.02219009399414,0.5043131113052368,0.1804565042257309,1.0841424465179443,0.9768840074539183,0.3339976370334625,1.4260987043380735
13,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.7627869844436646,0.0620219185948371,0.9090858101844788,0.0247082002460956,41.180274963378906,0.6164882183074951,0.2523645460605621,2.788464307785034,0.0870184004306793,1.8368852138519287,1.0738672018051147,1.324520468711853,37.313011169433594,0.5958860516548157,0.4110369980335235
14,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6785421967506409,0.7036988735198975,0.5292303562164307,0.8905318975448608,2.8206663131713867,0.6339430809020996,2.24359130859375,0.6187229156494141,1.146264910697937,0.06174125522375107,0.9326980113983154,0.6533855199813843,0.3920014202594757,19.84276008605957,0.4743582308292389
15,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.9725468158721924,3.333108425140381,0.18688973784446716,0.992247462272644,0.3364119827747345,1.45676589012146,0.6372456550598145,3.8179993629455566,0.8574802875518799,3.210805892944336,5.481375694274902,0.952846109867096,0.7770248055458069,0.4517982006072998,1.1949725151062012
16,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,1.1501126289367676,2.3062477111816406,0.4380554258823395,0.7554323673248291,1.5036860704421997,1.4789079427719116,1.258449912071228,0.9560726881027222,1.9072165489196775,0.845745861530304,1.2883732318878174,1.041775465011597,0.774446964263916,2.33993148803711,0.6220822930335999
17,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6997982859611511,1.3149999380111694,66.28028869628906,0.5875769257545471,0.9276166558265686,0.44751307368278503,0.8573418259620667,0.3212680518627167,0.813207745552063,0.14018291234970093,0.8120196461677551,0.2690596580505371,0.9599296450614929,0.3467017114162445,0.16688178479671478
18,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.5210853815078735,0.5101021528244019,1.6173624992370605,0.21449027955532074,0.06578515470027924,0.020102253183722496,0.55278080701828,7.806513786315918,2.2564823627471924,0.468637615442276,0.19885028898715973,0.16952721774578094,1.402489423751831,0.53206866979599,7.453426361083984
19,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.2940326929092407,0.8241933584213257,0.07658015191555023,0.018328482285141945,0.44357478618621826,0.8276090025901794,0.017360977828502655,0.7560872435569763,0.7455677390098572,0.009929015301167965,0.18908417224884033,0.10399602353572845,0.17592008411884308,0.4399755895137787,0.3989811837673187
20,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.34797734022140503,0.341229110956192,0.995334804058075,0.21655601263046265,0.35472559928894043,0.2534661293029785,0.5751668214797974,1.3577898740768433,0.8700335621833801,0.10239294171333313,0.09762079268693924,0.09920697659254074,0.3356742858886719,0.48532965779304504,1.1880924701690674
21,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.712666392326355,1.052985429763794,0.7206316590309143,0.0815037190914154,4.547072410583496,0.1398186981678009,0.2744872570037842,0.4348210096359253,1.446853518486023,1.7091704607009888,3.1040823459625244,0.5548030138015747,2.0644633769989014,0.5074942708015442,0.7047011852264404
22,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.4271061420440674,0.2658260762691498,0.7966052889823914,0.2889839708805084,0.35641568899154663,0.6296786665916443,0.5632971525192261,0.20897462964057922,0.8553075194358826,0.40649548172950745,0.509406328201294,0.40410152077674866,0.16351695358753204,0.44771677255630493,3.042839288711548
23,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.5161997079849243,0.19820536673069,0.06576589494943619,0.5236802697181702,5.316596031188965,0.2136763334274292,0.5087191462516785,0.055861521512269974,2.942551612854004,0.435957670211792,0.38408488035202026,0.6854681372642517,11.054824829101562,0.5574917197227478,0.5683492422103882
24,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.46600478887557983,0.10915277898311615,0.4858950674533844,0.47578585147857666,0.4473634362220764,0.36869385838508606,15.902715682983398,1.4487965106964111,0.4362231492996216,0.5856871008872986,0.2946838438510895,0.4562237560749054,0.5625277161598206,0.5369194746017456,0.03288879245519638
25,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.8722155094146729,1.1580735445022583,0.7831891179084778,0.674146294593811,0.1167461425065994,0.8610861897468567,2.3317716121673584,0.1234526857733726,0.4573616087436676,3.972778797149658,3.3193724155426025,0.5299685597419739,0.883344829082489,47.06227493286133,0.940548539161682
26,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.33141613006591797,1.0439330339431763,0.14259304106235504,0.29763224720954895,0.3652000427246094,0.4548521935939789,0.19545675814151764,0.05570932477712631,0.09369542449712753,0.03178480640053749,4.484977722167969,4.541604042053223,0.6881535649299622,0.6656497716903687,0.018744809553027153
27,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6328816413879395,11.884697914123535,0.3038982152938843,0.3461660742759704,0.1230173632502555,0.622565746307373,0.9468053579330444,1.258920192718506,0.5942309498786926,0.22002474963665,1.6930885314941406,0.6431974768638611,1.6645296812057495,13.391478538513184,0.495919793844223
28,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,1.3825242519378662,119.78359985351562,0.5121298432350159,2.244572162628174,0.6712102293968201,7.0958476066589355,1.6568996906280518,2.320481777191162,1.014235019683838,6.30187463760376,1.501574993133545,1.2634735107421875,0.3843045830726623,0.252958595752716,0.2443403452634811
29,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.8194814920425415,0.1706575602293014,0.9214067459106444,24.70193672180176,0.7540148496627808,0.171760156750679,0.3037554621696472,2.310661554336548,1.209541916847229,0.624302089214325,2.7977774143218994,0.884948194026947,0.7368393540382385,0.435161143541336,1.4797786474227903
30,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.6043883562088013,0.1553758978843689,2.2674388885498047,0.39375847578048706,0.09963535517454147,0.5415602326393127,1.9959346055984497,0.8398135900497437,1.1480072736740112,0.24112153053283691,0.5470128655433655,0.6980900764465332,0.8052002191543579,0.6617637872695923,0.25284722447395325
31,gemma,20,19,3072,S1,e5_base,chain_ERCcv_lr,baseline,0.2543506920337677,0.2926883399486542,0.0672236979007721,0.0549496561288833,0.0075632776133716,0.1212121695280075,0.8971017003059387,0.2160130590200424,0.0034024906344711,0.4684576392173767,55.769405364990234,0.7425628304481506,0.1562639772891998,1.054931640625,0.7042036652565002
