fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,1.2486441135406494,0.24315835535526276,0.9850950241088867,410.76629638671875,0.47034627199172974,1.674526333808899,1.3792906999588013,0.8221809267997742,1.6941378116607666,1.1179975271224976,6.735770225524902,0.019216900691390038,2.3329765796661377,0.2413378208875656,1.8632686138153076
1,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.8326820135116577,0.8147158026695251,2.3824143409729004,0.8379120230674744,1.2046974897384644,0.7856013178825378,1.0556859970092771,1.08612859249115,1.6800109148025513,0.6822080612182617,0.5755792856216431,1.3564406633377075,0.8274520635604858,0.7201139330863953,0.7862893342971802
2,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.9078360795974731,0.6853070855140686,5.484463691711426,0.9835277199745178,0.8581068515777588,0.0214714091271162,174.44769287109375,4.434728145599365,0.697987973690033,0.9575653672218324,1.3174291849136353,2.1911957263946533,0.4279651939868927,0.4476730227470398,0.4257354438304901
3,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.8426443338394165,0.9374659657478333,1.0327433347702026,18.521394729614258,0.8833392262458801,0.10714864730834961,0.6883584260940552,0.4044569730758667,0.6114249229431152,1.1777443885803223,0.5260684490203857,1.0299708843231201,0.6929107904434204,0.8019493818283081,0.9952961802482605
4,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.8205015659332275,0.6922162175178528,0.8515070080757141,0.5312344431877136,0.8588714003562927,14.692028999328613,2.3674259185791016,0.7649890780448914,0.9190927743911743,0.7837993502616882,1.4892878532409668,0.6943162083625793,0.789496123790741,2.107722520828247,0.3705431818962097
5,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.6282885074615479,0.9956567883491516,1.0734204053878784,4.614611625671387,1.0023572444915771,0.2128253281116485,5.071216583251953,0.3201360702514648,0.5622645616531372,0.7380334734916687,0.6943123936653137,0.2532597780227661,0.3039878308773041,0.3799782693386078,0.5015903115272522
6,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.9548604488372803,1.590055227279663,0.7537236213684082,1.0305187702178955,1.8944462537765503,2.3467559814453125,1.4728566408157349,0.32419395446777344,4.902342796325684,0.879202127456665,0.707679271697998,0.4955809712409973,0.5363736152648926,0.6908177733421326,1.4494068622589111
7,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,1.0584661960601809,1.1447283029556274,0.957615852355957,19.20544052124023,1.4024649858474731,14.44228458404541,0.5773521065711975,0.8145415782928467,0.972204089164734,0.968455731868744,0.9116446375846864,7.285176753997803,0.8415741324424744,9.06832218170166,1.9211108684539795
8,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,1.010916829109192,1.1224148273468018,1.0085394382476809,0.834570050239563,0.7419704794883728,1.187771916389465,2.039372205734253,1.2858964204788208,1.0132942199707031,1.0911000967025757,0.7325804233551025,0.8836451172828674,1.4358508586883545,0.3433010876178741,0.6934713125228882
9,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.8883668780326843,1.0859930515289307,0.6962788105010986,2.8568460941314697,0.9872146844863892,0.697564423084259,14.489253044128418,0.4944266676902771,0.08081178367137909,1.235541582107544,0.21658587455749512,1.5897916555404663,0.7895190715789795,0.3921785056591034,1.1482024192810059
10,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,1.2433600425720215,0.14732134342193604,0.3837927579879761,1.4416979551315308,0.8291220664978027,2.184413433074951,1.356911301612854,1.2479586601257324,0.9771032929420471,0.43142014741897583,1.3794231414794922,1.2719619274139404,2.234506130218506,1.238761305809021,0.06805509328842163
11,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,0.7169506549835205,0.5979326367378235,5.726058006286621,0.646101176738739,1.8715107440948489,0.3121969401836395,0.1856247037649154,0.6917154788970947,0.8205167055130005,2.0765020847320557,1.2662732601165771,0.8279517889022827,0.3418982326984405,0.7421858906745911,0.4068658649921417
12,gemma,200,192,3072,S1,e5_base,chain_ERCcv_rf,baseline,1.2671425342559814,1.192271709442139,1.1963436603546145,11.67177963256836,1.6596276760101318,1.2720590829849243,1.959007978439331,1.3808116912841797,30.290040969848633,1.2622259855270386,0.86881023645401,0.9415343403816224,0.630582869052887,0.9914582371711732,1.759238839149475
