fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.8290830805439684,0.7257487784238933,0.6131671170637222,118.1503824465615,0.11544343112822109,1.441976684332585,0.2596633224088005,0.8866201133320964,1.7791457940492295,0.94204063065211,4.682976875284321,0.18579324704244465,5.235371780646962,0.7715460477558403,0.6084666744952689
1,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.9919529290560763,0.9973364227817764,1.0781218450893275,1.0232084825020786,0.5595892510092434,0.7540143748445246,1.0511521634612129,0.9865694353303764,0.5506431321760963,1.2865661370109038,0.7063217009941964,2.2115488062396427,1.2247150493217958,0.8092768256820705,0.5952293663711942
2,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.8740174771687278,0.6974874697423156,3.393089655196404,1.0486836375077355,0.8590591643975253,0.1338658206199601,442.39841877466046,4.772188216826739,1.1490707818555794,0.7819135944834918,0.8889757899399303,2.0957776572153257,0.3379720385999626,0.1524648213791124,0.6160479165234379
3,gemma,100,96,3072,S1,e5_base,global_rf,baseline,1.0363653105398076,1.0017232174646489,1.2286517704828595,6.670807149754156,1.072604713538274,1.7887620175249754,1.0664269904784383,0.9544227072219714,1.1279934152878748,1.006303630601177,0.657419659164313,0.8828430403383553,0.8058600806043604,1.092808516182868,0.8787177855257513
4,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.8264005151966776,0.7323421672112252,0.8835828768168297,0.4920041806070261,0.8035009488635548,4.18227692254481,1.910638559490679,0.6982998158340368,0.19732132931778357,0.9091156898318393,1.4616522712229039,0.568587371776031,0.6161524838956112,0.8493000815298004,0.8798494247755143
5,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.7070557962712285,0.7998881320384974,0.6680640287825071,2.3361024795838183,0.602238513145753,0.6457075810364601,2.2419489393085477,0.5241478526836577,1.15045865970613,0.7014153795241704,0.7126962130182867,0.4249409720872209,1.361535340296928,0.5862181323436864,1.0997891544022325
6,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.9023593396661242,0.87995867308391,0.8165314329312637,0.8293598782083365,1.2871098225166473,0.5328345521598303,0.6003667293277992,0.9644661544347501,3.3853141549392243,0.9861359946229141,0.9247600062483387,0.1953395809738015,0.8255475681215836,1.2178600908224158,1.9314720331745008
7,gemma,100,96,3072,S1,e5_base,global_rf,baseline,1.0160461080058587,1.023543721317542,1.0058064698825375,1.593867151532513,0.49048300408674,4.400619976288886,1.0085484946941754,0.9368866532461352,1.051378813419659,0.6399880993255231,1.0820621916137398,2.1081018016087154,0.9735021665459186,1.7112532797610869,0.3389489605147626
8,gemma,100,96,3072,S1,e5_base,global_rf,baseline,1.1260490899339146,1.2429457659925751,1.0885416072069931,0.8688637965260917,1.6670904148835357,1.1459414610704322,2.9511213913983214,1.580475600308064,1.0527594826230382,1.1993775710665484,0.8377167807608329,0.8869304298097938,1.5680214147771805,0.8838408916720009,1.1061567187973969
9,gemma,100,96,3072,S1,e5_base,global_rf,baseline,0.9582512425907146,1.0769557931267215,0.8391852008971901,1.4167111816207902,1.0055457395784155,0.9109567456030135,2.5393613426386703,0.8881644683027914,1.2298266550619867,1.0188414849295415,0.6386325047512931,1.9400163215673933,0.9006876312371739,0.7587759532485373,0.8412345566531193
