fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,20,19,3072,S1,e5_base,global_rf,full,1.5434482946383001,0.18280142530575164,1.259925088505881,716.7382109101383,2.389423403674533,1.7906658280034602,0.5126981402522917,1.5985029028305748,0.6050325993231956,1.2217257521022855,9.29862514222456,1.4883936864460252,4.227301953831597,0.18986174937642178,1.7390025835176193
1,gemma,20,19,3072,S1,e5_base,global_rf,full,0.8584671563674577,1.0450879197096472,0.039479697906306406,0.858543840375423,1.0436369591613557,0.6998328232150397,0.8756023455662825,0.8450944475817019,1.0882604222540295,1.1678381007630527,1.024313236962133,0.5854045511541636,0.5815567852198825,0.7892782003225588,0.8583904723594924
2,gemma,20,19,3072,S1,e5_base,global_rf,full,0.8513666575047727,0.816389659177579,2.0740369891075354,1.3253514624873763,0.694804000902822,0.5319866908431818,450.26684641905484,4.156555907013089,0.7499099583105314,0.8863436558319664,0.892380193507105,2.687305548126103,0.3295551857155039,0.47010529644154286,0.4709998836257257
3,gemma,20,19,3072,S1,e5_base,global_rf,full,0.8874777674434804,0.7348295021708144,0.9811889200605427,1.942676746181746,0.8274129729173401,0.7427976620974135,0.8188374244341012,1.1142067365628385,0.8731016547971417,0.6397504692818181,0.3334563394987011,1.0160501271450482,1.0848195213578624,0.9018538800898191,0.9557851363323507
4,gemma,20,19,3072,S1,e5_base,global_rf,full,0.784760253414452,0.5038063033691008,0.7370212879980541,1.1195236378829243,0.7828826993325761,10.218104606699498,1.6009910937398555,0.7866378074963278,0.19775848042847824,0.7282402729929716,1.6648813097131123,0.8000217965729057,0.40178338268333424,0.044367013327880706,0.96380676866469
5,gemma,20,19,3072,S1,e5_base,global_rf,full,0.9991566059571002,0.7464351682822177,1.0419477311754022,0.7147598395622491,1.0100678060759363,1.40227051552247,2.0873677032573283,1.0510096142304812,0.9517557405375816,0.8768977799113529,0.5906662402276274,0.7689843974743111,0.9882454058382641,1.5927672979225322,1.020224366151126
6,gemma,20,19,3072,S1,e5_base,global_rf,full,0.9061521591377112,2.4919847876954213,0.8808468219161252,0.9419631219633557,1.5294076417963838,0.448935052903988,1.050491678500564,0.9314574963592972,4.762013245435802,0.6950391887355921,0.8071856474702206,0.14831326419303925,0.8262866769828248,0.6838308294348036,2.695464997403953
7,gemma,20,19,3072,S1,e5_base,global_rf,full,1.0226895390323145,0.8993257733264641,0.9453033619370326,6.126516161226155,3.0654335913573614,4.424595851880401,1.0382246997293085,1.0219438306930657,1.0475926553269397,0.5368026594337086,1.0234352473715636,1.1933089536968084,1.0191958802931482,0.07973321043171658,0.8804774948971839
8,gemma,20,19,3072,S1,e5_base,global_rf,full,1.2129323227467337,1.6255297355638252,0.9617469976356621,0.6043429808621925,2.2761106525104084,1.340596482472915,1.1570261494285243,1.5924347194799078,1.0328850802423841,1.2688384960649433,0.3255957936959819,1.0009213993352906,1.4987468501436008,0.8038112858544861,1.3454622359917914
9,gemma,20,19,3072,S1,e5_base,global_rf,full,1.0025320697612803,1.1929505876944133,0.7844294108008658,2.284740163781723,1.1539626799911302,0.6585827678962146,18.618858381112396,0.6892874356698192,1.3858063743821374,1.0860302921080451,0.5224674009139361,3.584912772424009,0.8416142874338607,0.7062913272070549,0.9190338474145155
10,gemma,20,19,3072,S1,e5_base,global_rf,full,1.1316514917334421,12.388545521082197,1.188826236404559,1.4753382732183293,0.12379264703489729,1.4363760356308373,0.9115082037368669,2.057989296095271,1.0744767470623255,0.6248699850916525,1.7677456749284146,0.9063596199472316,3.381639402791475,0.6147487637682565,0.7687265610474772
11,gemma,20,19,3072,S1,e5_base,global_rf,full,0.7882438094147604,0.191836842398076,3.749963420253574,0.7560421654162893,1.5707695363836405,0.005354298966976361,0.6080171608296434,0.19647566707148578,0.8204454534132313,1.8441026374825311,0.9785826116271436,0.9375817710615458,0.4245539928992089,0.417912356574084,2.0043707859668656
