fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,1.155247688293457,0.35280993580818176,0.403245747089386,458.4983825683594,0.7010601162910461,1.3092929124832153,0.35036593675613403,0.8442346453666687,3.0758960247039795,1.0012024641036987,1.6117442846298218,4.508846759796143,1.5359892845153809,0.7426185607910156,2.1424756050109863
1,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.6498441696166992,0.7109916806221008,3.1023523807525635,0.7842237949371338,0.5886966586112976,0.1434826701879501,0.7800753712654114,0.4943632781505584,0.7238630056381226,0.9416549801826476,0.107209712266922,3.366267681121826,0.3897755146026611,0.3950059711933136,0.1203184127807617
2,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.729706883430481,0.4559222161769867,6.993564605712891,1.2267040014266968,0.7288349270820618,0.0974762290716171,479.7808837890625,5.04622745513916,0.9829906225204468,0.1062325462698936,0.7305788397789001,1.8719228506088257,0.1468272656202316,0.414698451757431,0.3451801538467407
3,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.5067577362060547,0.3303998112678528,0.5169937610626221,14.43535327911377,0.4965217411518097,0.2797767221927643,0.4581489562988281,0.14038337767124176,0.3298358619213104,2.3211514949798584,0.46318602561950684,1.5797501802444458,0.6985192894935608,0.8565780520439148,0.9035795331001282
4,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.4585907757282257,0.40207961201667786,0.5102630853652954,0.09992329776287079,0.3909865617752075,18.1541805267334,0.927213191986084,0.644202470779419,0.10514464974403381,0.7538151741027832,1.1400864124298096,0.0025782862212508917,0.7351950407028198,0.10319016128778458,0.406918466091156
5,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.53799968957901,0.4095455110073089,0.9456788301467896,0.8208584785461426,0.3911070823669433,0.464958906173706,1.7595887184143066,0.7417565584182739,0.5101734399795532,0.5658259391784668,2.4124114513397217,0.0124684851616621,0.1090703457593917,0.1524243056774139,0.6705814599990845
6,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.5585201978683472,1.0360541343688965,0.5189855694770813,0.8161972761154175,1.0507599115371704,3.123749017715454,1.352712631225586,0.0958322212100029,0.5403639674186707,0.3885842561721802,0.4606326222419739,0.5766764879226685,0.14272668957710266,0.20367906987667084,1.9138184785842896
7,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,1.1267861127853394,0.5479313135147095,0.823867917060852,50.885990142822266,2.1339786052703857,15.175411224365234,1.2729642391204834,0.9448469281196594,1.4968537092208862,0.5983065366744995,0.8878377079963684,24.94834899902344,0.98060804605484,9.163556098937988,0.2289842814207077
8,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.7561131119728088,0.8067865371704102,0.5599330067634583,0.118897408246994,0.7054396867752075,1.3526960611343384,6.271852016448975,1.094969391822815,0.9903345704078674,1.4357576370239258,0.0100883590057492,0.1181105747818946,1.0565296411514282,0.5861673951148987,0.5330734252929688
9,gemma,20,19,3072,S1,e5_base,local_lasso,baseline,0.7941402196884155,1.0519407987594604,0.5261015295982361,2.99430251121521,1.0745726823806763,0.20810504257678986,9.01667594909668,0.5304930210113525,0.594213604927063,0.8104382753372192,0.02971580997109413,3.855510711669922,0.7778421640396118,0.21231871843338013,1.353163242340088
