fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,400,384,3072,S1,e5_base,local_rf,full,1.2862163049110054,0.6953220763798175,0.840662579490262,3.792577170723789,0.6810819924019537,0.359376967713004,0.5036373844627716,2.3982411204282745,1.4704822470987797,1.1019503627232312,1.7655315398934759,4.36023675176403,1.6377195596759484,1.0501768138144711,1.62116357175644
1,gemma,400,384,3072,S1,e5_base,local_rf,full,0.8075834950623482,0.6892436770160304,0.2421288830582128,1.2219427471270203,0.9331699840009989,0.5645425814365255,0.8792943821233543,0.976518714873914,0.9898365360297231,1.772268314373078,0.42551596567554256,3.10007220907836,0.3458522054087179,0.7358726080013419,0.2671706097698111
2,gemma,400,384,3072,S1,e5_base,local_rf,full,1.11274921583538,1.3614121584540642,6.780843574710665,1.319093365066735,0.7376528404888348,0.28674938004530126,245.08596944640817,3.5558238019956474,0.921716108736523,0.6517095710966218,1.303782322934237,2.9123262000580143,0.6871225698102206,0.15315709587152893,0.1056236124304955
3,gemma,400,384,3072,S1,e5_base,local_rf,full,0.7793716337145562,0.7088303890030835,0.6622945694586686,6.050857523939288,0.7886945040805973,0.3823564169195463,0.5546492001029049,0.8509661699003034,0.770048763348515,1.2000917509242437,0.3107567822584641,1.31655271008739,0.4671340692733893,0.8899013524125962,1.2916327575924196
4,gemma,400,384,3072,S1,e5_base,local_rf,full,0.7679441658787691,0.5293339855721748,0.7711113419120976,1.3706348301065583,0.5989177238166851,11.76068250476039,1.8917188986132256,0.8380593874905478,0.4903804566723003,0.7647769898454405,1.0877855308613633,0.6825591059083402,0.639398444144556,1.7595682791063596,0.6886044341149284
5,gemma,400,384,3072,S1,e5_base,local_rf,full,0.6992575624190407,0.7464064684352398,0.7813641992158179,0.4151957019529828,0.7401579305066551,0.42675840771908286,0.9130476907732117,0.603861477386001,0.5104718400638879,0.7212027667400421,0.7735662984670809,0.6773123580980392,1.195022973392416,0.0957411193254957,0.6358664374176427
6,gemma,400,384,3072,S1,e5_base,local_rf,full,1.1416235277329814,1.421833444801965,0.7196695657191593,1.6234796852565985,1.6004788690304672,2.22217723965616,1.430895004055977,0.371766360901052,6.690237952509754,0.8614136106639978,0.615699919194844,2.045131127102723,0.4147990870669284,0.19454210315438256,0.31886121604031953
7,gemma,400,384,3072,S1,e5_base,local_rf,full,1.0585290627677328,0.9551110428875452,0.976269979746061,44.41469126453415,3.519035272296326,13.079472502321442,1.3186857331188695,1.0023297876318429,1.114728337903623,0.9089904477402432,0.8352842537938763,3.362028477415668,0.9490205940374139,4.07857953004389,0.03518873368366598
8,gemma,400,384,3072,S1,e5_base,local_rf,full,1.1265086377723814,1.729029149180961,0.8895943127029765,0.4503064582217492,1.2837202735473079,1.3717775673291253,1.8211470712522748,1.5178323539588399,0.969297001997455,1.513744772647187,0.1077920002454285,0.9491057854650249,1.6618062505821511,0.5226201093865984,0.7417852363209788
9,gemma,400,384,3072,S1,e5_base,local_rf,full,1.1033440013133706,1.0338587603740228,1.1792856414814965,3.502684684724578,1.639406001142351,0.12913082475343748,8.625503826831464,0.8368804063104105,0.48001540105305174,1.1728292422527182,0.09820907104131223,1.9168031047357366,0.8781111822869595,0.3717439446617721,1.3502864981784584
10,gemma,400,384,3072,S1,e5_base,local_rf,full,1.2077124173955798,6.020982424958387,0.2910747310471678,1.7721820260278962,1.5761922380360633,2.144576419217523,0.4373612795920599,0.711963835689228,1.1192384145655743,0.08032167457347042,1.7692354910110373,1.0310640446682326,2.4874142925623137,0.9344287270882963,1.2961864202255853
11,gemma,400,384,3072,S1,e5_base,local_rf,full,0.9367970376889114,0.16133846912568467,2.6965884156349413,1.2489542774033555,2.797008174642287,0.17780562476154893,0.9433400217646835,0.2015126605754206,0.9302540536131395,2.7391699791755677,1.1033987180415257,0.8351370645913199,0.6427459210783166,0.8260495026858845,2.890107076683897
12,gemma,400,384,3072,S1,e5_base,local_rf,full,1.4130164982027162,2.9249573926425776,1.1399588306133914,26.597780839271394,1.391609137137417,1.3055867731325368,3.872634549960936,1.8270822437585188,47.81612862883539,0.9469972924268514,1.7567091000545216,0.5413893017468264,0.6147480409516372,0.7588549698910648,1.4344238592680152
13,gemma,400,384,3072,S1,e5_base,local_rf,full,0.8654470252261859,1.4980554992734638,0.7049572509691489,1.059282317750732,19.21421897489318,0.657584778611316,0.07273962930825202,0.5596431680518458,0.3986686143404167,1.3515052194564872,1.025936799483223,0.10120710330643834,27.69367940262696,0.6290608800262506,1.919720929524783
14,gemma,400,384,3072,S1,e5_base,local_rf,full,0.81195919217079,0.7975686004098541,0.7707836017580758,1.460233768613539,2.7286821386111417,0.4210857357180125,3.8384495135421086,0.7572935537209453,1.0147177985444722,0.07038000405641147,0.826349783931726,0.9948227532831165,0.746361239633586,5.32004186366468,0.39687580588353744
15,gemma,400,384,3072,S1,e5_base,local_rf,full,1.1193426155098656,2.3809736797101246,0.4242715216914527,1.5475051942023397,0.5415542791047614,1.265665049683857,0.5561807377086291,2.2219688886872433,0.9038373259930175,2.507872731002879,1.6978493080782064,1.077588710289273,0.9385667916421354,0.04757426743347371,1.1610965207304582
16,gemma,400,384,3072,S1,e5_base,local_rf,full,0.8311686448616591,0.9656522445722965,0.5323749853680917,0.22678440923776735,0.4090276432869325,1.48426475319313,1.0726950171770462,0.7020928117617249,1.4734415029482144,0.9537487465934232,1.1043636232910385,0.5024467805877706,0.7085885431298949,1.6074084136476414,0.20569510435266822
17,gemma,400,384,3072,S1,e5_base,local_rf,full,0.6022218782034136,1.6794884506364538,20.796732253036037,0.6359953649463872,0.37512154652931723,0.5291629199554582,0.8031513602537655,0.7487797013064843,0.803211298210801,0.45048233738175497,0.5684483914604399,0.35889381388630276,5.459155673494751,0.24637761963888516,0.3089560649035092
18,gemma,400,384,3072,S1,e5_base,local_rf,full,0.8714911135974817,0.794707373089564,1.3055591244577298,0.08794867356459324,2.122205354878977,0.4213565677785728,0.3754236709721011,10.2525802828754,2.9086627340498303,0.0035677675547526573,0.9482748541053994,0.29206944901809867,1.5280850267830683,0.524363287910681,3.089725690411095
