embedding,regressor,method,pct,K,M_max,labels_source,delta_median,ci_lo,ci_hi
e5_base,chain_ERCcv_lr,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.007989615201950073,-0.04371483027935028,0.061804309487342814
e5_base,chain_ERCcv_lr,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.01599407196044922,-0.036426898837089536,0.0747392639517784
e5_base,chain_ERCcv_lr,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.014234542846679688,-0.03537092506885529,0.064812795817852
e5_base,chain_ERCcv_lr,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.004997730255126953,-0.04480531513690948,0.05442356467247008
e5_base,chain_ERCcv_lr,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.004997730255126953,-0.04480531513690948,0.05442356467247008
e5_base,chain_ERCcv_lr,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.004997730255126953,-0.04480531513690948,0.05442356467247008
e5_base,chain_ERCcv_rf,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.033914148807525635,-0.017825947701930998,0.08344990164041519
e5_base,chain_ERCcv_rf,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.0564475953578949,0.002758099138736725,0.11290335059165944
e5_base,chain_ERCcv_rf,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.04179313778877258,-0.013779525458812713,0.0953843265771865
e5_base,chain_ERCcv_rf,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.044010937213897705,-0.010978622734546658,0.09500220566987987
e5_base,chain_ERCcv_rf,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.048090189695358276,-0.010787609219551086,0.11244888007640835
e5_base,chain_ERCcv_rf,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.06299301981925964,0.003913815319538117,0.12349797487258905
e5_base,global_rf,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.021724998950958252,-0.028713798522949217,0.06650443673133848
e5_base,global_rf,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.038714975118637085,-0.02013917565345764,0.0887562289834022
e5_base,global_rf,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.052695900201797485,0.006454275548458099,0.09811824858188625
e5_base,global_rf,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.02346709370613098,-0.025299608707427975,0.06792283356189727
e5_base,global_rf,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.020409435033798218,-0.039198605716228484,0.070105841755867
e5_base,global_rf,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.054060906171798706,-0.014792694151401518,0.10987580865621567
e5_base,local_lasso,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.01592928171157837,-0.021454960107803345,0.05515799969434731
e5_base,local_lasso,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.01652809977531433,-0.030365745723247527,0.06720727086067198
e5_base,local_lasso,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.022159457206726074,-0.022116439044475557,0.06811329722404477
e5_base,local_lasso,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.024694979190826416,-0.028752566874027254,0.07466158866882323
e5_base,local_lasso,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.01743006706237793,-0.030347687005996705,0.06714861989021297
e5_base,local_lasso,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.006528377532958984,-0.0429532840847969,0.05914741754531859
