student,embedding,regressor,method,pct,K,M_max,labels_source,cliffs_delta_paired,npos,nneg,nzero,magnitude
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,-0.03869047619047619,646,698,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.005952380952380952,676,668,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,-0.01488095238095238,662,682,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.005952380952380952,676,668,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.005952380952380952,676,668,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.005952380952380952,676,668,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.06994047619047619,719,625,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.11607142857142858,750,594,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.09375,735,609,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.06398809523809523,715,629,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.07589285714285714,723,621,0,negligible
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.15625,777,567,0,small
S1,e5_base,global_rf,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.05952380952380952,712,632,0,negligible
S1,e5_base,global_rf,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.052083333333333336,707,637,0,negligible
S1,e5_base,global_rf,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.06398809523809523,715,629,0,negligible
S1,e5_base,global_rf,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.041666666666666664,700,644,0,negligible
S1,e5_base,global_rf,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.07886904761904762,725,619,0,negligible
S1,e5_base,global_rf,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.11458333333333333,749,595,0,negligible
S1,e5_base,local_lasso,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.06101190476190476,713,631,0,negligible
S1,e5_base,local_lasso,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.01488095238095238,682,662,0,negligible
S1,e5_base,local_lasso,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.05357142857142857,708,636,0,negligible
S1,e5_base,local_lasso,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.017857142857142856,684,660,0,negligible
S1,e5_base,local_lasso,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.005952380952380952,676,668,0,negligible
S1,e5_base,local_lasso,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.002976190476190476,674,670,0,negligible
S1,e5_base,local_rf,gemma,10,10,3072,teacher_e5_base_chainERCcv_lr,0.06398809523809523,715,629,0,negligible
S1,e5_base,local_rf,gemma,20,19,3072,teacher_e5_base_chainERCcv_lr,0.10416666666666667,742,602,0,negligible
S1,e5_base,local_rf,gemma,50,48,3072,teacher_e5_base_chainERCcv_lr,0.06845238095238096,718,626,0,negligible
S1,e5_base,local_rf,gemma,100,96,3072,teacher_e5_base_chainERCcv_lr,0.043154761904761904,701,643,0,negligible
S1,e5_base,local_rf,gemma,200,192,3072,teacher_e5_base_chainERCcv_lr,0.05357142857142857,708,636,0,negligible
S1,e5_base,local_rf,gemma,400,384,3072,teacher_e5_base_chainERCcv_lr,0.15327380952380953,775,569,0,small
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,teacher_e5_base_local_lasso,-0.043154761904761904,643,701,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,teacher_e5_base_local_lasso,-0.002976190476190476,670,674,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,teacher_e5_base_local_lasso,-0.00744047619047619,667,677,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,teacher_e5_base_local_lasso,0.013392857142857142,681,663,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,teacher_e5_base_local_lasso,-0.06398809523809523,629,715,0,negligible
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,teacher_e5_base_local_lasso,0.002976190476190476,674,670,0,negligible
S1,e5_base,local_lasso,gemma,10,10,3072,teacher_e5_base_local_lasso,0.01488095238095238,682,662,0,negligible
S1,e5_base,local_lasso,gemma,20,19,3072,teacher_e5_base_local_lasso,0.001488095238095238,673,671,0,negligible
S1,e5_base,local_lasso,gemma,50,48,3072,teacher_e5_base_local_lasso,0.06398809523809523,715,629,0,negligible
S1,e5_base,local_lasso,gemma,100,96,3072,teacher_e5_base_local_lasso,0.004464285714285714,675,669,0,negligible
S1,e5_base,local_lasso,gemma,200,192,3072,teacher_e5_base_local_lasso,-0.00744047619047619,667,677,0,negligible
S1,e5_base,local_lasso,gemma,400,384,3072,teacher_e5_base_local_lasso,-0.004464285714285714,669,675,0,negligible
