student,regressor,method,pct,K,M_max,cliffs_delta_paired,npos,nneg,nzero,magnitude
S1,chain_ERCcv_lr,gemma,10,10,3072,-0.03869047619047619,646,698,0,negligible
S1,chain_ERCcv_lr,gemma,20,19,3072,0.005952380952380952,676,668,0,negligible
S1,chain_ERCcv_lr,gemma,50,48,3072,-0.01488095238095238,662,682,0,negligible
S1,chain_ERCcv_lr,gemma,100,96,3072,0.005952380952380952,676,668,0,negligible
S1,chain_ERCcv_lr,gemma,200,192,3072,0.005952380952380952,676,668,0,negligible
S1,chain_ERCcv_lr,gemma,400,384,3072,0.005952380952380952,676,668,0,negligible
S1,chain_ERCcv_rf,gemma,10,10,3072,0.06994047619047619,719,625,0,negligible
S1,chain_ERCcv_rf,gemma,20,19,3072,0.11607142857142858,750,594,0,negligible
S1,chain_ERCcv_rf,gemma,50,48,3072,0.09375,735,609,0,negligible
S1,chain_ERCcv_rf,gemma,100,96,3072,0.06398809523809523,715,629,0,negligible
S1,chain_ERCcv_rf,gemma,200,192,3072,0.07589285714285714,723,621,0,negligible
S1,chain_ERCcv_rf,gemma,400,384,3072,0.15625,777,567,0,small
S1,global_rf,gemma,10,10,3072,0.05952380952380952,712,632,0,negligible
S1,global_rf,gemma,20,19,3072,0.052083333333333336,707,637,0,negligible
S1,global_rf,gemma,50,48,3072,0.06398809523809523,715,629,0,negligible
S1,global_rf,gemma,100,96,3072,0.041666666666666664,700,644,0,negligible
S1,global_rf,gemma,200,192,3072,0.07886904761904762,725,619,0,negligible
S1,global_rf,gemma,400,384,3072,0.11458333333333333,749,595,0,negligible
S1,local_lasso,gemma,10,10,3072,0.06101190476190476,713,631,0,negligible
S1,local_lasso,gemma,20,19,3072,0.01488095238095238,682,662,0,negligible
S1,local_lasso,gemma,50,48,3072,0.05357142857142857,708,636,0,negligible
S1,local_lasso,gemma,100,96,3072,0.017857142857142856,684,660,0,negligible
S1,local_lasso,gemma,200,192,3072,0.005952380952380952,676,668,0,negligible
S1,local_lasso,gemma,400,384,3072,0.002976190476190476,674,670,0,negligible
S1,local_rf,gemma,10,10,3072,0.06398809523809523,715,629,0,negligible
S1,local_rf,gemma,20,19,3072,0.10416666666666667,742,602,0,negligible
S1,local_rf,gemma,50,48,3072,0.06845238095238096,718,626,0,negligible
S1,local_rf,gemma,100,96,3072,0.043154761904761904,701,643,0,negligible
S1,local_rf,gemma,200,192,3072,0.05357142857142857,708,636,0,negligible
S1,local_rf,gemma,400,384,3072,0.15327380952380953,775,569,0,small
