student,embedding,regressor,method,pct,K,M_max,baseline,full,baseline_vs_full
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.6892235279083252,0.6737879514694214,better
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.6892235279083252,0.6676065921783447,better
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6892235279083252,0.6737381219863892,better
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.6892235279083252,0.6846904754638672,better
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.6892235279083252,0.6846904754638672,better
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.6892235279083252,0.6846904754638672,better
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,0.8332480788230896,0.7982895374298096,better
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,0.8332480788230896,0.7783243656158447,better
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,0.8332480788230896,0.7916959524154663,better
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,0.8332480788230896,0.79018235206604,better
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,0.8332480788230896,0.7876052856445312,better
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,0.8332480788230896,0.7718108296394348,better
S1,e5_base,global_rf,gemma,10,10,3072,0.8765345215797424,0.8585060834884644,better
S1,e5_base,global_rf,gemma,20,19,3072,0.8765345215797424,0.8391157984733582,better
S1,e5_base,global_rf,gemma,50,48,3072,0.8765345215797424,0.8244674801826477,better
S1,e5_base,global_rf,gemma,100,96,3072,0.8765345215797424,0.8535631895065308,better
S1,e5_base,global_rf,gemma,200,192,3072,0.8765345215797424,0.8551727533340454,better
S1,e5_base,global_rf,gemma,400,384,3072,0.8765345215797424,0.8244231343269348,better
S1,e5_base,local_lasso,gemma,10,10,3072,0.7046522498130798,0.6903446912765503,better
S1,e5_base,local_lasso,gemma,20,19,3072,0.7046522498130798,0.6882121562957764,better
S1,e5_base,local_lasso,gemma,50,48,3072,0.7046522498130798,0.6777620911598206,better
S1,e5_base,local_lasso,gemma,100,96,3072,0.7046522498130798,0.6787651181221008,better
S1,e5_base,local_lasso,gemma,200,192,3072,0.7046522498130798,0.6852312088012695,better
S1,e5_base,local_lasso,gemma,400,384,3072,0.7046522498130798,0.6980307102203369,better
S1,e5_base,local_rf,gemma,10,10,3072,0.8390518426895142,0.8339238166809082,better
S1,e5_base,local_rf,gemma,20,19,3072,0.8390518426895142,0.7920408248901367,better
S1,e5_base,local_rf,gemma,50,48,3072,0.8390518426895142,0.8105295896530151,better
S1,e5_base,local_rf,gemma,100,96,3072,0.8390518426895142,0.8234749436378479,better
S1,e5_base,local_rf,gemma,200,192,3072,0.8390518426895142,0.8163104057312012,better
S1,e5_base,local_rf,gemma,400,384,3072,0.8390518426895142,0.779708981513977,better
