student,embedding,regressor,method,pct,K,M_max,baseline,full,labels_source,baseline_vs_full
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.6892180442810059,0.6841688752174377,labels_local_lasso,better
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.6892180442810059,0.6780490875244141,labels_local_lasso,better
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6892180442810059,0.6755911707878113,labels_local_lasso,better
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.6892180442810059,0.6755903363227844,labels_local_lasso,better
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.6892180442810059,0.6911075711250305,labels_local_lasso,worse
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.6892180442810059,0.7084680795669556,labels_local_lasso,worse
S1,e5_base,local_lasso,gemma,10,10,3072,0.7046546339988708,0.6903417110443115,labels_local_lasso,better
S1,e5_base,local_lasso,gemma,20,19,3072,0.7046546339988708,0.6960203647613525,labels_local_lasso,better
S1,e5_base,local_lasso,gemma,50,48,3072,0.7046546339988708,0.6790332794189453,labels_local_lasso,better
S1,e5_base,local_lasso,gemma,100,96,3072,0.7046546339988708,0.6812852621078491,labels_local_lasso,better
S1,e5_base,local_lasso,gemma,200,192,3072,0.7046546339988708,0.6840757131576538,labels_local_lasso,better
S1,e5_base,local_lasso,gemma,400,384,3072,0.7046546339988708,0.7061293125152588,labels_local_lasso,worse
