student,embedding,regressor,method,pct,K,M_max,baseline,full,labels_source,baseline_vs_full,delta,rel_change_pct
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.6892235279083252,0.6737879514694214,default,better,0.015435576438903809,2.239560289786991
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.6892235279083252,0.6676065921783447,default,better,0.02161693572998047,3.136418716810807
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6892235279083252,0.6737381219863892,default,better,0.015485405921936035,2.246790089846697
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.6892235279083252,0.6846904754638672,default,better,0.004533052444458008,0.6577042513645815
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.6892235279083252,0.6846904754638672,default,better,0.004533052444458008,0.6577042513645815
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.6892235279083252,0.6846904754638672,default,better,0.004533052444458008,0.6577042513645815
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,0.8332480788230896,0.7982895374298096,default,better,0.03495854139328003,4.19545418486374
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,0.8332480788230896,0.7783243656158447,default,better,0.05492371320724487,6.5915199330337675
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,0.8332480788230896,0.7916959524154663,default,better,0.04155212640762329,4.986765341999114
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,0.8332480788230896,0.79018235206604,default,better,0.04306572675704956,5.168415967772429
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,0.8332480788230896,0.7876052856445312,default,better,0.04564279317855835,5.477695579331658
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,0.8332480788230896,0.7718108296394348,default,better,0.061437249183654785,7.373224222782611
S1,e5_base,global_rf,gemma,10,10,3072,0.8765345215797424,0.8585060834884644,default,better,0.018028438091278076,2.056785859247866
S1,e5_base,global_rf,gemma,20,19,3072,0.8765345215797424,0.8391157984733582,default,better,0.03741872310638428,4.268938893467201
S1,e5_base,global_rf,gemma,50,48,3072,0.8765345215797424,0.8244674801826477,default,better,0.05206704139709473,5.940101629226927
S1,e5_base,global_rf,gemma,100,96,3072,0.8765345215797424,0.8535631895065308,default,better,0.02297133207321167,2.620699072046971
S1,e5_base,global_rf,gemma,200,192,3072,0.8765345215797424,0.8551727533340454,default,better,0.02136176824569702,2.4370709561099293
S1,e5_base,global_rf,gemma,400,384,3072,0.8765345215797424,0.8244231343269348,default,better,0.05211138725280762,5.945160854462342
S1,e5_base,local_lasso,gemma,10,10,3072,0.7046522498130798,0.6903446912765503,default,better,0.014307558536529541,2.0304424686538427
S1,e5_base,local_lasso,gemma,20,19,3072,0.7046522498130798,0.6882121562957764,default,better,0.016440093517303467,2.3330789792645183
S1,e5_base,local_lasso,gemma,50,48,3072,0.7046522498130798,0.6777620911598206,default,better,0.026890158653259277,3.8160892355615577
S1,e5_base,local_lasso,gemma,100,96,3072,0.7046522498130798,0.6787651181221008,default,better,0.025887131690979004,3.6737456948226557
S1,e5_base,local_lasso,gemma,200,192,3072,0.7046522498130798,0.6852312088012695,default,better,0.019421041011810303,2.75611708001529
S1,e5_base,local_lasso,gemma,400,384,3072,0.7046522498130798,0.6980307102203369,default,better,0.00662153959274292,0.9396889876530428
S1,e5_base,local_rf,gemma,10,10,3072,0.8390518426895142,0.8339238166809082,default,better,0.005128026008605957,0.6111691492349837
S1,e5_base,local_rf,gemma,20,19,3072,0.8390518426895142,0.7920408248901367,default,better,0.04701101779937744,5.602874030845025
S1,e5_base,local_rf,gemma,50,48,3072,0.8390518426895142,0.8105295896530151,default,better,0.028522253036499023,3.3993433522621443
S1,e5_base,local_rf,gemma,100,96,3072,0.8390518426895142,0.8234749436378479,default,better,0.01557689905166626,1.8564882715394253
S1,e5_base,local_rf,gemma,200,192,3072,0.8390518426895142,0.8163104057312012,default,better,0.02274143695831299,2.710373281037929
S1,e5_base,local_rf,gemma,400,384,3072,0.8390518426895142,0.779708981513977,default,better,0.05934286117553711,7.072609600059786
