student,embedding,regressor,method,pct,K,M_max,p_raw,p_holm
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.9392534848141262,1.0
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.4527364372569962,1.0
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6566992225188969,1.0
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.2952532307804053,1.0
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.2952532307804053,1.0
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.2952532307804053,1.0
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,0.0017399118524181747,0.005219735557254524
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,2.123800638335529e-06,1.2742803830013175e-05
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,0.00042877001083691066,0.0017150800433476427
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,0.009237165962425416,0.009237165962425416
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,0.003019368282197542,0.006038736564395084
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,3.7519862835038213e-06,1.8759931417519106e-05
S1,e5_base,global_rf,gemma,10,10,3072,0.007134681853692624,0.02140404556107787
S1,e5_base,global_rf,gemma,20,19,3072,0.06711941165592412,0.13423882331184825
S1,e5_base,global_rf,gemma,50,48,3072,0.0009918982689215144,0.0049594913446075715
S1,e5_base,global_rf,gemma,100,96,3072,0.08475439210788671,0.13423882331184825
S1,e5_base,global_rf,gemma,200,192,3072,0.004688834143781999,0.018755336575127995
S1,e5_base,global_rf,gemma,400,384,3072,0.00015061669393090382,0.0009037001635854229
S1,e5_base,local_lasso,gemma,10,10,3072,0.014795333844923365,0.02959066768984673
S1,e5_base,local_lasso,gemma,20,19,3072,0.0512643061747034,0.0512643061747034
S1,e5_base,local_lasso,gemma,50,48,3072,0.00016436429348768236,0.0009861857609260942
S1,e5_base,local_lasso,gemma,100,96,3072,0.0016922377329020894,0.008461188664510446
S1,e5_base,local_lasso,gemma,200,192,3072,0.0025938756747059693,0.010375502698823877
S1,e5_base,local_lasso,gemma,400,384,3072,0.0038261035781550112,0.011478310734465034
S1,e5_base,local_rf,gemma,10,10,3072,0.01689007892429771,0.04128071480261361
S1,e5_base,local_rf,gemma,20,19,3072,1.4673287950038176e-05,7.336643975019088e-05
S1,e5_base,local_rf,gemma,50,48,3072,0.0007705013866565043,0.003082005546626017
S1,e5_base,local_rf,gemma,100,96,3072,0.01376023826753787,0.04128071480261361
S1,e5_base,local_rf,gemma,200,192,3072,0.03139598110000739,0.04128071480261361
S1,e5_base,local_rf,gemma,400,384,3072,5.4699376080076555e-06,3.281962564804593e-05
