student,embedding,regressor,method,pct,K,M_max,labels_source,p_raw
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,default,0.9392534848141262
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,default,0.4527364372569962
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,default,0.6566992225188969
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,default,0.2952532307804053
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,default,0.2952532307804053
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,default,0.2952532307804053
S1,e5_base,chain_ERCcv_rf,gemma,10,10,3072,default,0.0017399118524181747
S1,e5_base,chain_ERCcv_rf,gemma,20,19,3072,default,2.123800638335529e-06
S1,e5_base,chain_ERCcv_rf,gemma,50,48,3072,default,0.00042877001083691066
S1,e5_base,chain_ERCcv_rf,gemma,100,96,3072,default,0.009237165962425416
S1,e5_base,chain_ERCcv_rf,gemma,200,192,3072,default,0.003019368282197542
S1,e5_base,chain_ERCcv_rf,gemma,400,384,3072,default,3.7519862835038213e-06
S1,e5_base,global_rf,gemma,10,10,3072,default,0.007134681853692624
S1,e5_base,global_rf,gemma,20,19,3072,default,0.06711941165592412
S1,e5_base,global_rf,gemma,50,48,3072,default,0.0009918982689215144
S1,e5_base,global_rf,gemma,100,96,3072,default,0.08475439210788671
S1,e5_base,global_rf,gemma,200,192,3072,default,0.004688834143781999
S1,e5_base,global_rf,gemma,400,384,3072,default,0.00015061669393090382
S1,e5_base,local_lasso,gemma,10,10,3072,default,0.014795333844923365
S1,e5_base,local_lasso,gemma,20,19,3072,default,0.0512643061747034
S1,e5_base,local_lasso,gemma,50,48,3072,default,0.00016436429348768236
S1,e5_base,local_lasso,gemma,100,96,3072,default,0.0016922377329020894
S1,e5_base,local_lasso,gemma,200,192,3072,default,0.0025938756747059693
S1,e5_base,local_lasso,gemma,400,384,3072,default,0.0038261035781550112
S1,e5_base,local_rf,gemma,10,10,3072,default,0.01689007892429771
S1,e5_base,local_rf,gemma,20,19,3072,default,1.4673287950038176e-05
S1,e5_base,local_rf,gemma,50,48,3072,default,0.0007705013866565043
S1,e5_base,local_rf,gemma,100,96,3072,default,0.01376023826753787
S1,e5_base,local_rf,gemma,200,192,3072,default,0.03139598110000739
S1,e5_base,local_rf,gemma,400,384,3072,default,5.4699376080076555e-06
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,labels_local_lasso,0.9813769299008078
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,labels_local_lasso,0.8714034216891254
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,labels_local_lasso,0.7743105832832
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,labels_local_lasso,0.3627481841340037
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,labels_local_lasso,0.9720771289035909
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,labels_local_lasso,0.47808972851775255
S1,e5_base,local_lasso,gemma,10,10,3072,labels_local_lasso,0.0636561182773682
S1,e5_base,local_lasso,gemma,20,19,3072,labels_local_lasso,0.11708507546930108
S1,e5_base,local_lasso,gemma,50,48,3072,labels_local_lasso,6.865861603923882e-05
S1,e5_base,local_lasso,gemma,100,96,3072,labels_local_lasso,0.0008344431685522861
S1,e5_base,local_lasso,gemma,200,192,3072,labels_local_lasso,0.005897525839068459
S1,e5_base,local_lasso,gemma,400,384,3072,labels_local_lasso,0.0006297976109604222
