,sbert+local_las,sbert+local_rf,sbert+chain_lr,sbert+chain_rf,sbert+global_rf,sbert_ft,e5+local_las,e5+local_rf,e5+chain_lr,e5+chain_rf,e5+global_rf,e5_ft,simcse+local_las,simcse+local_rf,simcse+chain_lr,simcse+chain_rf,simcse+global_rf,simcse_ft
sbert+local_las,0.0,-0.337,0.0,-0.265,-0.418,-1.0,0.429,-0.449,0.286,-0.357,-0.673,-1.0,0.0,-0.306,0.214,-0.306,-0.582,-1.0
sbert+local_rf,0.337,0.0,0.337,0.245,-0.112,-1.0,0.643,-0.143,0.633,0.041,-0.602,-1.0,0.316,0.112,0.378,0.051,-0.408,-1.0
sbert+chain_lr,-0.0,-0.337,0.0,-0.214,-0.398,-1.0,0.408,-0.408,0.286,-0.347,-0.735,-1.0,0.0,-0.286,0.133,-0.286,-0.582,-1.0
sbert+chain_rf,0.265,-0.245,0.214,0.0,-0.265,-1.0,0.622,-0.316,0.622,-0.286,-0.745,-1.0,0.153,-0.153,0.224,-0.01,-0.561,-1.0
sbert+global_rf,0.418,0.112,0.398,0.265,0.0,-1.0,0.684,0.041,0.694,0.082,-0.439,-1.0,0.418,0.153,0.398,0.173,-0.245,-1.0
sbert_ft,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.306,1.0,1.0,1.0,1.0,1.0,0.367
e5+local_las,-0.429,-0.643,-0.408,-0.622,-0.684,-1.0,0.0,-0.714,-0.133,-0.684,-0.929,-1.0,-0.357,-0.633,-0.255,-0.684,-0.888,-1.0
e5+local_rf,0.449,0.143,0.408,0.316,-0.041,-1.0,0.714,0.0,0.714,0.051,-0.48,-1.0,0.388,0.143,0.449,0.245,-0.214,-1.0
e5+chain_lr,-0.286,-0.633,-0.286,-0.622,-0.694,-1.0,0.133,-0.714,0.0,-0.684,-0.878,-1.0,-0.306,-0.622,-0.112,-0.622,-0.816,-1.0
e5+chain_rf,0.357,-0.041,0.347,0.286,-0.082,-1.0,0.684,-0.051,0.684,0.0,-0.551,-1.0,0.296,0.061,0.306,0.194,-0.367,-1.0
e5+global_rf,0.673,0.602,0.735,0.745,0.439,-1.0,0.929,0.48,0.878,0.551,0.0,-0.939,0.765,0.571,0.735,0.602,0.184,-1.0
e5_ft,1.0,1.0,1.0,1.0,1.0,0.306,1.0,1.0,1.0,1.0,0.939,0.0,1.0,0.98,1.0,1.0,0.949,0.439
simcse+local_las,-0.0,-0.316,-0.0,-0.153,-0.418,-1.0,0.357,-0.388,0.306,-0.296,-0.765,-1.0,0.0,-0.245,0.051,-0.306,-0.633,-1.0
simcse+local_rf,0.306,-0.112,0.286,0.153,-0.153,-1.0,0.633,-0.143,0.622,-0.061,-0.571,-0.98,0.245,0.0,0.327,0.02,-0.449,-1.0
simcse+chain_lr,-0.214,-0.378,-0.133,-0.224,-0.398,-1.0,0.255,-0.449,0.112,-0.306,-0.735,-1.0,-0.051,-0.327,0.0,-0.439,-0.653,-1.0
simcse+chain_rf,0.306,-0.051,0.286,0.01,-0.173,-1.0,0.684,-0.245,0.622,-0.194,-0.602,-1.0,0.306,-0.02,0.439,0.0,-0.408,-1.0
simcse+global_rf,0.582,0.408,0.582,0.561,0.245,-1.0,0.888,0.214,0.816,0.367,-0.184,-0.949,0.633,0.449,0.653,0.408,0.0,-0.98
simcse_ft,1.0,1.0,1.0,1.0,1.0,-0.367,1.0,1.0,1.0,1.0,1.0,-0.439,1.0,1.0,1.0,1.0,0.98,0.0
