,median_rrmse
sbert+local_las,0.7530386015728913
sbert+local_rf,0.8234567296852011
sbert+chain_lr,0.7488597518167733
sbert+chain_rf,0.7971217692742767
sbert+global_rf,0.8300607390767805
sbert_ft,0.988660315558263
e5+local_las,0.7079689705557464
e5+local_rf,0.8185259904795774
e5+chain_lr,0.7193670200517986
e5+chain_rf,0.8107349995476096
e5+global_rf,0.8767511797440728
e5_ft,0.9980617910539669
simcse+local_las,0.744151399719613
simcse+local_rf,0.8010276135451726
simcse+chain_lr,0.7262388124316923
simcse+chain_rf,0.7815990131682522
simcse+global_rf,0.8577161620201019
simcse_ft,0.9834130826133543
