,sbert+local_las,sbert+local_rf,sbert+chain_lr,sbert+chain_rf,sbert+global_rf,sbert_ft,e5+local_las,e5+local_rf,e5+chain_lr,e5+chain_rf,e5+global_rf,e5_ft,simcse+local_las,simcse+local_rf,simcse+chain_lr,simcse+chain_rf,simcse+global_rf,simcse_ft
sbert+local_las,1.0,0.9731563158159299,1.0,0.9999831833741264,0.8611562261397481,7.50440017682763e-06,0.9995465778684677,0.8428887665200329,0.9980762766855611,0.9079610075552682,0.053236238284281256,2.7454701805318393e-06,1.0,0.9980762766855611,0.9999999999998922,0.9986260833112938,0.2711237960413718,2.904700151007411e-05
sbert+local_rf,0.9731563158159299,1.0,0.9826137991793905,0.9999993059625917,0.9999999999955381,0.017834100810428577,0.29251051142433293,0.999999999978355,0.2129116348453829,0.9999999999999886,0.9429066482475743,0.009134675344744991,0.9892067383638126,0.9999999999955381,0.8937017564834296,0.999999999978355,0.9993324075539373,0.042290005440831835
sbert+chain_lr,1.0,0.9826137991793905,1.0,0.9999947972448135,0.8937017564834298,1.1119410760818127e-05,0.9990342408888009,0.8780997999214629,0.9963935668562368,0.9325264443771588,0.06650476577723774,4.120660365813933e-06,1.0,0.9990342408888009,0.9999999999955381,0.9993324075539373,0.31484078070179333,4.2258360538283135e-05
sbert+chain_rf,0.9999831833741264,0.9999993059625917,0.9999947972448135,1.0,0.9998023840897524,0.0008212910639577853,0.8233319657374234,0.9996977094589089,0.7334667101018957,0.9999515097470583,0.49246373577443925,0.0003577737701135897,0.9999985895784557,0.999999999978355,0.9993324075539373,0.9999999999955381,0.8937017564834294,0.002472733017750084
sbert+global_rf,0.8611562261397481,0.9999999999955381,0.8937017564834298,0.9998023840897524,1.0,0.05955943484964432,0.12360034575629786,1.0,0.08243147715034516,1.0,0.9936018427012235,0.03334428088384378,0.9208925364601974,0.9999996725682792,0.6828293843514315,0.9999993059625917,0.9999947972448135,0.12360034575629786
sbert_ft,7.50440017682763e-06,0.017834100810428577,1.1119410760818127e-05,0.0008212910639577853,0.05955943484964432,1.0,5.497420407785114e-09,0.06650476577723774,2.0897237273942437e-09,0.042290005440831835,0.8780997999214626,1.0,1.639052278168407e-05,0.004490148442994335,1.4789057116715298e-06,0.0038770422686909,0.4653831050953332,0.9999999999999886
e5+local_las,0.9995465778684677,0.29251051142433293,0.9990342408888009,0.8233319657374234,0.12360034575629786,5.497420407785114e-09,1.0,0.11204293254873354,1.0,0.16382634867736678,0.0005009805731208683,1.635795499055348e-09,0.9980762766855611,0.5473657624116663,0.9999905020702082,0.5749329350055621,0.006909050237925318,2.8482757818970583e-08
e5+local_rf,0.8428887665200329,0.999999999978355,0.8780997999214629,0.9996977094589089,1.0,0.06650476577723774,0.11204293254873354,1.0,0.07411459575802914,1.0,0.9951646835412868,0.0375863967423854,0.9079610075552683,0.9999993059625917,0.6564845332533331,0.9999985895784557,0.9999972424304252,0.13606260859036146
e5+chain_lr,0.9980762766855611,0.2129116348453829,0.9963935668562368,0.7334667101018957,0.08243147715034516,2.0897237273942437e-09,1.0,0.07411459575802914,1.0,0.11204293254873354,0.00025407018819256777,6.06630301547284e-10,0.9936018427012236,0.43870750500176203,0.9999207483482521,0.4653831050953332,0.0038770422686909,1.1209060568617701e-08
e5+chain_rf,0.9079610075552682,0.9999999999999886,0.9325264443771588,0.9999515097470583,1.0,0.042290005440831835,0.16382634867736678,1.0,0.11204293254873354,1.0,0.9862254261507547,0.023028708749897042,0.9520892777268173,0.9999999744295531,0.7575154892843838,0.9999999368338462,0.999971061535501,0.09149770162313642
