,sbert+local_las,sbert+local_rf,sbert+chain_lr,sbert+chain_rf,sbert+global_rf,sbert_ft,e5+local_las,e5+local_rf,e5+chain_lr,e5+chain_rf,e5+global_rf,e5_ft,simcse+local_las,simcse+local_rf,simcse+chain_lr,simcse+chain_rf,simcse+global_rf,simcse_ft
sbert+local_las,1.0,1.0,1.0,1.0,1.0,0.018677,1.0,1.0,0.086304,1.0,0.018677,0.018677,1.0,1.0,1.0,1.0,0.117188,0.018677
sbert+local_rf,1.0,1.0,1.0,0.980225,1.0,0.018677,0.086304,1.0,0.086304,1.0,0.980225,0.018677,1.0,1.0,1.0,1.0,1.0,0.018677
sbert+chain_lr,1.0,1.0,1.0,1.0,1.0,0.018677,0.980225,1.0,1.0,1.0,0.086304,0.018677,1.0,1.0,1.0,1.0,0.816406,0.018677
sbert+chain_rf,1.0,0.980225,1.0,1.0,1.0,0.018677,0.063477,1.0,0.215698,1.0,0.063477,0.018677,1.0,1.0,1.0,1.0,0.980225,0.018677
sbert+global_rf,1.0,1.0,1.0,1.0,1.0,0.018677,0.063477,1.0,0.215698,1.0,1.0,0.018677,1.0,1.0,1.0,1.0,1.0,0.018677
sbert_ft,0.018677,0.018677,0.018677,0.018677,0.018677,1.0,0.018677,0.018677,0.018677,0.018677,0.018677,1.0,0.018677,0.018677,0.018677,0.018677,0.018677,1.0
e5+local_las,1.0,0.086304,0.980225,0.063477,0.063477,0.018677,1.0,0.117188,1.0,0.215698,0.018677,0.018677,1.0,0.338379,1.0,0.215698,0.086304,0.018677
e5+local_rf,1.0,1.0,1.0,1.0,1.0,0.018677,0.117188,1.0,0.262451,1.0,0.425171,0.018677,1.0,1.0,1.0,1.0,1.0,0.018677
e5+chain_lr,0.086304,0.086304,1.0,0.215698,0.215698,0.018677,1.0,0.262451,1.0,0.666504,0.018677,0.018677,1.0,0.338379,1.0,0.530396,0.018677,0.018677
e5+chain_rf,1.0,1.0,1.0,1.0,1.0,0.018677,0.215698,1.0,0.666504,1.0,0.262451,0.018677,1.0,1.0,1.0,1.0,1.0,0.018677
e5+global_rf,0.018677,0.980225,0.086304,0.063477,1.0,0.018677,0.018677,0.425171,0.018677,0.262451,1.0,0.025879,0.160645,0.338379,0.215698,0.666504,1.0,0.018677
e5_ft,0.018677,0.018677,0.018677,0.018677,0.018677,1.0,0.018677,0.018677,0.018677,0.018677,0.025879,1.0,0.018677,0.018677,0.018677,0.018677,0.018677,1.0
simcse+local_las,1.0,1.0,1.0,1.0,1.0,0.018677,1.0,1.0,1.0,1.0,0.160645,0.018677,1.0,1.0,1.0,1.0,0.425171,0.018677
simcse+local_rf,1.0,1.0,1.0,1.0,1.0,0.018677,0.338379,1.0,0.338379,1.0,0.338379,0.018677,1.0,1.0,0.816406,1.0,0.215698,0.018677
simcse+chain_lr,1.0,1.0,1.0,1.0,1.0,0.018677,1.0,1.0,1.0,1.0,0.215698,0.018677,1.0,0.816406,1.0,1.0,0.215698,0.018677
simcse+chain_rf,1.0,1.0,1.0,1.0,1.0,0.018677,0.215698,1.0,0.530396,1.0,0.666504,0.018677,1.0,1.0,1.0,1.0,0.816406,0.018677
simcse+global_rf,0.117188,1.0,0.816406,0.980225,1.0,0.018677,0.086304,1.0,0.018677,1.0,1.0,0.018677,0.425171,0.215698,0.215698,0.816406,1.0,0.025879
simcse_ft,0.018677,0.018677,0.018677,0.018677,0.018677,1.0,0.018677,0.018677,0.018677,0.018677,0.018677,1.0,0.018677,0.018677,0.018677,0.018677,0.025879,1.0
