,sbert+local_las,sbert+local_rf,sbert+chain_lr,sbert+chain_rf,sbert+global_rf,sbert_ft,e5+local_las,e5+local_rf,e5+chain_lr,e5+chain_rf,e5+global_rf,e5_ft,simcse+local_las,simcse+local_rf,simcse+chain_lr,simcse+chain_rf,simcse+global_rf,simcse_ft
sbert+local_las,1.0,0.0352783203125,0.855224609375,0.172607421875,0.0418701171875,0.0001220703125,0.0784912109375,0.0494384765625,0.0008544921875,0.090576171875,0.0001220703125,0.0001220703125,0.6697998046875,0.118896484375,0.9031982421875,0.172607421875,0.001220703125,0.0001220703125
sbert+local_rf,0.0352783203125,1.0,0.0166015625,0.013427734375,0.71484375,0.0001220703125,0.0008544921875,0.5015869140625,0.0008544921875,0.9031982421875,0.013427734375,0.0001220703125,0.0352783203125,0.9515380859375,0.029541015625,0.8077392578125,0.067626953125,0.0001220703125
sbert+chain_lr,0.855224609375,0.0166015625,1.0,0.267578125,0.0579833984375,0.0001220703125,0.013427734375,0.0494384765625,0.0245361328125,0.2412109375,0.0008544921875,0.0001220703125,1.0,0.172607421875,0.463134765625,0.216552734375,0.0107421875,0.0001220703125
sbert+chain_rf,0.172607421875,0.013427734375,0.267578125,1.0,0.0579833984375,0.0001220703125,0.0006103515625,0.10400390625,0.0023193359375,0.1937255859375,0.0006103515625,0.0001220703125,0.2957763671875,0.2957763671875,0.118896484375,0.5015869140625,0.013427734375,0.0001220703125
sbert+global_rf,0.0418701171875,0.71484375,0.0579833984375,0.0579833984375,1.0,0.0001220703125,0.0006103515625,0.8077392578125,0.0023193359375,0.855224609375,0.0494384765625,0.0001220703125,0.020263671875,0.8077392578125,0.0245361328125,0.625732421875,0.153076171875,0.0001220703125
sbert_ft,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,1.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.42626953125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.13525390625
e5+local_las,0.0784912109375,0.0008544921875,0.013427734375,0.0006103515625,0.0006103515625,0.0001220703125,1.0,0.001220703125,0.5015869140625,0.0023193359375,0.0001220703125,0.0001220703125,0.067626953125,0.0040283203125,0.0784912109375,0.0023193359375,0.0008544921875,0.0001220703125
e5+local_rf,0.0494384765625,0.5015869140625,0.0494384765625,0.10400390625,0.8077392578125,0.0001220703125,0.001220703125,1.0,0.0030517578125,0.1937255859375,0.0052490234375,0.0001220703125,0.0352783203125,0.2957763671875,0.020263671875,0.267578125,0.172607421875,0.0001220703125
e5+chain_lr,0.0008544921875,0.0008544921875,0.0245361328125,0.0023193359375,0.0023193359375,0.0001220703125,0.5015869140625,0.0030517578125,1.0,0.008544921875,0.0001220703125,0.0001220703125,0.10400390625,0.0040283203125,0.118896484375,0.0067138671875,0.0001220703125,0.0001220703125
e5+chain_rf,0.090576171875,0.9031982421875,0.2412109375,0.1937255859375,0.855224609375,0.0001220703125,0.0023193359375,0.1937255859375,0.008544921875,1.0,0.0030517578125,0.0001220703125,0.029541015625,0.6697998046875,0.0494384765625,0.3909912109375,0.090576171875,0.0001220703125
e5+global_rf,0.0001220703125,0.013427734375,0.0008544921875,0.0006103515625,0.0494384765625,0.0001220703125,0.0001220703125,0.0052490234375,0.0001220703125,0.0030517578125,1.0,0.000244140625,0.001708984375,0.0040283203125,0.0023193359375,0.008544921875,0.153076171875,0.0001220703125
e5_ft,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.42626953125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.000244140625,1.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.172607421875
simcse+local_las,0.6697998046875,0.0352783203125,1.0,0.2957763671875,0.020263671875,0.0001220703125,0.067626953125,0.0352783203125,0.10400390625,0.029541015625,0.001708984375,0.0001220703125,1.0,0.118896484375,0.5830078125,0.118896484375,0.0052490234375,0.0001220703125
simcse+local_rf,0.118896484375,0.9515380859375,0.172607421875,0.2957763671875,0.8077392578125,0.0001220703125,0.0040283203125,0.2957763671875,0.0040283203125,0.6697998046875,0.0040283203125,0.0001220703125,0.118896484375,1.0,0.0107421875,0.855224609375,0.0023193359375,0.0001220703125
simcse+chain_lr,0.9031982421875,0.029541015625,0.463134765625,0.118896484375,0.0245361328125,0.0001220703125,0.0784912109375,0.020263671875,0.118896484375,0.0494384765625,0.0023193359375,0.0001220703125,0.5830078125,0.0107421875,1.0,0.0579833984375,0.0023193359375,0.0001220703125
simcse+chain_rf,0.172607421875,0.8077392578125,0.216552734375,0.5015869140625,0.625732421875,0.0001220703125,0.0023193359375,0.267578125,0.0067138671875,0.3909912109375,0.008544921875,0.0001220703125,0.118896484375,0.855224609375,0.0579833984375,1.0,0.0107421875,0.0001220703125
simcse+global_rf,0.001220703125,0.067626953125,0.0107421875,0.013427734375,0.153076171875,0.0001220703125,0.0008544921875,0.172607421875,0.0001220703125,0.090576171875,0.153076171875,0.0001220703125,0.0052490234375,0.0023193359375,0.0023193359375,0.0107421875,1.0,0.000244140625
simcse_ft,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.13525390625,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.172607421875,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.000244140625,1.0
