target,value
T1,0.7543456274180496
T2,0.79468699743677
T3,0.8708658488203451
T4,0.9177653326930997
T5,0.8079838685429968
T6,0.8949677301935773
T7,0.8508953956071843
T8,0.8624130652745106
T9,0.8033097787288002
T10,0.9038671198176005
T11,0.8724308326899073
T12,0.6983493428328624
T13,0.838288963423924
T14,0.9090459144510858
T1,0.8437832369394176
T2,0.9386487117749183
T3,0.9513990194164381
T4,0.9022227986008398
T5,0.878800300006789
T6,0.8602703730995924
T7,0.9092445799014925
T8,0.8979644632242874
T9,0.8970309449702929
T10,0.8535042363088834
T11,0.9415773129497929
T12,0.7745327087132401
T13,0.8914270579704993
T14,0.8243430140296775
T1,0.8035306260123256
T2,0.8590626629339668
T3,0.9344933761933836
T4,0.8464173169512137
T5,0.9194895966869954
T6,0.8273705160020897
T7,0.907448182843138
T8,0.9103114625174038
T9,0.8685767106184681
T10,0.8729475368483084
T11,0.9227281599498081
T12,0.693186795285061
T13,0.8776572856092054
T14,0.8315020706315801
T1,0.7957320465140848
T2,0.6151598919524346
T3,0.9277583163344905
T4,0.944721821966104
T5,0.8160419267436283
T6,0.9346361370636078
T7,0.8215425196082863
T8,1.0130164612813706
T9,0.9326545249986049
T10,0.9624582617484997
T11,0.8758369813618038
T12,0.6643288695333169
T13,0.7936008508041654
T14,0.8923383814230668
T1,0.7875104045292973
T2,0.7622729189838544
T3,0.9367126021547099
T4,0.8763184880737473
T5,0.9285401225602592
T6,0.9070801574673082
T7,0.9253584064055933
T8,0.9615254891979508
T9,0.8361826659039844
T10,0.9226696885417995
T11,0.9203640750777751
T12,0.7676855932289735
T13,0.9277657776666539
T14,0.9544572851491935
T1,0.8301604197858914
T2,0.771886173643628
T3,0.781792979304379
T4,0.8256854885588117
T5,0.8377908304058398
T6,0.8376815075106046
T7,0.8817746125907995
T8,0.8185049901940902
T9,0.8253411249927951
T10,0.8054490117407995
T11,0.7548130975473926
T12,0.6949089061029148
T13,0.8668290427542201
T14,0.8227339399445774
T1,0.8786757343622134
T2,0.8819897278709323
T3,0.8549076205788523
T4,0.8650415430494554
T5,0.9791600318767751
T6,0.8735317911644187
T7,0.8888335615123809
T8,0.8467502217136468
T9,0.9173025935516663
T10,0.9265896209688715
T11,0.8851341192718134
T12,0.8050244839748946
T13,0.8789500557104742
T14,0.9354925637105554
T1,0.8491752298316378
T2,0.8691280174922571
T3,0.8477127539468556
T4,0.8379111918681436
T5,1.0298877453250181
T6,0.8904136263845044
T7,0.9466618011062138
T8,0.869805513486019
T9,0.922042509157923
T10,0.9381603583841991
T11,0.873570451708015
T12,0.8133896752952353
T13,0.9013469513194969
T14,0.9461208518628339
T1,0.7907173031905494
T2,0.7703167107053834
T3,0.8458077990081692
T4,0.9977702624826736
T5,0.8302335817742301
T6,0.9689686937435524
T7,0.7884934152108843
T8,0.8025272543433271
T9,0.8498661546373414
T10,0.7925277304112106
T11,0.7329263531707554
T12,0.6882862487386678
T13,0.848466688911995
T14,0.8690802190966462
T1,0.900445860868045
T2,0.8796187612290964
T3,0.9209963184123253
T4,0.8452301667936368
T5,0.8975992904288195
T6,0.9181615561148115
T7,0.9351475753075097
T8,0.918661222986766
T9,0.8486780224165081
T10,0.9353177938178907
T11,0.9522245734723128
T12,0.8115054330603276
T13,0.9113660665816855
T14,0.9323840958845498
T1,0.8404655806391359
T2,0.7928217296836907
T3,0.8171071944194117
T4,0.9964748970799493
T5,0.8158411957246774
T6,0.7953512931542206
T7,0.8586893484558393
T8,0.8585693748730043
T9,0.8324517704832743
T10,0.7821131159383992
T11,0.8402382169616289
T12,0.7116549397983295
T13,0.548610025732235
T14,0.7979221221450579
T1,0.8360324951800142
T2,0.8760887939389668
T3,0.8725807874728349
T4,0.9740063250110093
T5,0.8965799366573324
T6,0.8740630134106442
T7,0.9133083809421518
T8,0.8026149654875114
T9,0.9217137225273511
T10,0.8376876797477798
T11,0.8830864894589862
T12,0.7097123354505495
T13,0.8566697948840798
T14,0.8706450164794611
T1,0.8105179210954077
T2,0.8213911467281053
T3,0.8818750318240762
T4,0.9689665363610933
T5,0.887550336634199
T6,0.888003987962581
T7,0.9139134252083927
T8,0.7872494374874301
T9,0.9465677076763525
T10,0.8827969299136114
T11,0.8841697961825112
T12,0.7680283282605089
T13,0.8637382204652113
T14,0.8902672039568761
T1,0.8066632807724845
T2,0.7956482305311244
T3,0.8751974077560127
T4,0.9401719189366958
T5,0.7448293049007157
T6,0.7730394855806126
T7,0.8105897391679745
T8,0.8104931045472016
T9,0.8646802790879414
T10,0.848591011179771
T11,0.8303936210008023
T12,0.6706433927571203
T13,0.7760923710740355
T14,0.8604832527074053
T1,0.9133516875320078
T2,0.9016665285526582
T3,0.9727832772593852
T4,0.9933432849460619
T5,0.8959774692701594
T6,0.9398369124099877
T7,0.922039297804089
T8,0.9848783761109421
T9,0.9545522483087886
T10,0.9141425398774097
T11,0.9230271253663029
T12,0.8170604664798691
T13,0.8872977350804692
T14,0.9195620906197516
T1,0.8037194323836296
T2,0.8249999929914095
T3,0.809816264583919
T4,1.0434472427695822
T5,0.7890444622402475
T6,0.7882995219285536
T7,0.862161471642682
T8,0.8620617330306408
T9,0.8519102300724222
T10,0.8018653615942479
T11,0.8353697234813273
T12,0.73065483084819
T13,0.7315116360158409
T14,0.8313525761274874
T1,0.9036070725387411
T2,0.8257115242842994
T3,0.9699263980560071
T4,0.9291877099149923
T5,0.8950472108501791
T6,0.7780156704181146
T7,0.9164241190704345
T8,0.9268842578105161
T9,0.860964979231724
T10,1.004785662574694
T11,0.8852810899571056
T12,0.7473061982925995
T13,0.8676967181670652
T14,0.8506505715924478
T1,0.9096363243817964
T2,0.817501926754017
T3,0.9696241435712809
T4,0.9749631270774903
T5,0.8640961901382884
T6,0.8263389077122096
T7,0.9481492269481531
T8,0.9169665889709713
T9,0.882865390070299
T10,0.9552293381200408
T11,0.8629582465487657
T12,0.7695039915009931
T13,0.8788211157931314
T14,0.8834953949650781
T1,0.8266331958468809
T2,0.6459417266847469
T3,0.8858885575888524
T4,1.0169542247570007
T5,0.823135604636648
T6,0.8074699193077186
T7,0.8694192341805147
T8,0.9619828002168769
T9,0.9200476931742463
T10,0.8146190158098802
T11,0.8654097997622152
T12,0.685479288192256
T13,0.6707439264964191
T14,0.8488364882888886
T1,0.9547168696919834
T2,0.8197846578046692
T3,0.959325273642311
T4,0.9957905377574654
T5,0.9474896059529441
T6,0.9433857590888264
T7,0.9420956899175927
T8,1.0206740424194072
T9,0.885462511345323
T10,0.9865137472638452
T11,0.858509092121254
T12,0.7820101215757043
T13,0.9386559803302392
T14,0.8767699015426771
T1,0.8110959611642652
T2,0.8202029048645822
T3,0.9096532353270496
T4,0.9190042544079333
T5,0.8995170513748255
T6,0.8899139423091995
T7,0.8730008918158887
T8,1.0707457854886435
T9,0.9659340759741408
T10,0.8926344742552079
T11,0.8697600418097277
T12,0.7232952836196801
T13,0.7635529988498966
T14,0.8924765137248208
T1,0.9379350511104506
T2,0.9443625246554124
T3,0.9967043955757702
T4,0.9028416339732492
T5,0.8301078188426186
T6,0.8869183472106368
T7,0.9719844043596928
T8,0.9154962809722991
T9,0.935921492983563
T10,0.9336379183643999
T11,0.9363407778115311
T12,0.8395588249670914
T13,0.8919800351630451
T14,0.937482640366399
T1,0.929709330494799
T2,0.8561150191163474
T3,0.9603409589893313
T4,0.9587490689319218
T5,0.9079946882469672
T6,0.892359586983262
T7,0.9800483295617806
T8,0.9113737400407251
T9,0.9337385411802519
T10,0.9360078168379495
T11,0.9252475565422902
T12,0.8521856236733629
T13,0.883019590394933
T14,0.95135220892301
T1,0.75270496911757
T2,0.8580175479588054
T3,0.9935608626711009
T4,0.9498864945262269
T5,0.8217391791307651
T6,0.9616358125421609
T7,0.8783466161266691
T8,0.9826983148798656
T9,0.9635080277315626
T10,0.9232385382689889
T11,0.8894619620474691
T12,0.793943937167876
T13,0.8438374010854326
T14,0.7913538520742067
T1,0.9893564021102942
T2,0.8748728730823914
T3,1.0450480140752096
T4,0.9838223603660241
T5,0.7918146001103753
T6,0.9488224732917313
T7,0.9728015172961028
T8,0.9704570799003422
T9,0.9643827983149584
T10,0.9814683182853435
T11,0.9236933871832922
T12,0.8684205290804226
T13,0.8800658442568122
T14,0.9331689771072874
T1,0.7786542171896207
T2,0.8211075109697652
T3,0.8658238484704914
T4,1.039716572743044
T5,0.8793062584578638
T6,0.9499069259309407
T7,0.9446989407383557
T8,0.8956261096610583
T9,0.9373664695727477
T10,0.8644250534093572
T11,0.73443837083143
T12,0.7829166669846579
T13,0.832077968076079
T14,0.7981157369733831
T1,0.8667158016317411
T2,0.9106847586683058
T3,0.8762236510001198
T4,0.9581512805898494
T5,0.8674601165580214
T6,0.9949971437494927
T7,0.9350326017777866
T8,0.9975445973227546
T9,0.9512360606749365
T10,0.9346598151826038
T11,0.8228812105840664
T12,0.838332267870088
T13,0.8817871795096537
T14,0.9126148167339827
T1,0.9120771695541895
T2,0.9040364469322362
T3,0.8586929628441815
T4,0.9889035453879866
T5,0.9065034871383562
T6,0.9717542195593345
T7,1.0033264212183712
T8,0.9499730812091743
T9,0.9264958463440225
T10,0.9491540348744922
T11,0.865741277418266
T12,0.8558960075050674
T13,0.8922522574044699
T14,0.8686408445850171
T1,0.7327082793010959
T2,0.9323698745279357
T3,0.9517811688322728
T4,0.9876687671505197
T5,0.9397680606333194
T6,0.937858992797774
T7,0.9866935748410384
T8,0.9180183605696243
T9,0.8461688978479915
T10,0.8959561043786122
T11,0.7740033336302414
T12,0.798322468808895
T13,0.9067163177368752
T14,0.8874745417124486
T1,0.9197535967969397
T2,0.890807853629591
T3,0.9463240679912015
T4,1.0188420771864273
T5,0.9117241754743268
T6,0.9807214934918558
T7,0.9612025847669297
T8,0.9778862969765679
T9,0.947504903945992
T10,0.8992978735987958
T11,0.8636616009885626
T12,0.8232583838134659
T13,0.9097756817519823
T14,0.9270445704197123
T1,0.7303709742682828
T2,0.8197741859443983
T3,0.9152308973177021
T4,0.9913684797372195
T5,0.930015806863697
T6,0.9589416374994786
T7,0.9388777100369459
T8,0.90556324055161
T9,0.9012983188241473
T10,0.9159388068654328
T11,0.8214198181320277
T12,0.6656044889234574
T13,1.0028390875463806
T14,0.8712890215104675
T1,0.858567619308235
T2,0.926154763687749
T3,0.9763770826702152
T4,1.0167907848431228
T5,0.9590895597490374
T6,0.9835020896532325
T7,0.948764074067509
T8,0.9216876343418796
T9,0.9337476683459465
T10,0.9746454492123208
T11,0.9356939568917231
T12,0.8256423789256195
T13,0.901867235294216
T14,0.8904460408298858
T1,0.8656834953131358
T2,0.9584260088988723
T3,0.9823158335648712
T4,1.0638056745010531
T5,0.9680125564987254
T6,0.9926380918646418
T7,0.9115889429780254
T8,0.9153256754666588
T9,0.9368579947301887
T10,0.9627084697759611
T11,0.9268620930542052
T12,0.7856752296738965
T13,0.9213347040198675
T14,0.8780908492997399
T1,0.7332492121517986
T2,0.7467937983286761
T3,0.9216652710641968
T4,1.0224011156355035
T5,0.8748219851990355
T6,1.0274416769813457
T7,0.9647018777691844
T8,0.859194140268965
T9,0.9056113825298049
T10,0.9637830523900704
T11,0.7792880062106899
T12,0.6576767735854162
T13,0.9821573038108006
T14,0.7897928359915813
T1,0.8781680299025876
T2,0.93003167851781
T3,0.9950386326527658
T4,0.9776881887028355
T5,0.9990745241501042
T6,0.940295700265632
T7,0.9486877251203996
T8,0.9798106208665802
T9,1.0041836654809988
T10,0.9055193553770834
T11,0.9816603129424945
T12,0.802695438673435
T13,0.9051343279727826
T14,0.8993834291266665
T1,0.8130105795157718
T2,0.8247757018276642
T3,0.9631819405587398
T4,1.0164291218246768
T5,0.9151129352976654
T6,0.8710758705816752
T7,0.8426634993023181
T8,0.8945054998085686
T9,0.913274656523082
T10,0.9186288908532025
T11,0.7843374018189861
T12,0.6846494104784138
T13,0.9290670112783759
T14,0.8836221352145117
T1,0.9219860384197294
T2,0.9048648872715608
T3,0.9686472902112924
T4,0.9989844910057816
T5,0.9722117066524882
T6,0.8871263198007371
T7,0.9176167997552584
T8,0.8596006231180213
T9,0.9165073454495744
T10,1.0032736537850542
T11,0.8726463609344256
T12,0.8217739685514102
T13,0.8723511828689503
T14,0.6750035433671371
T1,0.9419746751155381
T2,0.8932159664042998
T3,0.9697869076850858
T4,1.0206824382354118
T5,0.9133604665641186
T6,0.9044167488350843
T7,0.8938193219604142
T8,0.8604788678463429
T9,0.940075591398106
T10,0.992297747654649
T11,0.8840378143606705
T12,0.7896442282435538
T13,0.8725462791531731
T14,0.680301848674016
T1,0.7554025861393183
T2,0.8060734599029586
T3,0.9621529792226657
T4,0.9532150792261209
T5,0.9519833528851096
T6,1.0151206299550508
T7,0.8941903608649183
T8,0.9216315365251739
T9,0.9484378581563616
T10,0.944783053754959
T11,0.9814656309831552
T12,0.6546959044284655
T13,0.958543312230459
T14,0.9417893159429707
T1,0.9488393079951938
T2,0.837944980529183
T3,1.0350638408729582
T4,0.987148510947266
T5,0.9264079852114375
T6,0.9498854370118981
T7,0.9464626038081176
T8,0.9757728966773744
T9,0.9112732857008565
T10,0.957109456608002
T11,0.8154904180299816
T12,0.7922184587095389
T13,0.9215887214789114
T14,0.7337241050759347
T1,0.6056909720167406
T2,0.8248864411154366
T3,0.6727404590256846
T4,0.8998236405020096
T5,0.7678677049303266
T6,0.7527503505063926
T7,0.8531226222025456
T8,0.7254747775137238
T9,0.7519149698596381
T10,0.887134254764578
T11,0.7191203227087282
T12,0.5475630689428479
T13,0.6898865798504326
T14,0.8255010194211844
T1,0.8293056052213859
T2,0.9466612218247141
T3,0.8970517084978686
T4,0.8369804781301289
T5,0.8077439593787807
T6,0.9148873154308989
T7,0.8901230633564889
T8,0.8766718989715048
T9,0.8945783799831922
T10,0.9396536899657426
T11,0.7924459679673805
T12,0.6935328382598489
T13,0.8838617845023541
T14,0.893435938714531
T1,0.82282271177095
T2,0.9198950575414411
T3,0.8515414718440967
T4,0.8681299334496051
T5,0.7484911374067901
T6,0.853507403729833
T7,0.8349960614520711
T8,0.886947865941007
T9,0.8941547980177549
T10,0.9373495671663028
T11,0.7495490821623851
T12,0.7654271433103936
T13,0.830425435699113
T14,0.8829867708364096
T1,0.6495247336966284
T2,0.8670614925831065
T3,0.7938796340249408
T4,0.8575720044334314
T5,0.6947983282002269
T6,0.7587566827235194
T7,0.9064644342493262
T8,0.7424029939754345
T9,0.7571982948244522
T10,0.85288414301728
T11,0.7794719012000397
T12,0.5378677776772989
T13,0.7495597077848442
T14,0.8147074234475493
T1,0.9373323959316285
T2,0.9208600549023023
T3,0.8632827345214644
T4,0.9383209034698551
T5,0.8818528543654265
T6,0.9866340851185189
T7,0.8369404201137701
T8,0.8850681801208118
T9,0.8326356469189955
T10,0.9281838463296272
T11,0.7900195439889081
T12,0.8279058942502295
T13,0.8638638456443564
T14,0.9101515335196111
T1,0.7592487893521067
T2,0.8542478087943063
T3,0.875797543321098
T4,0.9129787665268985
T5,0.7046278408131084
T6,0.7504620730675318
T7,0.8131678716177532
T8,0.7830917417450552
T9,0.8701445530827785
T10,0.9549238630378387
T11,0.7560758430406781
T12,0.6386607174469764
T13,0.7751165091722562
T14,0.7761776197551249
T1,0.9221804169145016
T2,0.9468240629814022
T3,0.9672879688140137
T4,0.9033383307716532
T5,0.9156904228542536
T6,0.8965398197064536
T7,1.0250277999127648
T8,0.8135769275045728
T9,0.8970380505214665
T10,0.9219163294551548
T11,0.8317318204374222
T12,0.7812766570724052
T13,0.8978821856212805
T14,0.8187284155418404
T1,0.8749163114239455
T2,0.8916830140557463
T3,0.8829675420415284
T4,0.9427578187047301
T5,0.8657565734075383
T6,0.9009592131613542
T7,0.9801051006290076
T8,0.8360350104526599
T9,0.9456419652652135
T10,0.9321530954389963
T11,0.8087975410380468
T12,0.8222580727577284
T13,0.9014517057841349
T14,0.8585822543900865
T1,0.7190669051669911
T2,0.9198267445071042
T3,0.8352559981854618
T4,0.9334129595341629
T5,0.7433403456988797
T6,0.8138453079505862
T7,0.9314685510613907
T8,0.7927920599775568
T9,0.868522223527523
T10,0.8567381321043889
T11,0.7307737733002343
T12,0.6602733737322672
T13,0.7245008623977204
T14,0.803724679466234
T1,0.9325875173021556
T2,0.9296118788805874
T3,0.9702761956246044
T4,0.9629551690852071
T5,0.917977257848352
T6,0.9274181879855665
T7,0.9585984291394756
T8,0.9369125297153483
T9,0.9150934477561196
T10,0.9754773771624576
T11,0.9627142531820632
T12,0.8513770464863102
T13,0.9196123859388572
T14,0.8770297903394049
T1,0.9047295748279327
T2,0.8901419727868163
T3,0.9639555012946526
T4,0.9498074821288948
T5,0.8687538957310611
T6,0.8617381936967213
T7,0.9284043864554097
T8,0.9012552724574343
T9,0.8968560902723712
T10,0.8922868084931916
T11,0.9096619378915077
T12,0.6983704611661445
T13,0.8268395375363311
T14,0.8830725413416676
T1,0.8374856723623342
T2,0.8782742091520799
T3,0.9482862384115741
T4,1.0377937204650285
T5,0.9070924130773197
T6,0.6946831685035304
T7,0.804200082603508
T8,0.9690219629853816
T9,0.9083763374972824
T10,0.921683131427022
T11,0.8922798271294674
T12,0.6361485063071486
T13,0.7167284911472622
T14,0.8673390847910722
T1,0.8815976766518551
T2,0.8865922174750238
T3,0.978385250611019
T4,0.9806945466128064
T5,0.8879634607013651
