target,rrmse_mean_all,desc
T1,0.8555804266662512,SD1 - Language & Culture
T2,0.8780105130001493,SD2 - STEM
T3,0.9094722589533126,SD3 - Art & Creation
T4,0.9264447358308509,SD4 - Agriculture & Horticulture
T5,0.8854603624464602,SD5 - Economics & Organization
T6,0.8879990953757809,SD6 - Sports
T7,0.9150444639576623,SD7 - Society & Welfare
T8,0.9162688073585575,SD8 - Food & Hospitality
T9,0.9005247819732446,PT1 - Realistic
T10,0.9184113637568817,PT2 - Investigative
T11,0.8836740803170814,PT3 - Artistic
T12,0.7846879785792329,PT4 - Social
T13,0.8749068934379862,PT5 - Enterprising
T14,0.8916344906278707,PT6 - Conventional
