target,rrmse,desc
T1,0.5676608982824722,SD1 - Language & Culture
T2,0.7289398674598109,SD2 - STEM
T3,0.6450162481323944,SD3 - Art & Creation
T4,0.6490586171619733,SD4 - Agriculture & Horticulture
T5,0.72742221449946,SD5 - Economics & Organization
T6,0.6490423185095875,SD6 - Sports
T7,0.844422532987074,SD7 - Society & Welfare
T8,0.8509379043011407,SD8 - Food & Hospitality
T9,0.6776641759384626,PT1 - Realistic
T10,0.8386872444864397,PT2 - Investigative
T11,0.7096959251698717,PT3 - Artistic
T12,0.5158516594177323,PT4 - Social
T13,0.5520361174631183,PT5 - Enterprising
T14,0.6989636476134232,PT6 - Conventional
