,static,frozen_token,frozen_sentence
T1,0.8234076489451512,0.8955579056392792,0.7463722489875353
T2,0.8142770574023241,0.9195378995494693,0.7746728385514652
T3,0.8872446634169948,0.9458151018613616,0.8078529287412718
T4,0.8859084411037728,0.9697901138068419,0.8099207001452373
T5,0.8925527294351353,0.9174613678057203,0.7870932240391202
T6,0.8913082088744068,0.9328207915830291,0.7524309689211591
T7,0.8855400050093483,0.9515545600299251,0.8153489953903129
T8,0.8901480144219371,0.9506952472978735,0.8216964185194828
T9,0.8700985029976385,0.9292389066437705,0.8245245009535351
T10,0.8913491358588063,0.9420778253254273,0.8564327216839378
T11,0.8731605957199378,0.9129860538784201,0.7992426544987802
T12,0.7411198056765494,0.844066137507437,0.6210762260955148
T13,0.8735698740752319,0.9093044797306239,0.7721598076809912
T14,0.8917498336183767,0.9153307492445846,0.8205072671142267
