embedding,regressor,method,pct,K,M_max,baseline_median,full_median,delta
e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.6892235279083252,0.6737879514694214,0.015435576438903809
e5_base,chain_ERCcv_rf,gemma,10,10,3072,0.8332480788230896,0.7982895374298096,0.03495854139328003
e5_base,global_rf,gemma,10,10,3072,0.8765345215797424,0.8585060834884644,0.018028438091278076
e5_base,local_lasso,gemma,10,10,3072,0.7046522498130798,0.6903446912765503,0.014307558536529541
e5_base,local_rf,gemma,10,10,3072,0.8390518426895142,0.8339238166809082,0.005128026008605957
e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.6892235279083252,0.6676065921783447,0.02161693572998047
e5_base,chain_ERCcv_rf,gemma,20,19,3072,0.8332480788230896,0.7783243656158447,0.05492371320724487
e5_base,global_rf,gemma,20,19,3072,0.8765345215797424,0.8391157984733582,0.03741872310638428
e5_base,local_lasso,gemma,20,19,3072,0.7046522498130798,0.6882121562957764,0.016440093517303467
e5_base,local_rf,gemma,20,19,3072,0.8390518426895142,0.7920408248901367,0.04701101779937744
e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6892235279083252,0.6737381219863892,0.015485405921936035
e5_base,chain_ERCcv_rf,gemma,50,48,3072,0.8332480788230896,0.7916959524154663,0.04155212640762329
e5_base,global_rf,gemma,50,48,3072,0.8765345215797424,0.8244674801826477,0.05206704139709473
e5_base,local_lasso,gemma,50,48,3072,0.7046522498130798,0.6777620911598206,0.026890158653259277
e5_base,local_rf,gemma,50,48,3072,0.8390518426895142,0.8105295896530151,0.028522253036499023
e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.6892235279083252,0.6846904754638672,0.004533052444458008
e5_base,chain_ERCcv_rf,gemma,100,96,3072,0.8332480788230896,0.79018235206604,0.04306572675704956
e5_base,global_rf,gemma,100,96,3072,0.8765345215797424,0.8535631895065308,0.02297133207321167
e5_base,local_lasso,gemma,100,96,3072,0.7046522498130798,0.6787651181221008,0.025887131690979004
e5_base,local_rf,gemma,100,96,3072,0.8390518426895142,0.8234749436378479,0.01557689905166626
e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.6892235279083252,0.6846904754638672,0.004533052444458008
e5_base,chain_ERCcv_rf,gemma,200,192,3072,0.8332480788230896,0.7876052856445312,0.04564279317855835
e5_base,global_rf,gemma,200,192,3072,0.8765345215797424,0.8551727533340454,0.02136176824569702
e5_base,local_lasso,gemma,200,192,3072,0.7046522498130798,0.6852312088012695,0.019421041011810303
e5_base,local_rf,gemma,200,192,3072,0.8390518426895142,0.8163104057312012,0.02274143695831299
e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.6892235279083252,0.6846904754638672,0.004533052444458008
e5_base,chain_ERCcv_rf,gemma,400,384,3072,0.8332480788230896,0.7718108296394348,0.061437249183654785
e5_base,global_rf,gemma,400,384,3072,0.8765345215797424,0.8244231343269348,0.05211138725280762
e5_base,local_lasso,gemma,400,384,3072,0.7046522498130798,0.6980307102203369,0.00662153959274292
e5_base,local_rf,gemma,400,384,3072,0.8390518426895142,0.779708981513977,0.05934286117553711
